feature,sample_count,benign_count,dangerous_count,auc_raw,auc_best_direction,ks_statistic,iqr_overlap_ratio,benign_median,dangerous_median,suggested_direction,p25_threshold,p25_precision,p25_recall,p50_threshold,p50_precision,p50_recall,p75_threshold,p75_precision,p75_recall
champion_score_pctile_252,42,23,19,0.2837528604118993,0.7162471395881007,0.5217391304347826,0.24280499561313226,0.4523809523809524,0.626984126984127,lower_is_more_benign,0.4523809523809524,1.0,0.5217391304347826,0.5178571428571429,0.7619047619047619,0.6956521739130435,0.6924603174603174,0.5806451612903226,0.782608695652174
champion_score_z_252,42,23,19,0.2997711670480549,0.700228832951945,0.6086956521739131,0.3679355530944958,-0.237526595768777,0.2569467649513121,lower_is_more_benign,-0.24730502547768604,1.0,0.4782608695652174,-0.034513810153854296,0.7619047619047619,0.6956521739130435,0.5597771751773346,0.5483870967741935,0.7391304347826086
top_industry_weight,90,56,34,0.5955882352941176,0.5955882352941176,0.282563025210084,0.4630521099771111,0.11605885920938755,0.09227994919881215,higher_is_more_benign,0.06751930198351207,0.6417910447761194,0.7678571428571429,0.10181217451635685,0.6888888888888889,0.5535714285714286,0.15725887739226496,0.782608695652174,0.32142857142857145
governed_nav_drawdown_20d,90,56,34,0.41990546218487396,0.5800945378151261,0.43802521008403356,0.763465643055931,-0.0508040229725292,-0.0296515751396461,lower_is_more_benign,-0.07978545599836255,0.6086956521739131,0.25,-0.0383119126458462,0.782608695652174,0.6428571428571429,-0.02550275203171705,0.6567164179104478,0.7857142857142857
governed_nav_ret_10d,90,56,34,0.4332983193277311,0.5667016806722689,0.3172268907563025,0.46589579795106456,0.0053358604479938,0.01245152392003315,lower_is_more_benign,-0.016729588313133523,0.6086956521739131,0.25,0.00580400792844335,0.6444444444444445,0.5178571428571429,0.028879338309187902,0.6865671641791045,0.8214285714285714
pattern_top5_high_risk_count,36,17,19,0.5,0.5,0.0,1.0,0.0,0.0,higher_is_more_benign,0.0,0.4722222222222222,1.0,0.0,0.4722222222222222,1.0,0.0,0.4722222222222222,1.0
bearish_minus_bullish,90,56,34,0.5,0.5,0.0,1.0,0.0,0.0,higher_is_more_benign,0.0,0.6222222222222222,1.0,0.0,0.6222222222222222,1.0,0.0,0.6222222222222222,1.0
