trade_date,returncode,elapsed_seconds,industry_updated,model_rows_cleared,rule_bs_updated,score_rows,empty_industry_rows,null_score_rows,null_liquidity_rows,null_bs_v2_rows,null_consensus_rows,model_field_rows,score_log,status,error
2025-06-03,0,81.541,0,5111,5111,5111,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250603.log,PASS,
2025-06-13,0,78.369,0,5123,5123,5123,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250613.log,PASS,
2025-06-16,0,78.241,0,5125,5125,5125,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250616.log,PASS,
2025-06-17,0,77.992,0,5130,5130,5130,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250617.log,PASS,
2025-06-18,0,82.371,0,5130,5130,5130,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250618.log,PASS,
2025-06-19,0,78.117,0,5129,5129,5129,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250619.log,PASS,
2025-06-20,0,76.264,0,5130,5130,5130,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250620.log,PASS,
2025-06-23,0,72.562,0,5125,5125,5125,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250623.log,PASS,
2025-06-24,0,73.405,0,5128,5128,5128,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250624.log,PASS,
2025-06-25,0,72.774,0,5128,5128,5128,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250625.log,PASS,
2025-06-26,0,71.009,0,5130,5130,5130,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250626.log,PASS,
2025-06-27,0,70.702,0,5127,5127,5127,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250627.log,PASS,
2025-07-01,0,70.107,0,5126,5126,5126,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250701.log,PASS,
2025-07-02,0,74.463,0,5125,5125,5125,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250702.log,PASS,
2025-07-03,0,76.955,0,5125,5125,5125,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250703.log,PASS,
2025-07-04,0,76.624,0,5127,5127,5127,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250704.log,PASS,
2025-07-07,0,74.199,0,5127,5127,5127,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250707.log,PASS,
2025-07-08,0,75.797,0,5126,5126,5126,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250708.log,PASS,
2025-07-09,0,74.01,0,5129,5129,5129,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250709.log,PASS,
2025-07-10,0,74.683,0,5129,5129,5129,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250710.log,PASS,
2025-07-11,0,75.478,0,5133,5133,5133,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250711.log,PASS,
2025-07-14,0,74.869,0,5130,5130,5130,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250714.log,PASS,
2025-07-15,0,76.316,0,5131,5131,5131,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250715.log,PASS,
2025-07-16,0,74.707,0,5131,5131,5131,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250716.log,PASS,
2025-07-17,0,73.768,0,5132,5132,5132,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250717.log,PASS,
2025-07-18,0,75.788,0,5131,5131,5131,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250718.log,PASS,
2025-07-21,0,77.346,0,5132,5132,5132,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250721.log,PASS,
2025-07-22,0,75.778,0,5130,5130,5130,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250722.log,PASS,
2025-07-23,0,74.913,0,5134,5134,5134,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250723.log,PASS,
2025-07-24,0,73.567,0,5133,5133,5133,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250724.log,PASS,
2025-07-25,0,73.896,0,5135,5135,5135,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250725.log,PASS,
2025-07-28,0,76.011,0,5136,5136,5136,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250728.log,PASS,
2025-07-29,0,71.077,0,5140,5140,5140,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250729.log,PASS,
2025-07-30,0,67.059,0,5140,5140,5140,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250730.log,PASS,
2025-07-31,0,77.654,0,5135,5135,5135,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250731.log,PASS,
2025-08-01,0,86.551,0,5136,5136,5136,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250801.log,PASS,
2025-08-04,0,78.691,0,5133,5133,5133,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250804.log,PASS,
2025-08-05,0,73.26,0,5134,5134,5134,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553381_44916_2025_full/logs/score_rank_20250805.log,PASS,
