strategy,window,requested_window,requested_window_days,actual_start,actual_end,actual_trading_days,coverage_ratio,coverage_status,window_start,window_end,trading_days,initial_cash,window_start_equity,window_end_equity,total_return,max_drawdown,annualized_volatility,daily_win_rate,avg_gross_exposure,avg_position_count
production_governed_vol_position_v1_2b_dynamic_score,3m,3m,63,2026-04-10,2026-07-10,62,0.9841269841269841,PASS,2026-04-10,2026-07-10,62,500000.0,555633.3395925001,709994.1829650003,0.2778106214535434,-0.11604408702139235,0.41550501169405707,0.5645161290322581,0.6505663503927976,4.82258064516129
production_governed_vol_position_v1_2b_dynamic_score,6m,6m,126,2026-01-12,2026-07-10,119,0.9444444444444444,PASS,2026-01-12,2026-07-10,119,500000.0,569753.3907824999,709994.1829650003,0.24614297071561708,-0.11604408702139246,0.37025856125576556,0.4957983193277311,0.6498697043879234,4.882352941176471
production_governed_vol_position_v1_2b_dynamic_score,1y,1y,252,2025-09-02,2026-07-10,205,0.8134920634920635,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-10,205,500000.0,492830.0016975,709994.1829650003,0.44064724249640164,-0.13123225966172847,0.33680063219828593,0.5170731707317073,0.6101793344533525,4.88780487804878
production_governed_vol_position_v1_2b_dynamic_score,3y,3y,756,2025-09-02,2026-07-10,205,0.27116402116402116,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-10,205,500000.0,492830.0016975,709994.1829650003,0.44064724249640164,-0.13123225966172847,0.33680063219828593,0.5170731707317073,0.6101793344533525,4.88780487804878
production_governed_vol_position_v1_2b_execution_safe_uplift,3m,3m,63,2026-04-10,2026-07-10,62,0.9841269841269841,PASS,2026-04-10,2026-07-10,62,500000.0,555633.3395925001,709994.1829650003,0.2778106214535434,-0.11604408702139235,0.41550501169405707,0.5645161290322581,0.6505663503927976,4.82258064516129
production_governed_vol_position_v1_2b_execution_safe_uplift,6m,6m,126,2026-01-12,2026-07-10,119,0.9444444444444444,PASS,2026-01-12,2026-07-10,119,500000.0,569753.3907824999,709994.1829650003,0.24614297071561708,-0.11604408702139246,0.37025856125576556,0.4957983193277311,0.6498697043879234,4.882352941176471
production_governed_vol_position_v1_2b_execution_safe_uplift,1y,1y,252,2025-09-02,2026-07-10,205,0.8134920634920635,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-10,205,500000.0,492830.0016975,709994.1829650003,0.44064724249640164,-0.13123225966172847,0.33680063219828593,0.5170731707317073,0.6101793344533525,4.88780487804878
production_governed_vol_position_v1_2b_execution_safe_uplift,3y,3y,756,2025-09-02,2026-07-10,205,0.27116402116402116,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-10,205,500000.0,492830.0016975,709994.1829650003,0.44064724249640164,-0.13123225966172847,0.33680063219828593,0.5170731707317073,0.6101793344533525,4.88780487804878
adaptive_market_style,3m,3m,63,2026-04-10,2026-07-10,62,0.9841269841269841,PASS,2026-04-10,2026-07-10,62,500000.0,591992.4689225001,601230.359295,0.01560474306254922,-0.1064492000906253,0.2898702035344195,0.5483870967741935,0.43686876394962987,4.645161290322581
adaptive_market_style,6m,6m,126,2026-01-12,2026-07-10,119,0.9444444444444444,PASS,2026-01-12,2026-07-10,119,500000.0,625992.4653700003,601230.359295,-0.03955655610066233,-0.14502457957036408,0.2749171068497611,0.5378151260504201,0.41954825219127045,4.65546218487395
adaptive_market_style,1y,1y,252,2025-09-02,2026-07-10,205,0.8134920634920635,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-10,205,500000.0,494109.972835,601230.359295,0.2167946253854931,-0.1450245795703642,0.282548171910132,0.5414634146341464,0.39100289189897186,4.6
adaptive_market_style,3y,3y,756,2025-09-02,2026-07-10,205,0.27116402116402116,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-10,205,500000.0,494109.972835,601230.359295,0.2167946253854931,-0.1450245795703642,0.282548171910132,0.5414634146341464,0.39100289189897186,4.6
