trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note
2026-05-21,000791,000791,SELL,8.98,47000,0,-47000,47000,0.47999980711754897,0.0,-0.47999980711754897,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-21,600507,600507,SELL,4.73,16700,0,-16700,16700,0.08983477411747692,0.0,-0.08983477411747692,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-21,600522,600522,SELL,41.9,7600,0,-7600,7600,0.36215499829055653,0.0,-0.36215499829055653,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-21,002371,北方华创,BUY,662.99,0,200,200,200,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-21,002407,多氟多,BUY,40.81,0,4300,4300,4300,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-21,300323,华灿光电,BUY,18.73,0,9300,9300,9300,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-21,300408,三环集团,BUY,98.47,0,1700,1700,1700,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-21,688017,绿的谐波,BUY,335.0,0,500,500,500,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
