trade_date,history_dates,history_start,history_end,weight_score,weight_s_liquidity,weight_liquidity_detail_score,weight_score_liq_breakout_adj,weight_s_rs,weight_s_breakout,raw_score,raw_s_liquidity,raw_liquidity_detail_score,raw_score_liq_breakout_adj,raw_s_rs,raw_s_breakout,method,raw_ic_score,raw_ic_s_liquidity,raw_ic_liquidity_detail_score,raw_ic_score_liq_breakout_adj,raw_ic_s_rs,raw_ic_s_breakout
2026-01-05,0,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,long_topn_return,,,,,,
2026-01-06,0,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,long_topn_return,,,,,,
2026-01-07,0,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,long_topn_return,,,,,,
2026-01-08,0,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,long_topn_return,,,,,,
2026-01-09,0,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,long_topn_return,,,,,,
2026-01-12,0,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,long_topn_return,,,,,,
2026-01-13,0,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,long_topn_return,,,,,,
2026-01-14,0,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,long_topn_return,,,,,,
2026-01-15,0,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,long_topn_return,,,,,,
2026-01-16,0,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,long_topn_return,,,,,,
2026-01-19,0,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,long_topn_return,,,,,,
2026-01-20,1,2026-01-05,2026-01-05,0.3269024790080063,0.0,0.14118788067333765,0.3269024790080063,0.19703127680919985,0.007975884501449926,0.2970639210588745,0.0,0.1283007261556648,0.2970639210588745,0.17904692505786687,0.007247872610520623,long_topn_return,,,,,,
2026-01-21,2,2026-01-05,2026-01-06,0.36135563195051773,0.0,0.22854219679237958,0.36135563195051773,0.02103485314485785,0.02771168616172706,0.20683262889433537,0.0,0.13081291447071547,0.20683262889433537,0.012039922972483214,0.015861606664289242,long_topn_return,,,,,,
2026-01-22,3,2026-01-05,2026-01-07,0.3928945754889727,0.0,0.21421084902205464,0.3928945754889727,0.0,0.0,0.14153014153445467,0.0,0.07716393575191523,0.14153014153445467,0.0,0.0,long_topn_return,,,,,,
2026-01-23,4,2026-01-05,2026-01-08,0.34301406203514667,0.0,0.3139718759297066,0.34301406203514667,0.0,0.0,0.0773549232803605,0.0,0.07080546561454015,0.0773549232803605,0.0,0.0,long_topn_return,,,,,,
2026-01-26,5,2026-01-05,2026-01-09,0.45660965506898077,0.0,0.37245085065276096,0.13757097320005296,0.0,0.03336852107820533,0.09128461292918807,0.0,0.07445973023029448,0.027502951151922896,0.0,0.0066709770519049975,long_topn_return,,,,,,
2026-01-27,6,2026-01-05,2026-01-12,0.5071516442831244,0.0,0.4797098079702299,0.013138547746645812,0.0,0.0,0.05456497488331533,0.0,0.051612479064669786,0.00141359006892768,0.0,0.0,long_topn_return,,,,,,
2026-01-28,7,2026-01-05,2026-01-13,0.2228487202360603,0.0,0.7573729325230026,0.0,0.0,0.019778347240937064,0.013909042736884461,0.0,0.04727122720320357,0.0,0.0,0.0012344602057742465,long_topn_return,,,,,,
2026-01-29,8,2026-01-05,2026-01-14,0.2951048080781845,0.0,0.6770007713696785,0.0,0.0,0.02789442055213685,0.013310615352679366,0.0,0.03053592016969639,0.0,0.0,0.001258169613952878,long_topn_return,,,,,,
2026-01-30,9,2026-01-05,2026-01-15,0.4047201021787532,0.0,0.2266403550791287,0.07475650538564561,0.0,0.2938830373564726,0.04346223664688928,0.0,0.02433854086603663,0.008027980103964185,0.0,0.031559623669130794,long_topn_return,,,,,,
2026-02-02,10,2026-01-05,2026-01-16,0.4022672958503389,0.0,0.29657002388844805,0.024286054830209514,0.0,0.27687662543100355,0.03393988090352744,0.0,0.025022047265992615,0.0020490500148948507,0.0,0.0233604863955806,long_topn_return,,,,,,
2026-02-03,11,2026-01-05,2026-01-19,0.46506965352751156,0.0,0.21009088758159258,0.17642980803030067,0.002135688876252123,0.146273961984343,0.04279685595156819,0.0,0.019333081366132696,0.016235505848564126,0.00019653135503695416,0.013460490558837912,long_topn_return,,,,,,
2026-02-04,12,2026-01-05,2026-01-20,0.3867652891589019,0.0,0.12280702347225642,0.17807204148449152,0.15281594036160565,0.15953970552274455,0.04512328183537717,0.0,0.014327697150779493,0.020775377574290124,0.017828789033448894,0.01861323985896315,long_topn_return,,,,,,
2026-02-05,13,2026-01-05,2026-01-21,0.3993269339376777,0.0,0.07705470235293178,0.16349069634853097,0.2464234123909108,0.11370425496994872,0.05198714945978185,0.0,0.010031515501095791,0.021284352604378495,0.03208110868964102,0.014802808413264737,long_topn_return,,,,,,
2026-02-06,14,2026-01-05,2026-01-22,0.42131313964381156,0.0,4.072075938449893e-05,0.14389288148104196,0.3208044416583978,0.11394881645736428,0.05213076577457445,0.0,5.038542997806309e-06,0.017804443762324946,0.039694421165396745,0.014099344411738155,long_topn_return,,,,,,
2026-02-09,15,2026-01-05,2026-01-23,0.5026547830764081,0.0,0.0,0.17453659885023803,0.27739557751418475,0.0454130405591691,0.04907988865820552,0.0,0.0,0.017041988113439314,0.02708527704710068,0.004434190321701927,long_topn_return,,,,,,
2026-02-10,16,2026-01-05,2026-01-26,0.6026383692138285,0.0,0.0,0.18008647452632567,0.21727515625984567,0.0,0.05449890073903156,0.0,0.0,0.016285911088694663,0.01964902631326048,0.0,long_topn_return,,,,,,
2026-02-11,17,2026-01-05,2026-01-27,0.7702547574141526,0.0,0.0,0.09400942928056918,0.13573581330527823,0.0,0.04563787539583977,0.0,0.0,0.005570092983189143,0.008042396460069481,0.0,long_topn_return,,,,,,
2026-02-12,18,2026-01-05,2026-01-28,0.9334182359545979,0.0,0.0,0.0,0.0,0.06658176404540211,0.034209258096508016,0.0,0.0,0.0,0.0,0.0024401845421635282,long_topn_return,,,,,,
2026-02-13,19,2026-01-05,2026-01-29,1.0,0.0,0.0,0.0,0.0,0.0,0.017347374299067558,0.0,0.0,0.0,0.0,0.0,long_topn_return,,,,,,
2026-02-24,20,2026-01-05,2026-01-30,1.0,0.0,0.0,0.0,0.0,0.0,0.00910843447966563,0.0,0.0,0.0,0.0,0.0,long_topn_return,,,,,,
2026-02-25,20,2026-01-06,2026-02-02,0.29874189041566074,0.0,0.0,0.0,0.0,0.7012581095843393,0.005039290625751728,0.0,0.0,0.0,0.0,0.011829085679761393,long_topn_return,,,,,,
2026-02-26,20,2026-01-07,2026-02-03,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009740883297284893,long_topn_return,,,,,,
2026-02-27,20,2026-01-08,2026-02-04,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.012703523883841758,long_topn_return,,,,,,
2026-03-02,20,2026-01-09,2026-02-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01603804361700146,long_topn_return,,,,,,
2026-03-03,20,2026-01-12,2026-02-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001193097692999997,long_topn_return,,,,,,
2026-03-04,20,2026-01-13,2026-02-09,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00952715077897012,long_topn_return,,,,,,
