asof_date,asof_date_key,symbol,ts_code,name,score,base_score,penalty,s_trend,s_breakout,s_volume,s_rs,s_contraction,s_liquidity,opt_score,opt_momentum,opt_value,opt_quality,opt_technical,opt_capital,opt_chip,opt_size,claude_score,industry,fund_pe_ttm,fund_pb,fund_roe,fund_netprofit_yoy,score_momentum,score_value,score_quality,score_technical,score_capital,score_chip,bs_score,bs_entry_score,bs_score_label,bs_score_v2,bs_score_v2_label,bs_research_score,bs_research_label,bs_research_reason,bs_gate_score,bs_gate_pass,bs_gate_label,bs_gate_reason,bs_model_prob,bs_model_expected_mdd,bs_model_risk_score,bs_model_rank_score,bs_model_version,bs_consensus_score,bs_consensus_label,bs_consensus_reason,dynamic_trade_threshold,dynamic_watch_threshold,bs_threshold_version,bs_threshold_reason,close_price,buy_point_close,price_change_ratio,is_limit_up,pool_type,pool_type_shadow,pool_type_shadow_reason,is_self_selected,score_opt_gap,score_claude_gap,opt_claude_gap,score_dispersion,rs_liquidity_combo,breakout_volume_combo,overextended_flag,pullback_flag,market_hs300_pct_chg,market_hs300_ret_5,market_hs300_ret_20,market_scored_count,market_bs_count,market_bs_ratio,market_limit_up_rate,market_avg_score,market_avg_v2,market_avg_research_score,market_avg_price_change,market_regime,event_seq_for_symbol,total_b_points,total_s_points,buy_points_count,sell_points_count,p_signal,expected_mdd,risk_score,model_rank_score
2026-05-08,20260508,000700,000700.SZ,模塑科技,76.73,76.73,0.0,100.0,99.2,96.05,89.55,48.07,24.43,8.8,,,,,,,,63.2093,,,,,,,,,,,,79.1,70.0,强确认,71.08,观察,62.38,普通观察,强势流动性较好；相对强弱靠前；买点后涨幅偏高,82.6,0,过滤,买点后涨幅偏高,0.149543,0.032216,100.0,41.7426,20260510_213038,37.52,回避,研究建议通过；V2观察以上；模型回撤风险低,,,,,14.5,12.04,20.43,0,TRADE,,,1,-11.269999999999996,13.520700000000003,24.7907,12.412366380482544,46.772924860436085,98.0975,0,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.2838221873357384,0.03221556966103348,100.0,49.7993312401443
2026-05-08,20260508,600497,600497.SH,驰宏锌锗,77.21,77.21,0.0,100.0,94.99,86.69,87.16,63.68,27.35,8.35,,,,,,,,62.8461,,,,,,,,,,,,77.25,70.84,强确认,70.9,观察,62.58,普通观察,强势流动性较好；相对强弱靠前；买点后涨幅偏高,83.17,0,过滤,买点后涨幅偏高,0.149766,0.029876,100.0,41.7109,20260510_213038,37.58,回避,研究建议通过；V2观察以上；模型回撤风险低,,,,,10.01,8.34,20.02,0,TRADE,,,1,-6.290000000000006,14.363899999999994,20.6539,10.586700055730304,48.82444060099409,92.085,0,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.2784942770381701,0.029875864260840296,100.0,49.434656622290206
2026-05-08,20260508,002439,002439.SZ,启明星辰,73.69,73.69,0.0,100.0,92.78,81.95,89.92,42.4,25.53,8.6,,,,,,,,57.9564,,,,,,,,,,,,77.31,78.45,强确认,69.13,观察,61.07,普通观察,强势流动性较好；相对强弱靠前；买点后涨幅偏高,87.93,0,观察,买点后涨幅偏高,0.155954,0.015208,100.0,41.6397,20260510_213038,44.77,谨慎观察,研究建议通过；V2观察以上；模型回撤风险低,,,,,16.63,14.26,16.62,0,WATCH,,,1,-12.310000000000002,15.733599999999996,28.0436,14.056586652526992,47.91302119466064,88.98949999999999,0,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.27973311191619404,0.01520784978457676,100.0,49.066486714971646
2026-05-08,20260508,600584,600584.SH,长电科技,73.93,73.93,0.0,100.0,94.6,84.5,89.02,32.5,29.46,8.05,,,,,,,,57.6582,,,,,,,,,,,,74.6,68.64,可交易,68.25,观察,61.92,普通观察,强势流动性较好；相对强弱靠前；买点后涨幅偏高,81.67,0,过滤,买点后涨幅偏高,0.148855,0.015656,100.0,40.9938,20260510_213038,36.72,回避,研究建议通过；V2观察以上；模型回撤风险低,,,,,50.75,41.91,21.09,0,WATCH,,,1,-6.569999999999993,16.271800000000006,22.8418,11.759281458207102,51.21063561409875,91.065,0,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.28290711420250575,0.015655524849455926,100.0,49.036926852150344
2026-05-08,20260508,300339,300339.SZ,润和软件,76.15,76.15,0.0,100.0,88.47,83.79,85.7,75.16,28.01,7.35,,,,,,,,50.4738,,,,,,,,,,,,71.14,77.67,可交易,68.53,观察,60.69,普通观察,强势流动性较好；相对强弱靠前；买点后涨幅偏高,87.5,0,观察,买点后涨幅偏高,0.155505,-0.000942,99.6859,41.4157,20260510_213038,44.46,谨慎观察,研究建议通过；V2观察以上；模型回撤风险低,,,,,47.8,40.88,16.93,0,TRADE,,,1,2.6500000000000057,25.67620000000001,23.026200000000003,14.121470844544962,48.99445887036615,86.832,0,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.27334688442440463,-0.0009423571575189471,99.68588094749369,48.48619520758833
2026-05-08,20260508,603025,603025.SH,大豪科技,75.63,75.63,0.0,100.0,87.95,85.03,85.29,76.94,19.84,7.55,,,,,,,,59.0525,,,,,,,,,,,,73.46,75.1,可交易,68.1,观察,48.65,回避,V2评分较好；相对强弱靠前；流动性偏弱,85.74,0,观察,流动性低于门槛；买点后涨幅偏高,0.153057,0.028462,100.0,41.2084,20260510_213038,32.87,回避,V2观察以上；交易门禁观察,,,,,17.14,14.53,17.96,0,TRADE,,,1,0.1299999999999954,16.577499999999993,16.447499999999998,9.533717904539303,41.135794631926096,86.928,0,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.26963556540831335,0.02846235083282367,100.0,48.2031339244988
2026-05-08,20260508,002747,002747.SZ,埃斯顿,78.13,78.13,0.0,100.0,94.84,89.33,83.8,75.96,21.71,8.8,,,,,,,,45.9202,,,,,,,,,,,,74.73,78.2,可交易,68.79,观察,58.25,普通观察,V2评分较好；相对强弱靠前；买点后涨幅偏高,87.79,0,观察,买点后涨幅偏高,0.155689,0.014509,100.0,41.5388,20260510_213038,43.42,谨慎观察,研究建议通过；V2观察以上；模型回撤风险低,,,,,24.08,20.63,16.72,0,TRADE,,,1,-9.870000000000005,32.209799999999994,42.0798,22.006051001485933,42.653229654974545,92.9115,0,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.26412187496679207,0.014509169115447765,100.0,48.04481249800752
2026-05-08,20260508,688418,688418.SH,震有科技,75.72,75.72,0.0,100.0,96.88,76.5,92.75,62.95,23.44,8.25,,,,,,,,50.7626,,,,,,,,,,,,76.72,91.6,强确认,70.46,观察,71.76,普通观察,V2与强势流动性共振；相对强弱靠前；指数20日涨幅偏高,95.3,0,观察,买点后涨幅偏高,0.170078,-0.017381,94.2063,41.9506,20260510_213038,50.34,谨慎观察,研究建议通过；V2观察以上；模型回撤风险低,,,,,54.2,48.67,11.36,0,TRADE,,,1,-6.780000000000001,24.9574,31.7374,16.713780609225832,46.62681631850924,89.747,0,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.26808842140280764,-0.017381197968464712,94.2062673438451,47.83124538574522
2026-05-08,20260508,300767,300767.SZ,震安科技,75.65,75.65,0.0,100.0,94.36,86.34,94.29,47.87,21.08,9.45,,,,,,,,52.9265,,,,,,,,,,,,78.14,63.51,强确认,65.96,观察,57.32,回避,V2评分较好；相对强弱靠前；买点后涨幅偏高,78.19,0,过滤,买点后涨幅偏高,0.144636,0.043493,100.0,40.1682,20260510_213038,32.05,回避,V2观察以上；交易门禁过滤,,,,,25.94,20.99,23.58,0,TRADE,,,1,-18.84999999999999,22.72350000000001,41.5735,20.81680352703876,44.58288012230704,91.553,1,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.2683823898069842,0.04349344533552213,100.0,47.59294338841905
2026-05-08,20260508,300397,300397.SZ,天和防务,76.89,76.89,0.0,100.0,91.74,93.81,83.91,73.1,18.83,8.8,,,,,,,,46.7204,,,,,,,,,,,,74.92,81.32,可交易,67.95,观察,48.46,回避,V2评分较好；相对强弱靠前；流动性偏弱,87.2,0,观察,流动性低于门槛；买点后涨幅偏高,0.157801,0.013151,100.0,41.4556,20260510_213038,32.92,回避,V2观察以上；交易门禁观察,,,,,13.88,12.02,15.47,0,TRADE,,,1,-11.11,30.169600000000003,41.2796,21.360564288426467,39.749532072717535,92.4645,0,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.25645382595613886,0.013150654526157879,100.0,47.37472955736833
