trade_date,production_strategy,shadow_strategy,production_target_position,shadow_target_position,position_diff,production_risk_decision,shadow_risk_decision,risk_decision_diff,shadow_recovery_status,shadow_risk_governor_reasons,top5_overlap,production_top5,shadow_top5,buy_list_added_by_shadow,buy_list_removed_by_shadow,sell_list_added_by_shadow,sell_list_removed_by_shadow,production_estimated_order_value,shadow_estimated_order_value,estimated_order_value_diff,production_theory_return,shadow_theory_return,theory_gap,large_slippage_proxy,limit_up_buy_ratio,unfilled_ratio_proxy,limit_down_sell_ratio,open_gap_proxy,estimated_turnover_impact,execution_feasibility,fp_explanation_label
2026-05-22,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,002185|002281|300433|600584|603986,002185|002281|300433|600584|603986,,,,,0.0,0.0,0.0,0.028458747888103986,0.028293368146274478,-0.00016537974182950776,0.018762099940394378,0.0,0.0,0.0,0.003725438884027061,0.0,pass,unknown_pending_forward_return
2026-05-25,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,002185|300408|300433|600584|603986,002185|300408|300433|600584|603986,,,,,0.0,0.0,0.0,0.028974406287216148,0.030342489766127523,0.001368083478911375,0.02593615158185878,0.0,0.0,0.0,0.02593615158185878,0.0,pass,unknown_pending_forward_return
2026-05-26,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,300408|300433|600183|600584|603986,300408|300433|600183|600584|603986,,,,,498882.06,658440.06,159558.00000000006,0.008830644058263948,0.011031616020472201,0.0022009719622082535,0.0176163754435945,0.0,0.0,0.0,-0.0034963804329920982,7.377709628689357e-06,pass,unknown_pending_forward_return
2026-05-27,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,002463|002916|300408|600584|603986,002463|002916|300408|600584|603986,,,600584,,137750.0,200045.0,62295.0,0.0007505904197608881,0.0019797584496186182,0.00122916802985773,0.022522223521256563,0.0,0.0,0.0,-0.0035065304746229194,3.860954316972855e-06,pass,unknown_pending_forward_return
2026-05-28,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,002463|002916|600183|600584|603986,002463|002916|600183|600584|603986,,600584,,,16602.0,0.0,-16602.0,0.0032433067742245747,0.005745188574533877,0.0025018818003093024,0.02236576098205786,0.0,0.0,0.0,-0.01929958004702442,8.611126442088129e-07,pass,unknown_pending_forward_return
2026-05-29,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,002463|300373|600183|600584|603986,002463|300373|600183|600584|603986,,,,600584,8600.0,0.0,-8600.0,-0.006440218056394387,-0.00507419528380193,0.0013660227725924567,0.00766407554658978,0.0,0.0,0.0,0.006614206780185619,7.425911651043245e-07,pass,unknown_pending_forward_return
2026-06-01,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,002463|002916|300373|600183|600584,002463|002916|300373|600183|600584,,600584,,,8009.999999999999,0.0,-8009.999999999999,-0.021811411122015012,-0.020847785349096815,0.0009636257729181974,0.009820378638007981,0.0,0.0,0.0,-0.006818208099618579,8.176668638105245e-07,pass,unknown_pending_forward_return
2026-06-02,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,002463|002916|300408|600183|600584,002463|002916|300408|600183|600584,,,,,164472.0,177793.0,13321.0,0.027380387650181248,0.02785990052898768,0.0004795128788064318,0.01817880350020142,0.0,0.0,0.0,-0.0005160095164847403,1.2850413080388033e-06,pass,unknown_pending_forward_return
2026-06-03,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,300408|300620|600036|600183|688498,300408|300620|600036|600183|688498,,,,,0.0,0.0,0.0,0.009191768822660373,0.008384965830574576,-0.0008068029920857978,0.01893786793223876,0.0,0.0,0.0,0.0096658753044654,0.0,pass,unknown_pending_forward_return
2026-06-04,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,300308|300620|600183|600584|688498,300308|300620|600183|600584|688498,,,,,0.0,0.0,0.0,0.015880608386388495,0.015000346610831716,-0.0008802617755567788,0.0249200032087995,0.0,0.0,0.0,-0.0249200032087995,0.0,pass,unknown_pending_forward_return
