strategy,check,status,details
ashare_trend_breakout_shadow,card_version_matches_saved_run,WARN,card_version=2026.06.23; source=20260604_163941_308980_trusted_account_backtest
baseline_full_liquidity_detail_vol_position,signal_before_execution,PASS,signal_date < execution_date
baseline_full_liquidity_detail_vol_position,causality_pass,WARN,audited_rows=0
baseline_full_liquidity_detail_vol_position,forbidden_backfilled_fields,PASS,none
baseline_full_liquidity_detail_vol_position,duplicate_recommendations,PASS,0
baseline_full_liquidity_detail_vol_position,trade_prices_present,PASS,0
baseline_full_liquidity_detail_vol_position,dynamic_history_completed_before_signal,PASS,not_applicable
baseline_full_liquidity_detail_vol_position,final_equity_reconciliation,PASS,difference=0.000000
baseline_full_liquidity_detail_vol_position,trade_cost_reconciliation,PASS,difference=0.000000
baseline_full_liquidity_detail_vol_position,card_version_matches_saved_run,WARN,card_version=2026.06.23; source=20260604_152142_206060_trusted_account_backtest
chenyiyun_selected,backtest_ledger_available,FAIL,No compatible saved account ledger
dual_system_adaptive_route,signal_before_execution,PASS,signal_date < execution_date
dual_system_adaptive_route,causality_pass,WARN,audited_rows=0
dual_system_adaptive_route,forbidden_backfilled_fields,PASS,none
dual_system_adaptive_route,duplicate_recommendations,PASS,0
dual_system_adaptive_route,trade_prices_present,PASS,0
dual_system_adaptive_route,dynamic_history_completed_before_signal,PASS,exit_date < signal_date
dual_system_adaptive_route,final_equity_reconciliation,PASS,difference=0.000000
dual_system_adaptive_route,trade_cost_reconciliation,PASS,difference=0.000000
dual_system_adaptive_route,card_version_matches_saved_run,WARN,card_version=2026.06.23; source=20260604_163941_308980_trusted_account_backtest
repair_reversal_shadow,backtest_ledger_available,FAIL,No compatible saved account ledger
tiered_liquidity_then_bs_v2,signal_before_execution,PASS,signal_date < execution_date
tiered_liquidity_then_bs_v2,causality_pass,WARN,audited_rows=0
tiered_liquidity_then_bs_v2,forbidden_backfilled_fields,PASS,none
tiered_liquidity_then_bs_v2,duplicate_recommendations,PASS,0
tiered_liquidity_then_bs_v2,trade_prices_present,PASS,0
tiered_liquidity_then_bs_v2,dynamic_history_completed_before_signal,PASS,not_applicable
tiered_liquidity_then_bs_v2,final_equity_reconciliation,PASS,difference=0.000000
tiered_liquidity_then_bs_v2,trade_cost_reconciliation,PASS,difference=0.000000
tiered_liquidity_then_bs_v2,card_version_matches_saved_run,WARN,card_version=2026.06.23; source=20260603_202728_444675_trusted_account_backtest
adaptive_market_style,manual_trade_sample_coverage,PASS,sampled=5; completed_round_trips=457; target=5
ashare_auto_shadow,manual_trade_sample_coverage,PASS,sampled=5; completed_round_trips=11; target=5
ashare_hybrid_conservative_shadow,manual_trade_sample_coverage,WARN,sampled=0; completed_round_trips=0; target=5
ashare_trend_breakout_shadow,manual_trade_sample_coverage,WARN,sampled=0; completed_round_trips=0; target=5
baseline_full_liquidity_detail_vol_position,manual_trade_sample_coverage,PASS,sampled=5; completed_round_trips=427; target=5
dual_system_adaptive_route,manual_trade_sample_coverage,PASS,sampled=5; completed_round_trips=26; target=5
tiered_liquidity_then_bs_v2,manual_trade_sample_coverage,PASS,sampled=5; completed_round_trips=408; target=5
