strategy,window,comparable,window_start,window_end,trading_days,total_return,annualized_return,max_drawdown,annualized_volatility,sharpe,calmar,daily_win_rate
adaptive_market_style,full_history,True,2023-01-05,2026-06-04,824,0.4208894368249991,0.1135596286446583,-0.3733375243147102,0.27929988968370817,0.5276477745252699,0.30750634385199355,0.4757281553398058
adaptive_market_style,1y,True,2025-05-22,2026-06-04,252,0.541035476731766,0.5436928563321792,-0.22236070234515604,0.3499206856542757,1.414943798956147,2.445094167260905,0.5338645418326693
adaptive_market_style,6m,True,2025-11-25,2026-06-04,126,0.518781894286116,1.3221739504484264,-0.22236070234515604,0.3883654483730538,2.363209674347488,5.946077416125903,0.552
adaptive_market_style,3m,True,2026-03-04,2026-06-04,63,0.1607299828640094,0.8327406733308644,-0.08918997290252573,0.27984179008306126,2.305076446035163,9.336707325171554,0.5967741935483871
ashare_auto_shadow,full_history,True,2026-03-04,2026-06-02,61,0.0871802850750003,0.4205829138475887,-0.1728134529503842,0.6653573381608503,0.8556361969699706,2.433739426341654,0.5081967213114754
ashare_auto_shadow,1y,True,2026-03-04,2026-06-02,61,0.08718028507500031,0.4205829138475887,-0.1728134529503843,0.6653573381608503,0.8556361969699706,2.433739426341654,0.5166666666666667
ashare_auto_shadow,6m,True,2026-03-04,2026-06-02,61,0.08718028507500031,0.4205829138475887,-0.1728134529503843,0.6653573381608503,0.8556361969699706,2.433739426341654,0.5166666666666667
ashare_auto_shadow,3m,True,2026-03-04,2026-06-02,61,0.08718028507500031,0.4205829138475887,-0.1728134529503843,0.6653573381608503,0.8556361969699706,2.433739426341654,0.5166666666666667
ashare_hybrid_conservative_shadow,full_history,True,2026-03-04,2026-06-02,61,-0.1182205323799999,-0.4104618362988821,-0.15560483238,0.2906905255305164,-1.6619194978657834,-2.637847617074642,0.0491803278688524
ashare_hybrid_conservative_shadow,1y,True,2026-03-04,2026-06-02,61,-0.11822053237999997,-0.4104618362988821,-0.15560483238,0.2906905255305164,-1.6619194978657834,-2.637847617074642,0.05
ashare_hybrid_conservative_shadow,6m,True,2026-03-04,2026-06-02,61,-0.11822053237999997,-0.4104618362988821,-0.15560483238,0.2906905255305164,-1.6619194978657834,-2.637847617074642,0.05
ashare_hybrid_conservative_shadow,3m,True,2026-03-04,2026-06-02,61,-0.11822053237999997,-0.4104618362988821,-0.15560483238,0.2906905255305164,-1.6619194978657834,-2.637847617074642,0.05
ashare_trend_breakout_shadow,full_history,True,2026-03-04,2026-06-02,61,0.0,0.0,0.0,0.0,,,0.0
ashare_trend_breakout_shadow,1y,True,2026-03-04,2026-06-02,61,0.0,0.0,0.0,0.0,,,0.0
ashare_trend_breakout_shadow,6m,True,2026-03-04,2026-06-02,61,0.0,0.0,0.0,0.0,,,0.0
ashare_trend_breakout_shadow,3m,True,2026-03-04,2026-06-02,61,0.0,0.0,0.0,0.0,,,0.0
baseline_full_liquidity_detail_vol_position,full_history,True,2023-01-05,2026-06-02,822,0.1840132879266998,0.0532131417507764,-0.6641122328402946,0.43324677966309233,0.33636959731266514,0.0810280525994856,0.48661800486618
baseline_full_liquidity_detail_vol_position,1y,True,2025-05-20,2026-06-02,252,1.7294869196737466,1.740427973226641,-0.28754476465590595,0.5112852254058576,2.2278436444424843,6.0527200879812435,0.5258964143426295
baseline_full_liquidity_detail_vol_position,6m,True,2025-11-21,2026-06-02,126,0.7749488320949338,2.17949868002847,-0.28754476465590595,0.5157845981527529,2.5013501769689714,7.579684793206353,0.536
baseline_full_liquidity_detail_vol_position,3m,True,2026-03-02,2026-06-02,63,0.3670780053833316,2.5639700205225604,-0.12865168412092332,0.4684320793516923,2.9480791945283262,19.92954882823464,0.5483870967741935
dual_system_adaptive_route,full_history,True,2026-03-04,2026-06-02,61,0.0527007159149999,0.2407396377762169,-0.1206116477439736,0.2861658826600767,0.7447560723476697,1.566831353166471,0.4262295081967213
dual_system_adaptive_route,1y,True,2026-03-04,2026-06-02,61,0.042073946457777955,0.18897811124232788,-0.1206116477439736,0.2861658826600767,0.7447560723476697,1.566831353166471,0.43333333333333335
dual_system_adaptive_route,6m,True,2026-03-04,2026-06-02,61,0.042073946457777955,0.18897811124232788,-0.1206116477439736,0.2861658826600767,0.7447560723476697,1.566831353166471,0.43333333333333335
dual_system_adaptive_route,3m,True,2026-03-04,2026-06-02,61,0.042073946457777955,0.18897811124232788,-0.1206116477439736,0.2861658826600767,0.7447560723476697,1.566831353166471,0.43333333333333335
tiered_liquidity_then_bs_v2,full_history,True,2023-01-04,2026-06-02,823,-0.7062990105684999,-0.3131275286340934,-0.9419639308876044,1.0051126234815186,-0.001640585815731646,-0.3377834718155259,0.4483596597812879
tiered_liquidity_then_bs_v2,1y,True,2025-05-20,2026-06-02,252,0.5586553116047155,0.5614137967379609,-0.6269504200288939,1.6618988157945538,0.8543802888656558,0.8954676140293316,0.47410358565737054
tiered_liquidity_then_bs_v2,6m,True,2025-11-21,2026-06-02,126,0.51501583050017,1.3105800348988548,-0.4144832984138047,0.6038471404922008,1.6875359011213085,3.1619610245197873,0.48
tiered_liquidity_then_bs_v2,3m,True,2026-03-02,2026-06-02,63,0.16106651524701876,0.8349013931640441,-0.23016276297071925,0.5390286495064202,1.3878600310590674,3.62743904525624,0.45161290322580644
