strategy,symbol,name,industry,recommendation_count,first_recommendation,last_recommendation,average_rank,completed_trade_count,cumulative_net_pnl,average_net_return,win_rate,best_trade_return,worst_trade_return,max_loss_amount,total_cost
tiered_liquidity_then_bs_v2,600693,东百集团,百货,1,2025-12-16,2025-12-16,2.0,,,,,,,,
tiered_liquidity_then_bs_v2,600698,湖南天雁,汽车配件,1,2025-07-02,2025-07-02,3.0,,,,,,,,
tiered_liquidity_then_bs_v2,600699,均胜电子,汽车配件,9,2023-07-04,2025-09-19,2.0,1.0,-1710.4613224999996,-0.12045985807176764,0.0,-0.12045985807176764,-0.12045985807176764,-1710.4613224999996,20.0313225
tiered_liquidity_then_bs_v2,600702,舍得酒业,白酒,5,2023-02-10,2024-10-10,1.4,,,,,,,,
tiered_liquidity_then_bs_v2,600703,三安光电,半导体,4,2023-04-04,2026-05-14,3.25,1.0,-10840.7012225,-0.09234213941960415,0.0,-0.09234213941960415,-0.09234213941960415,-10840.7012225,168.09122250000001
tiered_liquidity_then_bs_v2,600704,物产中大,仓储物流,1,2023-05-09,2023-05-09,2.0,,,,,,,,
tiered_liquidity_then_bs_v2,600706,曲江文旅,旅游景点,1,2023-09-18,2023-09-18,5.0,,,,,,,,
tiered_liquidity_then_bs_v2,600707,彩虹股份,元器件,1,2026-05-14,2026-05-14,2.0,,,,,,,,
tiered_liquidity_then_bs_v2,600711,盛屯矿业,小金属,8,2024-07-09,2025-12-23,2.625,1.0,-422.13149999999945,-0.014256382978723385,0.0,-0.014256382978723385,-0.014256382978723385,-422.13149999999945,44.131499999999996
tiered_liquidity_then_bs_v2,600722,金牛化工,化工原料,2,2026-03-16,2026-03-17,2.5,,,,,,,,
tiered_liquidity_then_bs_v2,600732,爱旭股份,电气设备,3,2023-05-24,2023-06-15,1.3333333333333333,,,,,,,,
tiered_liquidity_then_bs_v2,600733,北汽蓝谷,汽车整车,1,2024-06-21,2024-06-21,3.0,,,,,,,,
tiered_liquidity_then_bs_v2,600737,中粮糖业,食品,1,2025-09-02,2025-09-02,1.0,,,,,,,,
tiered_liquidity_then_bs_v2,600742,富维股份,汽车配件,1,2023-11-29,2023-11-29,2.0,,,,,,,,
