signal_date,execution_date,strategy,rank,symbol,name,industry,rank_score,raw_effective_weight,adjusted_target_weight,planned_shares,planned_price,plan_reject_reason,execution_tradable,locked,skipped_by_position_cap,pattern_score,pattern_sentiment,pattern_risk_level,pattern_pass_count,bullish_pattern_count,bearish_pattern_count,top_pattern_ids,base_rank_score,pattern_adjustment_pct,pattern_adjusted_rank_score,pattern_strategy_mode,pattern_weight_multiplier,large_slippage_proxy,limit_up_buy_ratio,unfilled_ratio_proxy,limit_down_sell_ratio,open_gap_proxy,estimated_turnover_impact,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,adaptive_role,adaptive_underlying_strategy,adaptive_reason,adaptive_target_position_ratio,adaptive_position_reason,market_style_state,selected_strategy,target_position_ratio,style_reason,switch_reason,recent_champion_strategy,champion_score,weekly_switch_allowed,market_state,industry_state,strategy_source,ashare_resolved_strategy,route_reason,risk_veto_reason,dual_intersection_count,dual_union_count,adaptive_version,ashare_release_tier,ashare_weight_profile,ashare_supplement_limit,ashare_weight_cache_key,ashare_weighted_hit_count,ashare_supplement_count,ashare_weekly_penalty_count,ashare_risk_veto_filtered_count,risk_decision,fallback_strategy,allow_new_buys,risk_governor_reasons,risk_governor_version,recovery_status,governed_nav_ret_10d,governed_nav_drawdown_20d,recovery_streak,champion_score_floor,recovery_position,nav_ret_10d_kill,nav_dd_20d_kill,max_recovery_streak,champion_score_pctile_252,champion_score_z_252,champion_score_rank_252,champion_score_sample_count_252,champion_score_percentile_floor,champion_score_z_floor,pattern_top5_high_risk_count,pattern_top5_bullish_count,pattern_top5_bearish_count,top_industry_weight,fp_classified_label,fp_classified_gate_reason,execution_safe_uplift_preflight_status,execution_safe_uplift_fallback_applied,execution_safe_uplift_hard_block_reasons,execution_safe_uplift_incremental_symbols,execution_safe_uplift_planned_strategy,execution_safe_uplift_planned_position_ratio,execution_safe_uplift_final_strategy,execution_safe_uplift_final_position_ratio,precommit_uplift_risk_level,precommit_uplift_cap_reason,cap_input_coverage,cap_missing_fields,cap_trigger_count,strict_cap_candidate_vol_20,strict_cap_candidate_ret_1,precommit_cap_applied,decision_timestamp,proxy_asof_timestamp,order_submit_timestamp,fill_timestamp,execution_mode,causality_pass,daily_proxy_approximation,execution_mode_status,execution_promotion_eligible
2023-11-29,2023-11-30,baseline_full_liquidity_detail_vol_position,1,002594,比亚迪,汽车整车,92.49327763965557,0.09168473050463,0.15243081624601418,200,619.5316,,,0,0,,,,,,,,,,,,,0.0018812652116733108,0.0,0.0,0.0,-0.0018812652116733108,4.0701955034981506e-05,0.33584309340170915,0.30000000000000004,0.30000000000000004,0.0358430934017091,-663.3855399999302,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29,2023-11-30,baseline_full_liquidity_detail_vol_position,2,688041,海光信息,半导体,91.25098969688725,0.05002415667990638,0.08316786222490521,1100,72.0413,,,0,0,,,,,,,,,,,,,0.01685601810095272,0.0,0.0,0.0,0.01685601810095272,3.4414600904627245e-05,0.33584309340170915,0.30000000000000004,0.30000000000000004,0.0358430934017091,-663.3855399999302,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29,2023-11-30,baseline_full_liquidity_detail_vol_position,3,002142,宁波银行,银行,90.66896224257107,0.14261419374935785,0.23710379952945423,9500,24.7909,,,0,0,,,,,,,,,,,,,0.00043179635354029244,0.0,0.0,0.0,0.00043179635354029244,0.0002625269297181488,0.33584309340170915,0.30000000000000004,0.30000000000000004,0.0358430934017091,-663.3855399999302,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29,2023-11-30,baseline_full_liquidity_detail_vol_position,4,688271,联影医疗,医疗保健,90.1638444556993,0.10919180144615434,0.1815372672221521,1300,138.8526,,,0,0,,,,,,,,,,,,,0.004068262347241225,0.0,0.0,0.0,0.004068262347241225,9.662280336368794e-05,0.33584309340170915,0.30000000000000004,0.30000000000000004,0.0358430934017091,-663.3855399999302,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29,2023-11-30,baseline_full_liquidity_detail_vol_position,5,300351,永贵电器,运输设备,89.95033992111307,0.02752407111908799,0.045760254777474176,1900,23.2694,,,0,0,,,,,,,,,,,,,0.006481307533345748,0.0,0.0,0.0,-0.006481307533345748,1.797492556054577e-05,0.33584309340170915,0.30000000000000004,0.30000000000000004,0.0358430934017091,-663.3855399999302,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-01,2023-12-04,baseline_full_liquidity_detail_vol_position,1,600036,招商银行,银行,92.74555419918617,0.16476212676310584,0.0,0,,,,0,1,,,,,,,,,,,,,0.0003524058717678802,0.0,0.0,0.0,0.0003524058717678802,0.0,0.3368121936037947,0.30000000000000004,0.30000000000000004,0.036812193603794674,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-01,2023-12-04,baseline_full_liquidity_detail_vol_position,2,600519,贵州茅台,白酒,92.57392308718565,0.2,0.0,0,,,,0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.3368121936037947,0.30000000000000004,0.30000000000000004,0.036812193603794674,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-01,2023-12-04,baseline_full_liquidity_detail_vol_position,3,002728,特一药业,中成药,91.89985558001467,0.04079798723125021,0.0,0,,,,0,1,,,,,,,,,,,,,0.050290783814281426,0.0,0.0,0.0,-0.050290783814281426,0.0,0.3368121936037947,0.30000000000000004,0.30000000000000004,0.036812193603794674,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-01,2023-12-04,baseline_full_liquidity_detail_vol_position,4,688271,联影医疗,医疗保健,91.62288786605296,0.10137008763992253,0.0,0,,,,1,0,,,,,,,,,,,,,0.016783512442948956,0.0,0.0,0.0,-0.016783512442948956,0.0,0.3368121936037947,0.30000000000000004,0.30000000000000004,0.036812193603794674,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-01,2023-12-04,baseline_full_liquidity_detail_vol_position,5,002594,比亚迪,汽车整车,91.20114321926489,0.09691806642959573,0.0,0,,,,1,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.3368121936037947,0.30000000000000004,0.30000000000000004,0.036812193603794674,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-05,2023-12-06,baseline_full_liquidity_detail_vol_position,1,600519,贵州茅台,白酒,92.83198692287165,0.1751374741951982,0.0,0,,,,0,1,,,,,,,,,,,,,0.0037273210865160777,0.0,0.0,0.0,-0.0037273210865160777,0.0,0.34239596238621833,0.30000000000000004,0.30000000000000004,0.04239596238621829,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-05,2023-12-06,baseline_full_liquidity_detail_vol_position,2,002142,宁波银行,银行,92.75874619695756,0.11666583559405515,0.0,0,,,,1,0,,,,,,,,,,,,,0.006152260746638771,0.0,0.0,0.0,-0.006152260746638771,0.0,0.34239596238621833,0.30000000000000004,0.30000000000000004,0.04239596238621829,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-05,2023-12-06,baseline_full_liquidity_detail_vol_position,3,688271,联影医疗,医疗保健,92.13152628769681,0.104631987583662,0.0,0,,,,1,0,,,,,,,,,,,,,0.00013870525202941408,0.0,0.0,0.0,-0.00013870525202941408,0.0,0.34239596238621833,0.30000000000000004,0.30000000000000004,0.04239596238621829,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-05,2023-12-06,baseline_full_liquidity_detail_vol_position,4,688041,海光信息,半导体,92.06527488657593,0.05263973736886823,0.0,0,,,,1,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.34239596238621833,0.30000000000000004,0.30000000000000004,0.04239596238621829,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-05,2023-12-06,baseline_full_liquidity_detail_vol_position,5,300760,迈瑞医疗,医疗保健,91.88528315986122,0.13208635403878397,0.0,0,,,,0,1,,,,,,,,,,,,,0.00024235046682630212,0.0,0.0,0.0,-0.00024235046682630212,0.0,0.34239596238621833,0.30000000000000004,0.30000000000000004,0.04239596238621829,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-06,2023-12-07,baseline_full_liquidity_detail_vol_position,1,300750,宁德时代,电气设备,93.61495996077005,0.11627210228055725,0.0,0,,,,0,1,,,,,,,,,,,,,0.005402862093895955,0.0,0.0,0.0,-0.005402862093895955,0.0,0.33807434528775243,0.30000000000000004,0.30000000000000004,0.03807434528775239,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-06,2023-12-07,baseline_full_liquidity_detail_vol_position,2,688041,海光信息,半导体,93.43364723852667,0.05111902962237449,0.0,0,,,,1,0,,,,,,,,,,,,,0.00793755421556519,0.0,0.0,0.0,-0.00793755421556519,0.0,0.33807434528775243,0.30000000000000004,0.30000000000000004,0.03807434528775239,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-06,2023-12-07,baseline_full_liquidity_detail_vol_position,3,300760,迈瑞医疗,医疗保健,93.39310612337101,0.12471038084224795,0.0,0,,,,0,1,,,,,,,,,,,,,0.0003549922032080044,0.0,0.0,0.0,-0.0003549922032080044,0.0,0.33807434528775243,0.30000000000000004,0.30000000000000004,0.03807434528775239,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-06,2023-12-07,baseline_full_liquidity_detail_vol_position,4,601398,工商银行,银行,92.6642290421019,0.2,0.0,0,,,,0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.33807434528775243,0.30000000000000004,0.30000000000000004,0.03807434528775239,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-06,2023-12-07,baseline_full_liquidity_detail_vol_position,5,688271,联影医疗,医疗保健,92.16979813164669,0.09496052639810569,0.0,0,,,,1,0,,,,,,,,,,,,,0.006666697629301721,0.0,0.0,0.0,-0.006666697629301721,0.0,0.33807434528775243,0.30000000000000004,0.30000000000000004,0.03807434528775239,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-07,2023-12-08,baseline_full_liquidity_detail_vol_position,1,688041,海光信息,半导体,94.44735935935935,0.05466651877482685,0.0,0,,,,1,0,,,,,,,,,,,,,0.011344922980109251,0.0,0.0,0.0,0.011344922980109251,0.0,0.34066532704361613,0.30000000000000004,0.30000000000000004,0.040665327043616084,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-07,2023-12-08,baseline_full_liquidity_detail_vol_position,2,688271,联影医疗,医疗保健,93.09904404404405,0.08875073847056182,0.0,0,,,,1,0,,,,,,,,,,,,,0.00020463383460667117,0.0,0.0,0.0,0.00020463383460667117,0.0,0.34066532704361613,0.30000000000000004,0.30000000000000004,0.040665327043616084,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
