signal_date,rank,symbol,name,industry,execution_date,entry_open,end_close,return_t1_open_to_end,review_window_low_vs_entry,review_window_min_close_vs_entry,review_window_close_drawdown,effective_weight
2026-08-17,1,600186,莲花控股,食品,2026-08-18,13.07,11.94,-0.08645753634276976,-0.17368018362662585,-0.13312930374904364,-0.017316017316017396,0.1065970559113216
2026-08-17,2,600498,烽火通信,通信设备,2026-08-18,41.73,41.18,-0.013179966450994396,-0.10543973160795583,-0.06254493170381015,-0.0358229922734723,0.1278557522234517
2026-08-17,3,300319,麦捷科技,元器件,2026-08-18,19.11,20.91,0.09419152276295129,-0.12506541077969657,-0.07796964939822071,-0.008998875140607376,0.1004216105828051
2026-08-17,4,688300,联瑞新材,矿物制品,2026-08-18,166.0,189.9,0.1439759036144579,-0.21554216867469878,-0.16180722891566268,0.0,0.0698779914260177
2026-08-17,5,600487,亨通光电,通信设备,2026-08-18,65.07,68.7,0.055786076532964746,-0.12402028584601188,-0.07130782234516664,-0.036465638148667545,0.0952475898564037
2026-08-18,1,300570,太辰光,通信设备,2026-08-19,190.71,204.3,0.07126002831524314,0.004666771537937153,0.034659954905353674,-0.027501232134056197,0.0851445683085438
2026-08-18,2,600186,莲花控股,食品,2026-08-19,12.32,11.94,-0.030844155844155896,-0.12337662337662336,-0.0803571428571429,-0.017316017316017396,0.1305196785265676
2026-08-18,3,300489,光智科技,专用机械,2026-08-19,241.41,234.09,-0.03032185907791718,-0.20467254877594132,-0.1626278944534194,-0.04154971702019972,0.0715009746357202
2026-08-18,4,600869,远东股份,电气设备,2026-08-19,16.37,18.65,0.13927916921197303,-0.07452657299938914,-0.012828344532681779,0.0,0.1326018843520718
2026-08-18,5,688143,长盈通,通信设备,2026-08-19,136.57,162.51,0.18993922530570395,0.03390202826389399,0.09994874423372635,-0.06226197345643403,0.0802328941770963
2026-08-19,1,300489,光智科技,专用机械,2026-08-20,226.91,234.09,0.03164250143228586,-0.15384954387201977,-0.10911815257150403,-0.04154971702019972,0.0681685380018475
2026-08-19,2,600460,士兰微,半导体,2026-08-20,34.49,34.17,-0.009278051609162064,-0.05682806610611779,-0.04117135401565675,-0.07002249718785158,0.1885299610246154
2026-08-19,3,300570,太辰光,通信设备,2026-08-20,184.12,204.3,0.10960243319574192,0.04062567890506186,0.07169237453834443,-0.027501232134056197,0.0851680926267996
2026-08-19,4,688432,有研硅,半导体,2026-08-20,49.1,45.22,-0.07902240325865584,-0.14847250509164966,-0.14643584521384934,-0.13211845102505704,0.0775848953441211
2026-08-19,5,688143,长盈通,通信设备,2026-08-20,129.29,162.51,0.25694175883672354,0.09211849330961397,0.16188413643746613,-0.06226197345643403,0.0805485130026163
2026-08-20,1,300570,太辰光,通信设备,2026-08-21,213.0,204.3,-0.04084507042253516,-0.10046948356807517,-0.07361502347417848,-0.027501232134056197,0.057401250760578
2026-08-20,2,600460,士兰微,半导体,2026-08-21,32.22,34.17,0.06052141527001864,0.009621353196772153,0.02638112973308515,-0.07002249718785158,0.1419648635734912
2026-08-20,3,688143,长盈通,通信设备,2026-08-21,150.53,162.51,0.07958546469142358,-0.06198100046502364,-0.0020593901547864,-0.06226197345643403,0.0540675914647211
2026-08-20,4,600869,远东股份,电气设备,2026-08-21,16.56,18.65,0.12620772946859904,-0.08514492753623182,-0.02415458937198056,0.0,0.0929621011658241
2026-08-20,5,301358,湖南裕能,电气设备,2026-08-21,65.9,62.94,-0.04491654021244318,-0.08057663125948411,-0.05189681335356611,-0.053333333333333344,0.1536041930353853
2026-08-21,1,300570,太辰光,通信设备,2026-08-24,215.3,204.3,-0.05109150023223408,-0.11007895959126812,-0.08351137947050635,-0.027501232134056197,0.075304879230453
2026-08-21,2,600869,远东股份,电气设备,2026-08-24,16.89,18.65,0.10420367081113069,-0.10301953818827714,-0.043220840734162214,0.0,0.1252516208886233
2026-08-21,3,688143,长盈通,通信设备,2026-08-24,154.01,162.51,0.05519122134926313,-0.08317641711577173,-0.024608791636906657,-0.06226197345643403,0.0689098443756264
2026-08-21,4,600498,烽火通信,通信设备,2026-08-24,40.73,41.18,0.011048367296832895,-0.08347655290940337,-0.039528602995335116,-0.0358229922734723,0.1409425777940373
2026-08-21,5,688313,仕佳光子,通信设备,2026-08-24,156.79,155.1,-0.010778748644683978,-0.06562918553479169,-0.04643153262325406,-0.02947095098993846,0.0895910777112597
