symbol,name,industry,recommendation_count,first_signal_date,last_signal_date,performance_start_open,performance_end_close,week_open_to_close,friday_close_to_friday_close,week_low_vs_start_open,week_close_drawdown
688300,联瑞新材,矿物制品,1,2026-08-17,2026-08-17,142.01,189.9,0.337229772551229,0.3068611933108527,-0.08302232237166396,0.0
300319,麦捷科技,元器件,1,2026-08-17,2026-08-17,18.29,20.91,0.14324767632586122,0.14324767632586122,-0.08583925642427559,-0.008998875140607376
600487,亨通光电,通信设备,1,2026-08-17,2026-08-17,62.2,68.7,0.10450160771704176,0.10485686715985842,-0.0836012861736335,-0.036465638148667545
600869,远东股份,电气设备,3,2026-08-18,2026-08-21,16.89,18.65,0.10420367081113069,0.10224586288416049,-0.10301953818827714,0.0
300489,光智科技,专用机械,2,2026-08-18,2026-08-19,215.0,234.09,0.0887906976744186,0.08099746017086118,-0.10697674418604652,-0.04154971702019972
688143,长盈通,通信设备,4,2026-08-18,2026-08-21,154.01,162.51,0.05519122134926313,0.023362720403022452,-0.08317641711577173,-0.06226197345643403
600186,莲花控股,食品,2,2026-08-17,2026-08-18,11.5,11.94,0.03826086956521735,0.027538726333907082,-0.060869565217391286,-0.017316017316017396
688432,有研硅,半导体,1,2026-08-19,2026-08-19,44.0,45.22,0.0277272727272726,0.023076923076922995,-0.04977272727272719,-0.13211845102505704
600498,烽火通信,通信设备,2,2026-08-17,2026-08-21,40.73,41.18,0.011048367296832895,0.011793611793611714,-0.08347655290940337,-0.0358229922734723
688313,仕佳光子,通信设备,1,2026-08-21,2026-08-21,156.79,155.1,-0.010778748644683978,-0.018354430379746822,-0.06562918553479169,-0.02947095098993846
300570,太辰光,通信设备,4,2026-08-18,2026-08-21,215.3,204.3,-0.05109150023223408,-0.0473748018278467,-0.11007895959126812,-0.027501232134056197
600460,士兰微,半导体,2,2026-08-19,2026-08-20,36.25,34.17,-0.05737931034482757,-0.04792421287266646,-0.10262068965517235,-0.07002249718785158
301358,湖南裕能,电气设备,1,2026-08-20,2026-08-20,69.66,62.94,-0.09646856158484063,-0.0645065398335316,-0.13020384725811074,-0.053333333333333344
