strategy,window,requested_window,requested_window_days,actual_start,actual_end,actual_trading_days,coverage_ratio,coverage_status,window_start,window_end,trading_days,initial_cash,window_start_equity,window_end_equity,total_return,max_drawdown,annualized_volatility,daily_win_rate,avg_gross_exposure,avg_position_count
production_governed_vol_position_v1_2b_dynamic_score,3m,3m,63,2026-04-14,2026-07-14,62,0.9841269841269841,PASS,2026-04-14,2026-07-14,62,500000.0,549751.7118600002,703326.7297150003,0.2793534145358141,-0.11913636633444513,0.41689764098232945,0.5645161290322581,0.6512283698807219,4.82258064516129
production_governed_vol_position_v1_2b_dynamic_score,6m,6m,126,2026-01-14,2026-07-14,119,0.9444444444444444,PASS,2026-01-14,2026-07-14,119,500000.0,572634.1107825,703326.7297150003,0.2282305864628109,-0.11913636633444502,0.3719555948580885,0.4957983193277311,0.653062222347683,4.882352941176471
production_governed_vol_position_v1_2b_dynamic_score,1y,1y,252,2025-09-02,2026-07-14,207,0.8214285714285714,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-14,207,500000.0,492830.0016975,703326.7297150003,0.427118331458042,-0.13123225966172847,0.3363383541590287,0.5169082125603864,0.6108595479006156,4.888888888888889
production_governed_vol_position_v1_2b_dynamic_score,3y,3y,756,2025-09-02,2026-07-14,207,0.27380952380952384,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-14,207,500000.0,492830.0016975,703326.7297150003,0.427118331458042,-0.13123225966172847,0.3363383541590287,0.5169082125603864,0.6108595479006156,4.888888888888889
production_governed_vol_position_v1_2b_execution_safe_uplift,3m,3m,63,2026-04-14,2026-07-14,62,0.9841269841269841,PASS,2026-04-14,2026-07-14,62,500000.0,549751.7118600002,703326.7297150003,0.2793534145358141,-0.11913636633444513,0.41689764098232945,0.5645161290322581,0.6512283698807219,4.82258064516129
production_governed_vol_position_v1_2b_execution_safe_uplift,6m,6m,126,2026-01-14,2026-07-14,119,0.9444444444444444,PASS,2026-01-14,2026-07-14,119,500000.0,572634.1107825,703326.7297150003,0.2282305864628109,-0.11913636633444502,0.3719555948580885,0.4957983193277311,0.653062222347683,4.882352941176471
production_governed_vol_position_v1_2b_execution_safe_uplift,1y,1y,252,2025-09-02,2026-07-14,207,0.8214285714285714,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-14,207,500000.0,492830.0016975,703326.7297150003,0.427118331458042,-0.13123225966172847,0.3363383541590287,0.5169082125603864,0.6108595479006156,4.888888888888889
production_governed_vol_position_v1_2b_execution_safe_uplift,3y,3y,756,2025-09-02,2026-07-14,207,0.27380952380952384,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-14,207,500000.0,492830.0016975,703326.7297150003,0.427118331458042,-0.13123225966172847,0.3363383541590287,0.5169082125603864,0.6108595479006156,4.888888888888889
adaptive_market_style,3m,3m,63,2026-04-14,2026-07-14,62,0.9841269841269841,PASS,2026-04-14,2026-07-14,62,500000.0,591573.4089225002,586889.653295,-0.007917454633451615,-0.1454275603697751,0.3147350491788195,0.5483870967741935,0.437902250315192,4.548387096774194
adaptive_market_style,6m,6m,126,2026-01-14,2026-07-14,119,0.9444444444444444,PASS,2026-01-14,2026-07-14,119,500000.0,639082.0249200002,586889.653295,-0.08166771961945518,-0.145427560369775,0.2875495996253888,0.5294117647058824,0.41683659854923444,4.621848739495798
adaptive_market_style,1y,1y,252,2025-09-02,2026-07-14,207,0.8214285714285714,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-14,207,500000.0,494109.972835,586889.653295,0.18777131723868723,-0.145427560369775,0.2892281259616482,0.5410628019323671,0.39072077382960096,4.57487922705314
adaptive_market_style,3y,3y,756,2025-09-02,2026-07-14,207,0.27380952380952384,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-14,207,500000.0,494109.972835,586889.653295,0.18777131723868723,-0.145427560369775,0.2892281259616482,0.5410628019323671,0.39072077382960096,4.57487922705314
