asof_date,asof_date_key,symbol,ts_code,name,score,base_score,penalty,s_trend,s_breakout,s_volume,s_rs,s_contraction,s_liquidity,opt_score,claude_score,bs_score,bs_entry_score,bs_score_v2,bs_score_v2_label,bs_research_score,bs_research_label,bs_research_reason,close_price,buy_point_close,price_change_ratio,is_limit_up,pool_type,is_self_selected,score_opt_gap,score_claude_gap,opt_claude_gap,score_dispersion,rs_liquidity_combo,breakout_volume_combo,overextended_flag,pullback_flag,event_seq_for_symbol,total_b_points,total_s_points,buy_points_count,sell_points_count,p_signal,model_rank_score
2026-05-08,20260508,002292,002292.SZ,奥飞娱乐,65.55,65.55,0.0,100.0,43.85,85.84,51.84,55.34,18.14,6.35,46.0007,58.84,84.91,52.61,剔除,36.05,回避,流动性偏弱,8.13,7.88,3.17,0,WATCH,1,2.049999999999997,19.549299999999995,17.499299999999998,10.744014853086032,30.665576792227473,58.5465,0,0,,,,,,0.32580657095024695,38.58945996651729
2026-05-08,20260508,603949,603949.SH,雪龙集团,47.38,47.38,0.0,0.0,43.85,84.14,41.54,97.21,12.13,6.45,48.1382,54.42,75.0,48.51,剔除,30.92,回避,流动性偏弱,18.49,18.49,0.0,0,,1,-17.119999999999997,-0.7581999999999951,16.361800000000002,9.672794894961848,22.447276004005474,57.9515,0,0,,,,,,0.342163141296768,38.50441989077376
2026-05-08,20260508,688169,688169.SH,石头科技,63.47,63.47,0.0,100.0,43.85,86.85,44.25,76.63,25.52,8.3,58.8834,66.57,86.0,57.48,剔除,50.76,回避,V2评分较好,120.87,116.76,3.52,0,WATCH,1,-19.53,4.586599999999997,24.1166,12.80669222919538,33.60446398917858,58.9,0,0,,,,,,0.29872688534533065,38.15488197417314
2026-05-08,20260508,300963,300963.SZ,中洲特材,43.18,43.18,0.0,0.0,43.85,72.14,48.82,91.63,14.14,6.6,38.8957,53.34,78.25,48.58,剔除,32.3,回避,流动性偏弱,17.49,17.31,1.04,0,,1,-22.82,4.284300000000002,27.1043,14.570236242536817,26.273842505427332,53.7515,0,0,,,,,,0.33673766021256507,38.14563621487955
2026-05-08,20260508,603976,603976.SH,正川股份,57.35,57.35,0.0,100.0,43.85,76.99,47.37,66.91,3.04,6.75,47.7871,59.25,91.5,45.64,剔除,25.69,回避,流动性偏弱,21.54,20.46,5.28,0,,1,-10.15,9.5629,19.7129,9.857907002503117,12.00019999833336,55.449,0,0,,,,,,0.34833758735251863,38.075631114676305
2026-05-08,20260508,600271,600271.SH,航天信息,44.76,44.76,0.0,0.0,43.85,89.28,47.56,75.93,15.54,6.8,44.9114,55.17,75.0,49.74,剔除,33.26,回避,流动性偏弱,8.77,8.77,0.0,0,,1,-23.24,-0.1514000000000024,23.0886,13.374129080180635,27.186069962390665,59.7505,0,0,,,,,,0.3306902296582472,38.070316076077305
2026-05-08,20260508,300145,300145.SZ,南方泵业,45.3,45.3,0.0,0.0,43.85,58.43,78.77,77.19,23.18,6.95,60.6722,64.22,74.0,58.52,观察,57.53,回避,V2评分较好；相对强弱靠前,5.05,5.06,-0.2,0,,1,-24.200000000000003,-15.3722,8.827800000000003,12.246595347823549,42.730417737251294,48.953,0,0,,,,,,0.29151688974614653,37.96218228223026
2026-05-08,20260508,002396,002396.SZ,星网锐捷,43.03,43.03,0.0,0.0,43.85,95.94,57.47,59.31,24.81,7.75,60.0455,63.03,75.0,56.09,剔除,51.45,回避,V2评分较好,28.92,28.92,0.0,0,,1,-34.47,-17.015499999999996,17.454500000000003,17.235465908507763,37.76017346358462,62.081500000000005,0,0,,,,,,0.3018448089701801,37.95613662791261
2026-05-08,20260508,300693,300693.SZ,盛弘股份,40.85,40.85,0.0,0.0,43.85,72.64,80.72,48.86,26.92,7.6,63.2544,67.41,83.72,59.62,观察,64.49,普通观察,V2与强势流动性共振；相对强弱靠前,53.11,51.67,2.79,0,,1,-35.15,-22.404399999999995,12.745600000000003,17.794802418683943,46.61525930422355,53.9265,0,0,,,,,,0.2864905586973604,37.94033910881522
2026-05-08,20260508,601021,601021.SH,春秋航空,46.25,46.25,0.0,0.0,43.85,75.39,39.2,90.14,20.88,7.2,56.1083,58.14,75.0,52.15,剔除,43.08,回避,优势未形成共振,47.93,47.93,0.0,0,,1,-25.75,-9.8583,15.8917,12.992271470506354,28.609369094756353,54.889,0,0,,,,,,0.3183614795588458,37.930303569119204
2026-05-08,20260508,300579,300579.SZ,数字认证,70.6,70.6,0.0,100.0,87.77,76.96,43.94,78.48,9.72,6.8,36.7369,58.87,77.16,51.65,剔除,36.42,回避,流动性偏弱,27.74,27.55,0.69,0,WATCH,1,2.5999999999999943,33.863099999999996,31.2631,18.84520700876839,20.66632042720716,83.98649999999999,0,0,,,,,,0.31960164242355443,37.86711496964881
2026-05-08,20260508,002127,002127.SZ,南极电商,55.41,55.41,0.0,100.0,43.85,29.12,64.3,93.81,12.63,5.95,43.5694,58.76,98.72,51.34,剔除,34.6,回避,流动性偏弱,3.06,2.82,8.51,0,,1,-4.090000000000003,11.840599999999997,15.930599999999998,8.273571626168067,28.497526208427285,38.694500000000005,0,0,,,,,,0.32061449296115835,37.845014507281086
2026-05-08,20260508,600694,600694.SH,大商股份,52.62,52.62,0.0,100.0,43.85,29.12,54.17,72.49,6.24,8.1,53.9338,65.61,96.16,47.86,剔除,29.14,回避,流动性偏弱,17.97,16.83,6.77,0,,1,-28.380000000000003,-1.3138000000000003,27.0662,16.019413497794897,18.3853419875726,38.694500000000005,0,0,,,,,,0.33391332481773517,37.73193273724146
2026-05-08,20260508,300809,300809.SZ,华辰装备,41.15,41.15,0.0,0.0,43.85,94.05,60.37,53.1,15.25,7.65,48.587,60.02,75.0,51.62,剔除,35.4,回避,流动性偏弱,35.46,35.46,0.0,0,,1,-35.35,-7.437000000000005,27.912999999999997,18.637180750675068,30.342091226545342,61.42,0,0,,,,,,0.3174355851300565,37.70649095910396
2026-05-08,20260508,300424,300424.SZ,航新科技,63.64,63.64,0.0,100.0,43.85,87.83,73.19,65.13,16.48,7.6,47.584,66.94,95.22,58.41,观察,46.67,回避,V2评分较好；相对强弱靠前；流动性偏弱,19.07,17.35,9.91,0,WATCH,1,-12.36,16.055999999999997,28.415999999999997,14.248004491857795,34.72997552547367,59.242999999999995,0,0,,,,,,0.2879965453214288,37.682758172500016
