strategy,window,window_start,window_end,trading_days,initial_cash,window_start_equity,window_end_equity,total_return,max_drawdown,annualized_volatility,daily_win_rate,avg_gross_exposure,avg_position_count
production_governed_vol_position_v1_2b_dynamic_score,3m,2026-03-30,2026-06-29,61,500000.0,543480.0112775001,763012.1364650002,0.40393780936205825,-0.0810403787295031,0.37565820897055185,0.5737704918032787,0.6550813259965075,4.80327868852459
production_governed_vol_position_v1_2b_dynamic_score,6m,2025-12-29,2026-06-29,118,500000.0,500208.92923749995,763012.1364650002,0.5253868770957524,-0.10330587514541001,0.3555063723448084,0.5254237288135594,0.6364443883118995,4.88135593220339
production_governed_vol_position_v1_2b_dynamic_score,1y,2025-09-02,2026-06-29,196,500000.0,492830.0016975,763012.1364650002,0.5482258260188846,-0.13123225966172847,0.3245725478393808,0.5255102040816326,0.6080719876795819,4.88265306122449
production_governed_vol_position_v1_2b_dynamic_score,3y,2025-09-02,2026-06-29,196,500000.0,492830.0016975,763012.1364650002,0.5482258260188846,-0.13123225966172847,0.3245725478393808,0.5255102040816326,0.6080719876795819,4.88265306122449
production_governed_vol_position_v1_2b_execution_safe_uplift,3m,2026-03-30,2026-06-29,61,500000.0,543480.0112775001,763012.1364650002,0.40393780936205825,-0.0810403787295031,0.37565820897055185,0.5737704918032787,0.6550813259965075,4.80327868852459
production_governed_vol_position_v1_2b_execution_safe_uplift,6m,2025-12-29,2026-06-29,118,500000.0,500208.92923749995,763012.1364650002,0.5253868770957524,-0.10330587514541001,0.3555063723448084,0.5254237288135594,0.6364443883118995,4.88135593220339
production_governed_vol_position_v1_2b_execution_safe_uplift,1y,2025-09-02,2026-06-29,196,500000.0,492830.0016975,763012.1364650002,0.5482258260188846,-0.13123225966172847,0.3245725478393808,0.5255102040816326,0.6080719876795819,4.88265306122449
production_governed_vol_position_v1_2b_execution_safe_uplift,3y,2025-09-02,2026-06-29,196,500000.0,492830.0016975,763012.1364650002,0.5482258260188846,-0.13123225966172847,0.3245725478393808,0.5255102040816326,0.6080719876795819,4.88265306122449
adaptive_market_style,3m,2026-03-30,2026-06-29,61,500000.0,572354.8818500002,633818.154295,0.10738664837859768,-0.05242542413235618,0.2284620951261253,0.5901639344262295,0.4156787179297167,4.60655737704918
adaptive_market_style,6m,2025-12-29,2026-06-29,118,500000.0,486962.7996400002,633818.154295,0.3015740725237459,-0.14502457957036408,0.2905176203362287,0.576271186440678,0.42448832627628674,4.669491525423729
adaptive_market_style,1y,2025-09-02,2026-06-29,196,500000.0,494109.972835,633818.154295,0.28274713958597486,-0.1450245795703642,0.26898361122527226,0.5459183673469388,0.38801489185681337,4.591836734693878
adaptive_market_style,3y,2025-09-02,2026-06-29,196,500000.0,494109.972835,633818.154295,0.28274713958597486,-0.1450245795703642,0.26898361122527226,0.5459183673469388,0.38801489185681337,4.591836734693878
baseline_full_liquidity_detail_vol_position,3m,2026-03-30,2026-06-29,61,500000.0,681815.7158425,1073443.4108674997,0.5743893634676294,-0.1759629734982383,0.5961840502196942,0.5737704918032787,0.6880290453286307,5.016393442622951
baseline_full_liquidity_detail_vol_position,6m,2025-12-29,2026-06-29,118,500000.0,535934.5403875,1073443.4108674997,1.0029375417590392,-0.1759629734982382,0.5276843178432784,0.576271186440678,0.6922490590866633,4.991525423728813
baseline_full_liquidity_detail_vol_position,1y,2025-09-02,2026-06-29,196,500000.0,492830.0016975,1073443.4108674997,1.178121070491121,-0.1759629734982383,0.45681262814116036,0.5714285714285714,0.689761934624074,4.98469387755102
baseline_full_liquidity_detail_vol_position,3y,2025-09-02,2026-06-29,196,500000.0,492830.0016975,1073443.4108674997,1.178121070491121,-0.1759629734982383,0.45681262814116036,0.5714285714285714,0.689761934624074,4.98469387755102
