strategy,signal_date,entry_date,exit_date,hold_days,rebalance_step,selected_count,symbol,name,industry,is_bs_candidate,sort_col,rank_score,score,score_liq_breakout_adj,s_breakout,s_liquidity,bs_score_v2,bs_consensus_score,bs_model_rank_score,bs_model_prob,bs_model_expected_mdd,pool_type,bs_gate_label,entry_open,exit_close,gross_ret
baseline_full_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,603533,掌阅科技,,0,score,81.25,81.25,81.25,99.86,24.26,67.17,,,,,,,35.83,27.42,-0.23471950879151537
baseline_full_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,688702,盛科通信-U,,0,score,79.72,79.72,79.72,99.86,26.53,64.78,,,,,,,190.0,192.03,0.010684210526315852
baseline_full_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,score,79.71,79.71,79.71,98.57,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
baseline_full_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,688510,航亚科技,,0,score,79.61,79.61,79.61,99.67,24.07,73.05,,,,,,,43.74,39.59,-0.09487882944673065
baseline_full_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,300739,明阳电路,,0,score,79.56,79.56,79.56,99.23,22.7,70.82,,,,,,,22.96,29.94,0.3040069686411151
baseline_b_score_v2,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,bs_score_v2,73.78,78.8,78.8,99.08,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
baseline_b_score_v2,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,bs_score_v2,72.05,79.71,79.71,98.57,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
baseline_b_score_v2,2026-02-13,2026-02-24,2026-03-09,10,10,5,002008,大族激光,,1,bs_score_v2,70.87,76.85,76.85,98.77,28.53,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
baseline_b_score_v2,2026-02-13,2026-02-24,2026-03-09,10,10,5,002837,英维克,,1,bs_score_v2,68.45,74.88,74.88,98.81,29.77,68.45,,,,,WATCH,,112.01,97.0,-0.13400589233104188
baseline_b_score_v2,2026-02-13,2026-02-24,2026-03-09,10,10,5,688017,绿的谐波,,1,bs_score_v2,67.07,68.82,68.82,49.09,28.78,67.07,,,,,WATCH,,242.42,208.34,-0.14058246019305332
