curve,mode,total_return,max_drawdown,sharpe,calmar,avg_position
T0,固定70%仓位,1.044844,-0.284765,2.295,5.2975,0.7
T1,仅成交额比率,1.044844,-0.284765,2.295,5.2975,0.7
T2,仅CSI300 20日趋势,1.044844,-0.284765,2.295,5.2975,0.7
T3,成交额 + CSI300 (双因子),1.044844,-0.284765,2.295,5.2975,0.7
