order_id,execution_date,signal_date,symbol,side,order_reason,shares_requested,shares_filled,execution_price,notional,commission,stamp_tax,slippage,total_cost,cash_before,cash_delta,cash_after,shares_before,shares_after,market_value_before,market_value_after,equity_before,equity_after,nav_before,nav_after,tradable,limit_blocked,suspended,risk_state,target_exposure,actual_exposure,strategy_label
1,2023-11-30,2023-11-29,002142,BUY,TARGET_REBALANCE,4000,4000,24.79,99163.6,74.3727,0.0,0.0,74.3727,500000.0,-99163.6,221816.42,0,4000,0.0,228691.0,500000.0,450507.42,1.0,0.908999,True,False,False,False,0.6,0.512,S60
2,2023-11-30,2023-11-29,002594,BUY,TARGET_REBALANCE,100,100,619.53,61953.16,46.4649,0.0,0.0,46.4649,500000.0,-61953.16,221816.42,0,100,0.0,228691.0,500000.0,450507.42,1.0,0.908999,True,False,False,False,0.6,0.512,S60
3,2023-11-30,2023-11-29,300351,BUY,TARGET_REBALANCE,800,800,23.27,18615.52,13.9616,0.0,0.0,13.9616,500000.0,-18615.52,221816.42,0,800,0.0,228691.0,500000.0,450507.42,1.0,0.908999,True,False,False,False,0.6,0.512,S60
4,2023-11-30,2023-11-29,688041,BUY,TARGET_REBALANCE,400,400,72.04,28816.52,21.6124,0.0,0.0,21.6124,500000.0,-28816.52,221816.42,0,400,0.0,228691.0,500000.0,450507.42,1.0,0.908999,True,False,False,False,0.6,0.512,S60
5,2023-11-30,2023-11-29,688271,BUY,TARGET_REBALANCE,500,500,138.85,69426.3,52.0697,0.0,0.0,52.0697,500000.0,-69426.3,221816.42,0,500,0.0,228691.0,500000.0,450507.42,1.0,0.908999,True,False,False,False,0.6,0.512,S60
6,2023-12-14,2023-12-13,002142,SELL,HOLD_EXPIRY,4000,4000,22.11,88422.4,66.3168,0.0,0.0,66.3168,221816.42,88356.08,269555.12,4000,0,219731.0,196563.0,441547.42,466118.12,0.883095,0.928464,True,False,False,True,0.6,0.4194,S60
7,2023-12-14,2023-12-13,002594,SELL,HOLD_EXPIRY,100,100,593.1,59310.31,44.4827,0.0,0.0,44.4827,221816.42,59265.83,269555.12,100,0,219731.0,196563.0,441547.42,466118.12,0.883095,0.928464,True,False,False,True,0.6,0.4194,S60
8,2023-12-14,2023-12-13,300351,SELL,HOLD_EXPIRY,800,800,20.72,16575.92,12.4319,0.0,0.0,12.4319,221816.42,16563.49,269555.12,800,0,219731.0,196563.0,441547.42,466118.12,0.883095,0.928464,True,False,False,True,0.6,0.4194,S60
9,2023-12-14,2023-12-13,688041,SELL,HOLD_EXPIRY,400,400,78.4,31361.4,23.521,0.0,0.0,23.521,221816.42,31337.88,269555.12,400,0,219731.0,196563.0,441547.42,466118.12,0.883095,0.928464,True,False,False,True,0.6,0.4194,S60
10,2023-12-14,2023-12-13,688271,SELL,HOLD_EXPIRY,500,500,141.63,70812.95,53.1097,0.0,0.0,53.1097,221816.42,70759.84,269555.12,500,0,219731.0,196563.0,441547.42,466118.12,0.883095,0.928464,True,False,False,True,0.6,0.4194,S60
11,2023-12-14,2023-12-13,000568,BUY,TARGET_REBALANCE,200,200,195.33,39066.94,29.3002,0.0,0.0,29.3002,221816.42,-39066.94,269555.12,0,200,219731.0,196563.0,441547.42,466118.12,0.883095,0.928464,True,False,False,True,0.6,0.4194,S60
12,2023-12-14,2023-12-13,002558,BUY,TARGET_REBALANCE,1800,1800,15.06,27111.78,20.3338,0.0,0.0,20.3338,221816.42,-27111.78,269555.12,0,1800,219731.0,196563.0,441547.42,466118.12,0.883095,0.928464,True,False,False,True,0.6,0.4194,S60
13,2023-12-14,2023-12-13,600938,BUY,TARGET_REBALANCE,2600,2600,21.28,55338.66,41.504,0.0,0.0,41.504,221816.42,-55338.66,269555.12,0,2600,219731.0,196563.0,441547.42,466118.12,0.883095,0.928464,True,False,False,True,0.6,0.4194,S60
14,2023-12-14,2023-12-13,601398,BUY,TARGET_REBALANCE,17700,17700,5.47,96863.25,72.6474,0.0,0.0,72.6474,221816.42,-96863.25,269555.12,0,17700,219731.0,196563.0,441547.42,466118.12,0.883095,0.928464,True,False,False,True,0.6,0.4194,S60
15,2023-12-19,2023-12-18,300750,BUY,TARGET_REBALANCE,400,400,156.55,62619.4,46.9645,0.0,0.0,46.9645,269555.12,-62619.4,206888.76,0,400,194567.0,253091.0,464122.12,459979.76,0.928244,0.924008,True,False,False,True,0.6,0.5522,S60
16,2023-12-28,2023-12-27,000568,SELL,HOLD_EXPIRY,200,200,189.79,37957.08,28.4678,0.0,0.0,28.4678,206888.76,37928.61,200755.48,200,0,254285.0,270699.0,461173.76,471454.48,0.922348,0.952765,True,False,False,True,0.6,0.5786,S60
17,2023-12-28,2023-12-27,002558,SELL,HOLD_EXPIRY,1800,1800,11.28,20300.94,15.2257,0.0,0.0,15.2257,206888.76,20285.71,200755.48,1800,0,254285.0,270699.0,461173.76,471454.48,0.922348,0.952765,True,False,False,True,0.6,0.5786,S60
18,2023-12-28,2023-12-27,601398,SELL,HOLD_EXPIRY,17700,17700,5.52,97672.14,73.2541,0.0,0.0,73.2541,206888.76,97598.89,200755.48,17700,0,254285.0,270699.0,461173.76,471454.48,0.922348,0.952765,True,False,False,True,0.6,0.5786,S60
19,2023-12-28,2023-12-27,002786,BUY,TARGET_REBALANCE,1100,1100,17.71,19481.0,14.6107,0.0,0.0,14.6107,206888.76,-19481.0,200755.48,0,1100,254285.0,270699.0,461173.76,471454.48,0.922348,0.952765,True,False,False,True,0.6,0.5786,S60
20,2023-12-28,2023-12-27,002855,BUY,TARGET_REBALANCE,600,600,38.6,23160.0,17.37,0.0,0.0,17.37,206888.76,-23160.0,200755.48,0,600,254285.0,270699.0,461173.76,471454.48,0.922348,0.952765,True,False,False,True,0.6,0.5786,S60
21,2023-12-28,2023-12-27,300735,BUY,TARGET_REBALANCE,3200,3200,23.19,74208.32,55.6562,0.0,0.0,55.6562,206888.76,-74208.32,200755.48,0,3200,254285.0,270699.0,461173.76,471454.48,0.922348,0.952765,True,False,False,True,0.6,0.5786,S60
22,2023-12-28,2023-12-27,600938,BUY,TARGET_REBALANCE,2000,2000,22.49,44975.8,33.7319,0.0,0.0,33.7319,206888.76,-44975.8,200755.48,2600,4600,254285.0,270699.0,461173.76,471454.48,0.922348,0.952765,True,False,False,True,0.6,0.5786,S60
23,2023-12-29,2023-12-28,600938,SELL,HOLD_EXPIRY,4600,4600,22.43,103192.26,77.3942,0.0,0.0,77.3942,200755.48,103114.87,206169.08,4600,0,273172.0,266406.0,473927.48,472575.08,0.947855,0.95313,True,False,False,True,0.6,0.5674,S60
