strategy,trade_date,top_n,candidate_count,large_slippage_proxy_missing_ratio,limit_up_buy_ratio_missing_ratio,unfilled_ratio_proxy_missing_ratio,limit_down_sell_ratio_missing_ratio,open_gap_proxy_missing_ratio,estimated_turnover_impact_missing_ratio,execution_proxy_available_ratio,execution_degraded_ratio,execution_degraded_count
production_governed_vol_position_v1_2b_gate_tuned,2023-11-29,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-11-29,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-11-29,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-01,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1
production_governed_vol_position_v1_2b_gate_tuned,2023-12-01,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1
production_governed_vol_position_v1_2b_gate_tuned,2023-12-01,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1
production_governed_vol_position_v1_2b_gate_tuned,2023-12-05,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-05,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-05,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-06,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-06,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-06,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-07,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-07,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-07,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-08,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-08,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-08,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-11,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-11,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-11,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-12,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-12,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-12,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-13,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-13,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-13,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-14,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-14,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-14,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-15,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1
production_governed_vol_position_v1_2b_gate_tuned,2023-12-15,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1
production_governed_vol_position_v1_2b_gate_tuned,2023-12-15,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1
production_governed_vol_position_v1_2b_gate_tuned,2023-12-18,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-18,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-18,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-19,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-19,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-19,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-20,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1
production_governed_vol_position_v1_2b_gate_tuned,2023-12-20,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1
production_governed_vol_position_v1_2b_gate_tuned,2023-12-20,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1
production_governed_vol_position_v1_2b_gate_tuned,2023-12-21,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-21,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-21,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-22,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-22,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-22,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-25,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-25,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-25,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-26,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1
production_governed_vol_position_v1_2b_gate_tuned,2023-12-26,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1
production_governed_vol_position_v1_2b_gate_tuned,2023-12-26,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1
production_governed_vol_position_v1_2b_gate_tuned,2023-12-27,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,2
production_governed_vol_position_v1_2b_gate_tuned,2023-12-27,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,2
production_governed_vol_position_v1_2b_gate_tuned,2023-12-27,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,2
production_governed_vol_position_v1_2b_gate_tuned,2023-12-28,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-28,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-28,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-29,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-29,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2023-12-29,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2024-01-02,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1
production_governed_vol_position_v1_2b_gate_tuned,2024-01-02,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1
production_governed_vol_position_v1_2b_gate_tuned,2024-01-02,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1
production_governed_vol_position_v1_2b_gate_tuned,2024-01-03,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2024-01-03,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2024-01-03,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2024-01-04,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2024-01-04,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2024-01-04,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2024-01-05,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1
production_governed_vol_position_v1_2b_gate_tuned,2024-01-05,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1
production_governed_vol_position_v1_2b_gate_tuned,2024-01-05,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1
production_governed_vol_position_v1_2b_gate_tuned,2024-01-08,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1
production_governed_vol_position_v1_2b_gate_tuned,2024-01-08,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1
production_governed_vol_position_v1_2b_gate_tuned,2024-01-08,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1
production_governed_vol_position_v1_2b_gate_tuned,2024-01-09,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2024-01-09,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2024-01-09,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2024-01-10,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2024-01-10,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2024-01-10,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2024-01-11,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2024-01-11,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2024-01-11,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2024-01-12,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2024-01-12,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2024-01-12,30,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2024-01-15,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
production_governed_vol_position_v1_2b_gate_tuned,2024-01-15,10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
