challenger_id,dev_annualized,dev_mdd,dev_sharpe,holdout_annualized,holdout_mdd,holdout_sharpe,composite,holdout_usage
f1_no_value,0.07355814186406057,-0.44575278828940434,0.018276428809701206,0.21214550957473577,-0.33073961768938653,0.6864308306260327,0.1620533834441861,REPORT_ONLY_SHOWN_NEVER_SELECTED
f3_vol_risk_penalty,0.0373340967736665,-0.4922735780365445,-0.3936344401625099,-0.0015031501117642732,-0.49897648993081034,0.255669100458448,0.05725812533624098,REPORT_ONLY_SHOWN_NEVER_SELECTED
f1p1_top20_diversified,-0.0706859576766935,-0.4421415111365734,-0.3522844825006427,0.1884570970149133,-0.3696412969635422,0.6772675230612131,0.03418410579866341,REPORT_ONLY_SHOWN_NEVER_SELECTED
f2_liquidity_clipped,0.019987713818744035,-0.5239659996125643,-0.7469254694443765,0.15060357386858914,-0.41747135403059354,0.5454484462621517,0.003662463237685083,REPORT_ONLY_SHOWN_NEVER_SELECTED
r2_crowding_control,-0.06026184769576193,-0.33040694536653503,-0.3655728926949649,0.14875712728167323,-0.2716663804682041,0.6934449604800281,0.0032712238372914204,REPORT_ONLY_SHOWN_NEVER_SELECTED
p1_top20_diversified,-0.10322034115623296,-0.44565841466025935,-0.4470815494728008,0.11412910333090576,-0.3829184589007997,0.47753200508751764,-0.0027159153010862993,REPORT_ONLY_SHOWN_NEVER_SELECTED
r1_market_regime,-0.06120531419973413,-0.3677834462521642,-0.42888932969595495,0.08599395134794574,-0.2974159838576015,0.46885353389935275,-0.006654469211262323,REPORT_ONLY_SHOWN_NEVER_SELECTED
f1p2_style_constrained,-0.006585504024683386,-0.04346449539138364,-0.24669319839464854,0.052546935539378836,-0.03598345955046678,1.2191140316461377,-0.035522748685785095,REPORT_ONLY_SHOWN_NEVER_SELECTED
f1p3_covariance_sizing,-0.006585504024683386,-0.04346449539138364,-0.24669319839464854,0.052546935539378836,-0.03598345955046678,1.2191140316461377,-0.035522748685785095,REPORT_ONLY_SHOWN_NEVER_SELECTED
p2_style_constrained,-0.006241153726371407,-0.04637136663732422,-0.34115946476339015,0.034877468723759186,-0.04388335774114149,0.8131653299011847,-0.05533570822520105,REPORT_ONLY_SHOWN_NEVER_SELECTED
p3_covariance_sizing,-0.006241153726371407,-0.04637136663732422,-0.34115946476339015,0.034877468723759186,-0.04388335774114149,0.8131653299011847,-0.05533570822520105,REPORT_ONLY_SHOWN_NEVER_SELECTED
