trade_date,symbol,shares,market_value,label
2023-11-30,002142,4000,91680.0,B2
2023-11-30,002594,100,19915.0,B2
2023-11-30,300351,800,20880.0,B2
2023-11-30,688041,400,28708.0,B2
2023-11-30,688271,500,71500.0,B2
2023-12-01,002142,4000,90480.0,B2
2023-12-01,002594,100,19705.0,B2
2023-12-01,300351,800,18944.0,B2
2023-12-01,688041,400,28760.0,B2
2023-12-01,688271,500,71795.0,B2
2023-12-04,002142,4000,87800.0,B2
2023-12-04,002594,100,19639.0,B2
2023-12-04,300351,800,17640.0,B2
2023-12-04,688041,400,29084.0,B2
2023-12-04,688271,500,72870.0,B2
2023-12-05,002142,4000,84560.0,B2
2023-12-05,002594,100,19634.0,B2
2023-12-05,300351,800,16896.0,B2
2023-12-05,688041,400,29140.0,B2
2023-12-05,688271,500,72110.0,B2
2023-12-06,002142,4000,84520.0,B2
2023-12-06,002594,100,20119.0,B2
2023-12-06,300351,800,16824.0,B2
2023-12-06,688041,400,30236.0,B2
2023-12-06,688271,500,75000.0,B2
2023-12-07,002142,4000,84120.0,B2
2023-12-07,002594,100,19945.0,B2
2023-12-07,300351,800,16504.0,B2
2023-12-07,688041,400,29264.0,B2
2023-12-07,688271,500,73195.0,B2
2023-12-08,002142,4000,83280.0,B2
2023-12-08,002594,100,19855.0,B2
2023-12-08,300351,800,16528.0,B2
2023-12-08,688041,400,32136.0,B2
2023-12-08,688271,500,75040.0,B2
2023-12-11,002142,4000,83440.0,B2
2023-12-11,002594,100,19919.0,B2
2023-12-11,300351,800,17016.0,B2
2023-12-11,688041,400,32888.0,B2
2023-12-11,688271,500,73655.0,B2
2023-12-12,002142,4000,85120.0,B2
2023-12-12,002594,100,19633.0,B2
2023-12-12,300351,800,16608.0,B2
2023-12-12,688041,400,32268.0,B2
2023-12-12,688271,500,70740.0,B2
2023-12-13,002142,4000,81680.0,B2
2023-12-13,002594,100,19180.0,B2
2023-12-13,300351,800,16240.0,B2
2023-12-13,688041,400,31060.0,B2
2023-12-13,688271,500,70245.0,B2
2023-12-14,000568,100,16952.0,B2
2023-12-14,002558,1200,16992.0,B2
2023-12-14,600938,1700,33252.0,B2
2023-12-14,601398,11800,56286.0,B2
2023-12-15,000568,100,17205.0,B2
2023-12-15,002558,1200,16824.0,B2
2023-12-15,600938,1700,32895.0,B2
2023-12-15,601398,11800,55814.0,B2
2023-12-18,000568,100,17276.0,B2
2023-12-18,002558,1200,16548.0,B2
2023-12-18,600938,1700,33235.0,B2
2023-12-18,601398,11800,56286.0,B2
2023-12-19,000568,100,17206.0,B2
2023-12-19,002558,1200,16716.0,B2
2023-12-19,600938,1700,33507.0,B2
2023-12-19,601398,11800,56522.0,B2
2023-12-19,300750,300,44700.0,B2
2023-12-20,000568,100,16932.0,B2
2023-12-20,002558,1200,16332.0,B2
2023-12-20,600938,1700,33728.0,B2
2023-12-20,601398,11800,56522.0,B2
2023-12-20,300750,300,44535.0,B2
2023-12-21,000568,100,17076.0,B2
2023-12-21,002558,1200,16608.0,B2
2023-12-21,600938,1700,33524.0,B2
2023-12-21,601398,11800,56522.0,B2
2023-12-21,300750,300,46317.0,B2
2023-12-22,000568,100,17048.0,B2
2023-12-22,002558,1200,14952.0,B2
2023-12-22,600938,1700,33881.0,B2
2023-12-22,601398,11800,56404.0,B2
2023-12-22,300750,300,46887.0,B2
2023-12-25,000568,100,17309.0,B2
2023-12-25,002558,1200,13452.0,B2
2023-12-25,600938,1700,34000.0,B2
2023-12-25,601398,11800,56640.0,B2
2023-12-25,300750,300,47262.0,B2
2023-12-26,000568,100,17114.0,B2
2023-12-26,002558,1200,13272.0,B2
2023-12-26,600938,1700,34051.0,B2
2023-12-26,601398,11800,56876.0,B2
2023-12-26,300750,300,46839.0,B2
2023-12-27,000568,100,17027.0,B2
2023-12-27,002558,1200,13248.0,B2
2023-12-27,600938,1700,35054.0,B2
2023-12-27,601398,11800,56994.0,B2
2023-12-27,300750,300,46299.0,B2
2023-12-28,600938,2900,59914.0,B2
2023-12-28,300750,300,48897.0,B2
2023-12-28,002786,700,11907.0,B2
2023-12-28,002855,400,15624.0,B2
2023-12-28,300735,2100,48069.0,B2
2023-12-29,300750,300,48978.0,B2
2023-12-29,002786,700,11242.0,B2
2023-12-29,002855,400,15044.0,B2
2023-12-29,300735,2100,49434.0,B2
2023-12-29,600941,600,59688.0,B2
2024-01-02,300750,300,47049.0,B2
2024-01-02,002786,700,10780.0,B2
2024-01-02,002855,400,14600.0,B2
2024-01-02,300735,2100,46200.0,B2
2024-01-02,600941,600,59238.0,B2
2024-01-03,002786,700,10451.0,B2
2024-01-03,002855,400,15100.0,B2
2024-01-03,300735,2100,45192.0,B2
2024-01-03,600941,600,58740.0,B2
2024-01-03,002241,2500,50125.0,B2
2024-01-04,002786,700,11494.0,B2
2024-01-04,002855,400,15692.0,B2
2024-01-04,300735,2100,44793.0,B2
2024-01-04,600941,600,59514.0,B2
2024-01-04,002241,2500,49175.0,B2
2024-01-05,002786,700,10689.0,B2
2024-01-05,002855,400,14408.0,B2
2024-01-05,300735,2100,43848.0,B2
2024-01-05,600941,600,58950.0,B2
2024-01-05,002241,2500,49450.0,B2
2024-01-08,002786,700,11760.0,B2
2024-01-08,002855,400,14384.0,B2
2024-01-08,300735,2100,42777.0,B2
2024-01-08,600941,600,59034.0,B2
2024-01-08,002241,2500,48475.0,B2
2024-01-09,002786,700,12390.0,B2
2024-01-09,002855,400,13476.0,B2
2024-01-09,300735,2100,42231.0,B2
2024-01-09,600941,600,58716.0,B2
2024-01-09,002241,2500,48350.0,B2
2024-01-10,002786,700,12096.0,B2
2024-01-10,002855,400,12752.0,B2
2024-01-10,300735,2100,41580.0,B2
2024-01-10,600941,600,57918.0,B2
2024-01-10,002241,2500,46725.0,B2
2024-01-11,002786,700,11564.0,B2
2024-01-11,002855,400,13544.0,B2
2024-01-11,300735,2100,42462.0,B2
2024-01-11,600941,600,57216.0,B2
2024-01-11,002241,2500,47800.0,B2
2024-01-12,600941,600,57180.0,B2
2024-01-12,002241,2500,45750.0,B2
2024-01-12,002415,500,15215.0,B2
2024-01-12,601398,6300,30303.0,B2
2024-01-12,601857,3100,22413.0,B2
2024-01-15,002241,2500,46625.0,B2
2024-01-15,002415,500,15250.0,B2
2024-01-15,601398,6300,30618.0,B2
2024-01-15,601857,3100,22723.0,B2
2024-01-15,000158,7100,66172.0,B2
2024-01-16,002241,2500,47375.0,B2
2024-01-16,002415,500,15335.0,B2
2024-01-16,601398,6300,30807.0,B2
2024-01-16,601857,3100,22754.0,B2
2024-01-16,000158,7100,65888.0,B2
2024-01-17,002415,500,15490.0,B2
2024-01-17,601398,6300,30492.0,B2
2024-01-17,601857,3100,22320.0,B2
2024-01-17,000158,7100,66101.0,B2
2024-01-17,000338,2900,42688.0,B2
2024-01-18,002415,500,15815.0,B2
2024-01-18,601398,6300,30555.0,B2
2024-01-18,601857,3100,22289.0,B2
2024-01-18,000158,7100,69012.0,B2
2024-01-18,000338,2900,42340.0,B2
2024-01-19,002415,500,15840.0,B2
2024-01-19,601398,6300,30807.0,B2
2024-01-19,601857,3100,22134.0,B2
2024-01-19,000158,7100,64255.0,B2
2024-01-19,000338,2900,41470.0,B2
2024-01-22,002415,500,15445.0,B2
2024-01-22,601398,6300,30807.0,B2
2024-01-22,601857,3100,21855.0,B2
2024-01-22,000158,7100,59569.0,B2
2024-01-22,000338,2900,40687.0,B2
2024-01-23,002415,500,15370.0,B2
2024-01-23,601398,6300,30807.0,B2
2024-01-23,601857,3100,21731.0,B2
2024-01-23,000158,7100,59711.0,B2
2024-01-23,000338,2900,40861.0,B2
2024-01-24,002415,500,15690.0,B2
2024-01-24,601398,6300,31311.0,B2
2024-01-24,601857,3100,22506.0,B2
2024-01-24,000158,7100,59001.0,B2
2024-01-24,000338,2900,42630.0,B2
2024-01-25,002415,500,16030.0,B2
2024-01-25,601398,6300,31563.0,B2
2024-01-25,601857,3100,24769.0,B2
2024-01-25,000158,7100,64894.0,B2
2024-01-25,000338,2900,43761.0,B2
2024-01-26,000158,7100,64894.0,B2
