trade_date,symbol,shares,market_value,label
2023-11-30,002142,4000,91680.0,S60
2023-11-30,002594,100,19915.0,S60
2023-11-30,300351,800,20880.0,S60
2023-11-30,688041,400,28708.0,S60
2023-11-30,688271,500,71500.0,S60
2023-12-01,002142,4000,90480.0,S60
2023-12-01,002594,100,19705.0,S60
2023-12-01,300351,800,18944.0,S60
2023-12-01,688041,400,28760.0,S60
2023-12-01,688271,500,71795.0,S60
2023-12-04,002142,4000,87800.0,S60
2023-12-04,002594,100,19639.0,S60
2023-12-04,300351,800,17640.0,S60
2023-12-04,688041,400,29084.0,S60
2023-12-04,688271,500,72870.0,S60
2023-12-05,002142,4000,84560.0,S60
2023-12-05,002594,100,19634.0,S60
2023-12-05,300351,800,16896.0,S60
2023-12-05,688041,400,29140.0,S60
2023-12-05,688271,500,72110.0,S60
2023-12-06,002142,4000,84520.0,S60
2023-12-06,002594,100,20119.0,S60
2023-12-06,300351,800,16824.0,S60
2023-12-06,688041,400,30236.0,S60
2023-12-06,688271,500,75000.0,S60
2023-12-07,002142,4000,84120.0,S60
2023-12-07,002594,100,19945.0,S60
2023-12-07,300351,800,16504.0,S60
2023-12-07,688041,400,29264.0,S60
2023-12-07,688271,500,73195.0,S60
2023-12-08,002142,4000,83280.0,S60
2023-12-08,002594,100,19855.0,S60
2023-12-08,300351,800,16528.0,S60
2023-12-08,688041,400,32136.0,S60
2023-12-08,688271,500,75040.0,S60
2023-12-11,002142,4000,83440.0,S60
2023-12-11,002594,100,19919.0,S60
2023-12-11,300351,800,17016.0,S60
2023-12-11,688041,400,32888.0,S60
2023-12-11,688271,500,73655.0,S60
2023-12-12,002142,4000,85120.0,S60
2023-12-12,002594,100,19633.0,S60
2023-12-12,300351,800,16608.0,S60
2023-12-12,688041,400,32268.0,S60
2023-12-12,688271,500,70740.0,S60
2023-12-13,002142,4000,81680.0,S60
2023-12-13,002594,100,19180.0,S60
2023-12-13,300351,800,16240.0,S60
2023-12-13,688041,400,31060.0,S60
2023-12-13,688271,500,70245.0,S60
2023-12-14,000568,200,33904.0,S60
2023-12-14,002558,1800,25488.0,S60
2023-12-14,600938,2600,50856.0,S60
2023-12-14,601398,17700,84429.0,S60
2023-12-15,000568,200,34410.0,S60
2023-12-15,002558,1800,25236.0,S60
2023-12-15,600938,2600,50310.0,S60
2023-12-15,601398,17700,83721.0,S60
2023-12-18,000568,200,34552.0,S60
2023-12-18,002558,1800,24822.0,S60
2023-12-18,600938,2600,50830.0,S60
2023-12-18,601398,17700,84429.0,S60
2023-12-19,000568,200,34412.0,S60
2023-12-19,002558,1800,25074.0,S60
2023-12-19,600938,2600,51246.0,S60
2023-12-19,601398,17700,84783.0,S60
2023-12-19,300750,400,59600.0,S60
2023-12-20,000568,200,33864.0,S60
2023-12-20,002558,1800,24498.0,S60
2023-12-20,600938,2600,51584.0,S60
2023-12-20,601398,17700,84783.0,S60
2023-12-20,300750,400,59380.0,S60
2023-12-21,000568,200,34152.0,S60
2023-12-21,002558,1800,24912.0,S60
2023-12-21,600938,2600,51272.0,S60
2023-12-21,601398,17700,84783.0,S60
2023-12-21,300750,400,61756.0,S60
2023-12-22,000568,200,34096.0,S60
2023-12-22,002558,1800,22428.0,S60
2023-12-22,600938,2600,51818.0,S60
2023-12-22,601398,17700,84606.0,S60
2023-12-22,300750,400,62516.0,S60
2023-12-25,000568,200,34618.0,S60
2023-12-25,002558,1800,20178.0,S60
2023-12-25,600938,2600,52000.0,S60
2023-12-25,601398,17700,84960.0,S60
2023-12-25,300750,400,63016.0,S60
2023-12-26,000568,200,34228.0,S60
2023-12-26,002558,1800,19908.0,S60
2023-12-26,600938,2600,52078.0,S60
2023-12-26,601398,17700,85314.0,S60
2023-12-26,300750,400,62452.0,S60
2023-12-27,000568,200,34054.0,S60
2023-12-27,002558,1800,19872.0,S60
2023-12-27,600938,2600,53612.0,S60
2023-12-27,601398,17700,85491.0,S60
2023-12-27,300750,400,61732.0,S60
2023-12-28,600938,4600,95036.0,S60
2023-12-28,300750,400,65196.0,S60
2023-12-28,002786,1100,18711.0,S60
2023-12-28,002855,600,23436.0,S60
2023-12-28,300735,3200,73248.0,S60
2023-12-29,300750,400,65304.0,S60
2023-12-29,002786,1100,17666.0,S60
2023-12-29,002855,600,22566.0,S60
2023-12-29,300735,3200,75328.0,S60
2023-12-29,600941,900,89532.0,S60
2024-01-02,300750,400,62732.0,S60
2024-01-02,002786,1100,16940.0,S60
2024-01-02,002855,600,21900.0,S60
2024-01-02,300735,3200,70400.0,S60
2024-01-02,600941,900,88857.0,S60
2024-01-03,002786,1100,16423.0,S60
2024-01-03,002855,600,22650.0,S60
2024-01-03,300735,3200,68864.0,S60
2024-01-03,600941,900,88110.0,S60
2024-01-03,002241,3700,74185.0,S60
2024-01-04,002786,1100,18062.0,S60
2024-01-04,002855,600,23538.0,S60
2024-01-04,300735,3200,68256.0,S60
2024-01-04,600941,900,89271.0,S60
2024-01-04,002241,3700,72779.0,S60
2024-01-05,002786,1100,16797.0,S60
2024-01-05,002855,600,21612.0,S60
2024-01-05,300735,3200,66816.0,S60
2024-01-05,600941,900,88425.0,S60
2024-01-05,002241,3700,73186.0,S60
2024-01-08,002786,1100,18480.0,S60
2024-01-08,002855,600,21576.0,S60
2024-01-08,300735,3200,65184.0,S60
2024-01-08,600941,900,88551.0,S60
2024-01-08,002241,3700,71743.0,S60
2024-01-09,002786,1100,19470.0,S60
2024-01-09,002855,600,20214.0,S60
2024-01-09,300735,3200,64352.0,S60
2024-01-09,600941,900,88074.0,S60
2024-01-09,002241,3700,71558.0,S60
2024-01-10,002786,1100,19008.0,S60
2024-01-10,002855,600,19128.0,S60
2024-01-10,300735,3200,63360.0,S60
2024-01-10,600941,900,86877.0,S60
2024-01-10,002241,3700,69153.0,S60
2024-01-11,002786,1100,18172.0,S60
2024-01-11,002855,600,20316.0,S60
2024-01-11,300735,3200,64704.0,S60
2024-01-11,600941,900,85824.0,S60
2024-01-11,002241,3700,70744.0,S60
2024-01-12,600941,900,85770.0,S60
2024-01-12,002241,3700,67710.0,S60
2024-01-12,002415,700,21301.0,S60
2024-01-12,601398,9200,44252.0,S60
2024-01-12,601857,4500,32535.0,S60
2024-01-15,002241,3700,69005.0,S60
2024-01-15,002415,700,21350.0,S60
2024-01-15,601398,9200,44712.0,S60
2024-01-15,601857,4500,32985.0,S60
2024-01-15,000158,10600,98792.0,S60
2024-01-16,002241,3700,70115.0,S60
2024-01-16,002415,700,21469.0,S60
2024-01-16,601398,9200,44988.0,S60
2024-01-16,601857,4500,33030.0,S60
2024-01-16,000158,10600,98368.0,S60
2024-01-17,002415,700,21686.0,S60
2024-01-17,601398,9200,44528.0,S60
2024-01-17,601857,4500,32400.0,S60
2024-01-17,000158,10600,98686.0,S60
2024-01-17,000338,4300,63296.0,S60
2024-01-18,002415,700,22141.0,S60
2024-01-18,601398,9200,44620.0,S60
2024-01-18,601857,4500,32355.0,S60
2024-01-18,000158,10600,103032.0,S60
2024-01-18,000338,4300,62780.0,S60
2024-01-19,002415,700,22176.0,S60
2024-01-19,601398,9200,44988.0,S60
2024-01-19,601857,4500,32130.0,S60
2024-01-19,000158,10600,95930.0,S60
2024-01-19,000338,4300,61490.0,S60
2024-01-22,002415,700,21623.0,S60
2024-01-22,601398,9200,44988.0,S60
2024-01-22,601857,4500,31725.0,S60
2024-01-22,000158,10600,88934.0,S60
2024-01-22,000338,4300,60329.0,S60
2024-01-23,002415,700,21518.0,S60
2024-01-23,601398,9200,44988.0,S60
2024-01-23,601857,4500,31545.0,S60
2024-01-23,000158,10600,89146.0,S60
2024-01-23,000338,4300,60587.0,S60
2024-01-24,002415,700,21966.0,S60
2024-01-24,601398,9200,45724.0,S60
2024-01-24,601857,4500,32670.0,S60
2024-01-24,000158,10600,88086.0,S60
2024-01-24,000338,4300,63210.0,S60
2024-01-25,002415,700,22442.0,S60
2024-01-25,601398,9200,46092.0,S60
2024-01-25,601857,4500,35955.0,S60
2024-01-25,000158,10600,96884.0,S60
2024-01-25,000338,4300,64887.0,S60
2024-01-26,000158,10600,96884.0,S60
2024-01-26,000338,4300,65188.0,S60
2024-01-26,300059,2600,34112.0,S60
2024-01-26,600030,2200,45826.0,S60
2024-01-26,601099,8500,29240.0,S60
2024-01-29,000338,4300,64586.0,S60
2024-01-29,300059,2600,33332.0,S60
2024-01-29,600030,2200,45276.0,S60
2024-01-29,601099,8500,28220.0,S60
2024-01-29,000002,9500,95570.0,S60
2024-01-30,000338,4300,64199.0,S60
2024-01-30,300059,2600,32656.0,S60
2024-01-30,600030,2200,44968.0,S60
2024-01-30,601099,8500,28050.0,S60
2024-01-30,000002,9500,93005.0,S60
2024-01-31,300059,2600,32448.0,S60
2024-01-31,600030,2200,45100.0,S60
2024-01-31,601099,8500,27370.0,S60
2024-01-31,000002,9500,91200.0,S60
2024-01-31,601857,8100,67716.0,S60
2024-02-01,300059,2600,32994.0,S60
