year,start_date,end_date,trading_days,total_return,max_drawdown,avg_gross_exposure,recovery_days
2023,2023-11-30,2023-12-29,22,-0.03662841362298985,-0.04655706124854708,0.5575197579130644,0
2024,2024-01-02,2024-12-31,242,-0.11486590171735855,-0.19394741036824792,0.5459490332512349,10
2025,2025-01-02,2025-12-31,243,0.23442654367654026,-0.16709879076958,0.5329109100402755,38
2026,2026-01-05,2026-06-17,108,0.5131650052047896,-0.19538662637021909,0.6894298033836272,11
