month,strategy,monthly_return,max_drawdown,avg_position,worst_20d_return,recovery_days,is_production_candidate,production_candidate_streak,has_3_month_candidate_streak
2023-11,production_governed_vol_position_v1_2b_gate_tuned,0.0,0.0,0.6407063521024414,,0,False,0,False
2023-12,production_governed_vol_position_v1_2b_gate_tuned,-0.029039238565837344,-0.039046101332858796,0.5535584915230942,-0.03218381832110084,0,False,0,False
2024-01,production_governed_vol_position_v1_2b_gate_tuned,-0.028435199114960286,-0.03656007508858261,0.4390906845436708,-0.02468535371125502,0,False,0,False
2024-02,production_governed_vol_position_v1_2b_gate_tuned,0.02885789110290715,-0.016845629110087912,0.4406714623393437,,0,True,1,False
2024-03,production_governed_vol_position_v1_2b_gate_tuned,0.06259014322043344,-0.023542627866982135,0.6405604646572454,0.04439392384258123,0,True,2,False
2024-04,production_governed_vol_position_v1_2b_gate_tuned,-0.007214065997246721,-0.014454068130905995,0.6900985312584009,-0.0072140659972472765,0,False,0,False
2024-05,production_governed_vol_position_v1_2b_gate_tuned,-0.029074149604069732,-0.04674017655765228,0.6959593976815834,-0.029074149604070176,0,False,0,False
2024-06,production_governed_vol_position_v1_2b_gate_tuned,0.007021867931778614,-0.03537639349293997,0.571126504444845,,0,True,1,False
2024-07,production_governed_vol_position_v1_2b_gate_tuned,-0.041920114175008294,-0.05043868289979436,0.48591119625595774,-0.03701462214925455,7,False,0,False
2024-08,production_governed_vol_position_v1_2b_gate_tuned,-0.10685902087700672,-0.10685902087700672,0.4420921943393109,-0.1021339661147288,0,False,0,False
2024-09,production_governed_vol_position_v1_2b_gate_tuned,0.057014610054304304,-0.025373717376654836,0.44279596434758944,,0,True,1,False
2024-10,production_governed_vol_position_v1_2b_gate_tuned,0.0010048005314269304,-0.062109871238653525,0.449514038582685,,0,True,2,False
2024-11,production_governed_vol_position_v1_2b_gate_tuned,-0.016757881931784402,-0.06877134738508495,0.5551963653114083,-0.025106228241307593,3,False,0,False
2024-12,production_governed_vol_position_v1_2b_gate_tuned,-0.07485023385737799,-0.10179036835457134,0.6708991660322755,-0.08079846355910703,0,False,0,False
2025-01,production_governed_vol_position_v1_2b_gate_tuned,0.007194273650651617,-0.03619802279053075,0.5356568722812592,,0,True,1,False
2025-02,production_governed_vol_position_v1_2b_gate_tuned,-0.005455963903298944,-0.0487775722105267,0.42909254813582287,,0,False,0,False
2025-03,production_governed_vol_position_v1_2b_gate_tuned,0.00847955148038837,-0.03413741822503524,0.5250584953931339,0.003733306947827808,9,True,1,False
2025-04,production_governed_vol_position_v1_2b_gate_tuned,-0.014801412048016216,-0.048262948560550134,0.5351321738966747,-0.020354853301232878,5,False,0,False
2025-05,production_governed_vol_position_v1_2b_gate_tuned,-0.0636565649943408,-0.0636565649943408,0.4705090076356785,,7,False,0,False
2025-06,production_governed_vol_position_v1_2b_gate_tuned,0.011933504260037697,-0.05795238817046833,0.45164987562945536,0.01193350426003792,0,True,1,False
2025-07,production_governed_vol_position_v1_2b_gate_tuned,0.02880741844631518,-0.016173084756328282,0.4354999601081114,0.034607282604458334,4,True,2,False
2025-08,production_governed_vol_position_v1_2b_gate_tuned,0.17570564432936342,-0.035973411286253754,0.5348965629955609,0.17570564432936386,6,True,3,True
2025-09,production_governed_vol_position_v1_2b_gate_tuned,0.0965162985497896,-0.09044192605317003,0.6921450353688138,0.06106602940058692,0,False,0,False
2025-10,production_governed_vol_position_v1_2b_gate_tuned,-0.09173799136944294,-0.09699550561396708,0.6465069187773689,,0,False,0,False
2025-11,production_governed_vol_position_v1_2b_gate_tuned,-0.06636126841761558,-0.12796275053640171,0.6797893308020714,-0.06636126841761503,0,False,0,False
2025-12,production_governed_vol_position_v1_2b_gate_tuned,0.09270184199705378,-0.029651575139646003,0.47096812785923997,0.042496277627143586,7,True,1,False
2026-01,production_governed_vol_position_v1_2b_gate_tuned,0.11650943584340268,-0.12641428764753826,0.6993307182010539,0.11650943584340179,6,False,0,False
2026-02,production_governed_vol_position_v1_2b_gate_tuned,0.14574108654792672,-0.059216180602831514,0.6626843127025029,,0,True,1,False
2026-03,production_governed_vol_position_v1_2b_gate_tuned,-0.05195670497761895,-0.10217172640914152,0.6827718886078252,-0.03398853481977615,0,False,0,False
2026-04,production_governed_vol_position_v1_2b_gate_tuned,0.02904612171778953,-0.050804022972529284,0.6714569637322112,0.02904612171778953,5,True,1,False
2026-05,production_governed_vol_position_v1_2b_gate_tuned,0.11436099323663673,-0.033396952273272884,0.7262015576186837,,0,True,2,False
2026-06,production_governed_vol_position_v1_2b_gate_tuned,0.13622024709796832,-0.05066950052761787,0.6923860152839035,,0,True,3,True
