trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note
2026-06-02,000636,风华高科,BUY,59.91,0,1600,1600,1600,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5
2026-06-02,002484,江海股份,BUY,83.46,0,1100,1100,1100,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5
2026-06-02,300502,新易盛,BUY,747.0,0,100,100,100,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5
2026-06-02,601991,大唐发电,BUY,9.18,0,10800,10800,10800,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5
2026-06-02,603773,沃格光电,BUY,122.0,0,800,800,800,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5
