trade_date,production_strategy,shadow_strategy,production_target_position,shadow_target_position,position_diff,production_risk_decision,shadow_risk_decision,risk_decision_diff,shadow_recovery_status,shadow_risk_governor_reasons,top5_overlap,production_top5,shadow_top5,buy_list_added_by_shadow,buy_list_removed_by_shadow,sell_list_added_by_shadow,sell_list_removed_by_shadow,production_estimated_order_value,shadow_estimated_order_value,estimated_order_value_diff,production_theory_return,shadow_theory_return,theory_gap,large_slippage_proxy,limit_up_buy_ratio,unfilled_ratio_proxy,limit_down_sell_ratio,open_gap_proxy,estimated_turnover_impact,execution_feasibility,fp_explanation_label
2026-03-23,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,300308|300342|300502|688223|688498,300308|300342|300502|688223|688498,300502,,,002261,296086.08,406596.65,110510.57,-0.032996815667790114,-0.028313843146457573,0.00468297252133254,0.0323177441365897,0.0,0.0,0.0,-0.0307408716004531,4.437714816545873e-06,degraded_large_slippage_proxy,unknown_pending_forward_return
2026-03-24,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,000333|300342|601012|601398|688498,000333|300342|601012|601398|688498,688498,,,,0.0,104700.0,104700.0,0.004583989773279562,0.008829266237979194,0.004245276464699632,0.00812012824030592,0.0,0.0,0.0,0.00812012824030592,7.048195205656221e-06,pass,unknown_pending_forward_return
2026-03-25,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,001309|002738|300342|601012|603259,001309|002738|300342|601012|603259,,,002261,,226318.42,278369.42000000004,52051.00000000003,0.014572648845220026,0.022404229006336207,0.00783158016111618,0.01281609357296432,0.0,0.0,0.0,0.00798416079985508,7.3877854272332165e-06,pass,unknown_pending_forward_return
2026-03-26,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,001309|300308|601689|603799|688498,001309|300308|601689|603799|688498,,,,,0.0,0.0,0.0,-0.007387494909611658,-0.006928428375821305,0.0004590665337903532,0.013494275893555821,0.0,0.0,0.0,-0.01217939700082222,0.0,pass,unknown_pending_forward_return
2026-03-27,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,002460|002738|601689|603259|688498,002460|002738|601689|603259|688498,,,,,0.0,0.0,0.0,-0.0006002129605107154,-0.007837302032765003,-0.007237089072254288,0.02034323109007726,0.0,0.0,0.0,-0.01788061015779938,0.0,pass,unknown_pending_forward_return
2026-03-30,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.5,0.5,0.0,reduce_position,reduce_position,False,blocked_non_whitelisted_reason,low_liquidity,1.0,002460|002466|002738|300390|603259,002460|002466|002738|300390|603259,,,,,0.0,0.0,0.0,-0.0007116875386302679,-0.0018306841288280307,-0.0011189965901977628,0.005845098128837599,0.0,0.0,0.0,0.0012465254187101595,0.0,pass,unknown_pending_forward_return
2026-03-31,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,002149|002240|002460|002738|600276,002149|002240|002460|002738|600276,,,,,0.0,0.0,0.0,-0.011887769943005222,-0.018600369462996258,-0.006712599519991036,0.009315994911366721,0.0,0.0,0.0,-0.00859863479658916,0.0,pass,unknown_pending_forward_return
2026-04-01,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,000333|002149|300136|600276|600487,000333|002149|300136|600276|600487,,,,,0.0,0.0,0.0,0.030066572855602436,0.030154886577108186,8.831372150575056e-05,0.01416332044534562,0.0,0.0,0.0,0.01416332044534562,0.0,pass,unknown_pending_forward_return
2026-04-02,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,001309|002149|300136|600276|603259,001309|002149|300136|600276|603259,,002149|600276,,002384|002463,104584.0,0.0,-104584.0,-0.014270379541174383,-0.015021658298444485,-0.0007512787572701018,0.0079182139159848,0.0,0.0,0.0,-0.0004291721006523997,0.0,pass,unknown_pending_forward_return
2026-04-03,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,002460|300342|600276|600487|603778,002460|300342|600276|600487|603778,,,,,0.0,0.0,0.0,-0.0021942403732663207,0.008038260117187335,0.010232500490453655,0.0061382713666671,0.0,0.0,0.0,0.0018533345119266602,0.0,pass,unknown_pending_forward_return
