trade_date,signal_date,nav,cash,equity,position_ratio,position_count,in_risk
2025-07-01,2025-06-30,0.99358479,355808.4,496792.4,0.3,5,True
2025-07-02,2025-07-01,0.98815479,355808.4,494077.4,0.3,5,True
2025-07-03,2025-07-02,0.99403079,355808.4,497015.4,0.3,5,True
2025-07-04,2025-07-03,0.99706279,355808.4,498531.4,0.3,5,True
2025-07-07,2025-07-04,1.00473079,355808.4,502365.4,0.3,5,True
2025-07-08,2025-07-07,1.00668079,355808.4,503340.4,0.3,5,True
2025-07-09,2025-07-08,1.00820679,355808.4,504103.4,0.3,5,True
2025-07-10,2025-07-09,1.00455679,355808.4,502278.4,0.3,5,True
2025-07-11,2025-07-10,1.01713879,355808.4,508569.4,0.3,5,True
2025-07-14,2025-07-11,1.00757079,355808.4,503785.4,0.3,5,True
2025-07-15,2025-07-14,1.01003769,362998.85,505018.85,0.3,5,True
2025-07-16,2025-07-15,1.00713369,362998.85,503566.85,0.3,5,True
2025-07-17,2025-07-16,1.00569769,362998.85,502848.85,0.3,5,True
2025-07-18,2025-07-17,1.00940969,362998.85,504704.85,0.3,5,True
2025-07-21,2025-07-18,1.00822969,362998.85,504114.85,0.3,5,True
2025-07-22,2025-07-21,1.00925769,362998.85,504628.85,0.3,5,True
2025-07-23,2025-07-22,1.01103169,362998.85,505515.85,0.3,5,True
2025-07-24,2025-07-23,1.02010969,362998.85,510054.85,0.3,5,True
2025-07-25,2025-07-24,1.01730369,362998.85,508651.85,0.3,5,True
2025-07-28,2025-07-25,1.02004769,362998.85,510023.85,0.3,5,True
2025-07-29,2025-07-28,1.02043076,367498.38,510215.38,0.3,5,True
2025-07-30,2025-07-29,1.01460676,367498.38,507303.38,0.3,5,True
2025-07-31,2025-07-30,1.00776076,367498.38,503880.38,0.3,5,True
2025-08-01,2025-07-31,1.00441076,367498.38,502205.38,0.3,5,True
2025-08-04,2025-08-01,1.00649876,367498.38,503249.38,0.3,5,True
2025-08-05,2025-08-04,1.00809676,367498.38,504048.38,0.3,5,True
2025-08-06,2025-08-05,1.01143076,367498.38,505715.38,0.3,5,True
2025-08-07,2025-08-06,1.00989876,367498.38,504949.38,0.3,5,True
2025-08-08,2025-08-07,1.01057876,367498.38,505289.38,0.3,5,True
2025-08-11,2025-08-08,1.01233276,367498.38,506166.38,0.3,5,True
2025-08-12,2025-08-11,1.01150665,368567.33,505753.33,0.3,5,True
2025-08-13,2025-08-12,0.97369865,368567.33,486849.33,0.3,5,True
2025-08-14,2025-08-13,0.97310065,368567.33,486550.33,0.3,5,True
2025-08-15,2025-08-14,0.97638465,368567.33,488192.33,0.3,5,True
2025-08-18,2025-08-15,0.97951265,368567.33,489756.33,0.3,5,True
2025-08-19,2025-08-18,1.01933465,368567.33,509667.33,0.3,5,True
2025-08-20,2025-08-19,1.01828865,368567.33,509144.33,0.3,5,True
2025-08-21,2025-08-20,1.01675865,368567.33,508379.33,0.3,5,True
2025-08-22,2025-08-21,1.01900865,368567.33,509504.33,0.3,5,True
2025-08-25,2025-08-22,1.02929465,368567.33,514647.33,0.3,5,True
2025-08-26,2025-08-25,1.03481524,406797.62,517407.62,0.3,3,True
2025-08-27,2025-08-26,1.0333249,365980.45,516662.45,0.3,5,True
2025-08-28,2025-08-27,1.0416689,365980.45,520834.45,0.3,5,True
2025-08-29,2025-08-28,1.0483969,365980.45,524198.45,0.3,5,True
2025-09-01,2025-08-29,1.0491529,365980.45,524576.45,0.3,5,True
2025-09-02,2025-09-01,1.0457389,365980.45,522869.45,0.3,5,True
2025-09-03,2025-09-02,1.0374909,365980.45,518745.45,0.3,5,True
2025-09-04,2025-09-03,1.0288749,365980.45,514437.45,0.3,5,True
2025-09-05,2025-09-04,1.0315069,365980.45,515753.45,0.3,5,True
2025-09-08,2025-09-05,1.0392709,365980.45,519635.45,0.3,5,True
2025-09-09,2025-09-08,1.03275147,438396.73,516375.73,0.3,3,True
2025-09-10,2025-09-09,1.0329707,370453.35,516485.35,0.3,5,True
2025-09-11,2025-09-10,1.0386507,370453.35,519325.35,0.3,5,True
2025-09-12,2025-09-11,1.0389627,370453.35,519481.35,0.3,5,True
2025-09-15,2025-09-12,1.0455087,370453.35,522754.35,0.3,5,True
2025-09-16,2025-09-15,1.0464607,370453.35,523230.35,0.3,5,True
2025-09-17,2025-09-16,1.0516247,370453.35,525812.35,0.3,5,True
2025-09-18,2025-09-17,1.0453527,370453.35,522676.35,0.3,5,True
2025-09-19,2025-09-18,1.0451307,370453.35,522565.35,0.3,5,True
2025-09-22,2025-09-19,1.0503387,370453.35,525169.35,0.3,5,True
2025-09-23,2025-09-22,1.05604767,370586.84,528023.84,0.3,5,True
2025-09-24,2025-09-23,1.05133819,386171.09,525669.09,0.3,5,True
2025-09-25,2025-09-24,1.05991863,371614.31,529959.31,0.3,5,True
2025-09-26,2025-09-25,1.04561663,371614.31,522808.31,0.3,5,True
2025-09-29,2025-09-26,1.06261063,371614.31,531305.31,0.3,5,True
2025-09-30,2025-09-29,1.06289663,371614.31,531448.31,0.3,5,True
2025-10-09,2025-09-30,1.05991863,371614.31,529959.31,0.3,5,True
2025-10-10,2025-10-09,1.04302663,371614.31,521513.31,0.3,5,True
2025-10-13,2025-10-10,1.03567263,371614.31,517836.31,0.3,5,True
2025-10-14,2025-10-13,1.02545063,371614.31,512725.31,0.3,5,True
2025-10-15,2025-10-14,1.02904761,365434.8,514523.8,0.3,5,True
2025-10-16,2025-10-15,1.02281336,364846.68,511406.68,0.3,5,True
2025-10-17,2025-10-16,1.01369221,361955.1,506846.1,0.3,5,True
2025-10-20,2025-10-17,1.01009021,361955.1,505045.1,0.3,5,True
2025-10-21,2025-10-20,1.01248821,361955.1,506244.1,0.3,5,True
2025-10-22,2025-10-21,1.00819421,361955.1,504097.1,0.3,5,True
2025-10-23,2025-10-22,1.00761821,361955.1,503809.1,0.3,5,True
2025-10-24,2025-10-23,1.01684221,361955.1,508421.1,0.3,5,True
2025-10-27,2025-10-24,1.02073421,361955.1,510367.1,0.3,5,True
2025-10-28,2025-10-27,1.01894421,361955.1,509472.1,0.3,5,True
2025-10-29,2025-10-28,1.01794545,367004.72,508972.72,0.3,5,True
2025-10-30,2025-10-29,1.0155418,378599.9,507770.9,0.3,4,True
2025-10-31,2025-10-30,1.0056075,410157.75,502803.75,0.3,4,True
2025-11-03,2025-10-31,1.00435389,355706.94,502176.94,0.3,5,True
2025-11-04,2025-11-03,0.99624189,355706.94,498120.94,0.3,5,True
2025-11-05,2025-11-04,1.00028389,355706.94,500141.94,0.3,5,True
2025-11-06,2025-11-05,1.01013789,355706.94,505068.94,0.3,5,True
2025-11-07,2025-11-06,1.01605989,355706.94,508029.94,0.3,5,True
2025-11-10,2025-11-07,1.01374789,355706.94,506873.94,0.3,5,True
2025-11-11,2025-11-10,1.00975389,355706.94,504876.94,0.3,5,True
2025-11-12,2025-11-11,1.01099349,352084.74,505496.74,0.3,5,True
2025-11-13,2025-11-12,1.03176587,365925.94,515882.94,0.3,4,True
2025-11-14,2025-11-13,1.01973298,377172.49,509866.49,0.3,4,True
2025-11-17,2025-11-14,1.02117742,366389.71,510588.71,0.3,5,True
2025-11-18,2025-11-17,1.00836742,366389.71,504183.71,0.3,5,True
2025-11-19,2025-11-18,1.00855542,366389.71,504277.71,0.3,5,True
2025-11-20,2025-11-19,0.99652142,366389.71,498260.71,0.3,5,True
2025-11-21,2025-11-20,0.97317742,366389.71,486588.71,0.3,5,True
2025-11-24,2025-11-21,0.96923742,366389.71,484618.71,0.3,5,True
2025-11-25,2025-11-24,0.97568742,366389.71,487843.71,0.3,5,True
2025-11-26,2025-11-25,0.98283282,343478.41,491416.41,0.3,5,True
2025-11-27,2025-11-26,0.98782889,360753.44,493914.44,0.3,4,True
2025-11-28,2025-11-27,0.98774031,364731.15,493870.15,0.3,4,True
2025-12-01,2025-11-28,0.98715227,370917.14,493576.14,0.3,4,True
2025-12-02,2025-12-01,0.98246187,348843.93,491230.93,0.3,5,True
2025-12-03,2025-12-02,0.97578387,348843.93,487891.93,0.3,5,True
2025-12-04,2025-12-03,0.97177387,348843.93,485886.93,0.3,5,True
2025-12-05,2025-12-04,0.98052587,348843.93,490262.93,0.3,5,True
2025-12-08,2025-12-05,1.00181787,348843.93,500908.93,0.3,5,True
2025-12-09,2025-12-08,1.00517587,348843.93,502587.93,0.3,5,True
2025-12-10,2025-12-09,0.99715105,352238.52,498575.52,0.3,5,True
2025-12-11,2025-12-10,0.98961705,352238.52,494808.52,0.3,5,True
2025-12-12,2025-12-11,0.99084256,364496.28,495421.28,0.3,4,True
2025-12-15,2025-12-12,0.98007427,369732.14,490037.14,0.3,4,True
2025-12-16,2025-12-15,0.97818332,352195.66,489091.66,0.3,5,True
2025-12-17,2025-12-16,0.98834332,352195.66,494171.66,0.3,5,True
2025-12-18,2025-12-17,0.98309932,352195.66,491549.66,0.3,5,True
2025-12-19,2025-12-18,0.98356332,352195.66,491781.66,0.3,5,True
2025-12-22,2025-12-19,0.99629532,352195.66,498147.66,0.3,5,True
2025-12-23,2025-12-22,1.00042332,352195.66,500211.66,0.3,5,True
2025-12-24,2025-12-23,1.00384496,353074.48,501922.48,0.3,5,True
2025-12-25,2025-12-24,1.00476896,353074.48,502384.48,0.3,5,True
2025-12-26,2025-12-25,1.01250896,353074.48,506254.48,0.3,5,True
2025-12-29,2025-12-26,1.01821209,359524.04,509106.04,0.3,5,True
2025-12-30,2025-12-29,1.02422054,358576.27,512110.27,0.3,5,True
2025-12-31,2025-12-30,1.03972854,358576.27,519864.27,0.3,5,True
