trade_date,signal_date,nav,cash,equity,position_ratio,position_count,in_risk
2025-01-02,2024-12-31,0.97736563,357101.82,488682.82,0.3,5,True
2025-01-03,2025-01-02,0.97153563,357101.82,485767.82,0.3,5,True
2025-01-06,2025-01-03,0.97207163,357101.82,486035.82,0.3,5,True
2025-01-07,2025-01-06,0.97680163,357101.82,488400.82,0.3,5,True
2025-01-08,2025-01-07,0.97717363,357101.82,488586.82,0.3,5,True
2025-01-09,2025-01-08,0.97774963,357101.82,488874.82,0.3,5,True
2025-01-10,2025-01-09,0.97702963,357101.82,488514.82,0.3,5,True
2025-01-13,2025-01-10,0.97186363,357101.82,485931.82,0.3,5,True
2025-01-14,2025-01-13,0.97810563,357101.82,489052.82,0.3,5,True
2025-01-15,2025-01-14,0.97732363,357101.82,488661.82,0.3,5,True
2025-01-16,2025-01-15,0.98312825,381977.13,491564.13,0.3,4,True
2025-01-17,2025-01-16,0.98820225,381977.13,494101.13,0.3,4,True
2025-01-20,2025-01-17,0.99386025,381977.13,496930.13,0.3,4,True
2025-01-21,2025-01-20,0.99686225,381977.13,498431.13,0.3,4,True
2025-01-22,2025-01-21,0.99179218,349903.09,495896.09,0.3,5,True
2025-01-23,2025-01-22,0.98182618,349903.09,490913.09,0.3,5,True
2025-01-24,2025-01-23,0.98874618,349903.09,494373.09,0.3,5,True
2025-01-27,2025-01-24,0.98517818,349903.09,492589.09,0.3,5,True
2025-02-05,2025-01-27,0.98440018,349903.09,492200.09,0.3,5,True
2025-02-06,2025-02-05,0.99278818,349903.09,496394.09,0.3,5,True
2025-02-07,2025-02-06,0.99385849,358853.24,496929.24,0.3,5,True
2025-02-10,2025-02-07,1.00010049,358853.24,500050.24,0.3,5,True
2025-02-11,2025-02-10,0.99651249,358853.24,498256.24,0.3,5,True
2025-02-12,2025-02-11,0.99986249,358853.24,499931.24,0.3,5,True
2025-02-13,2025-02-12,0.99312052,355708.26,496560.26,0.3,5,True
2025-02-14,2025-02-13,1.00973252,355708.26,504866.26,0.3,5,True
2025-02-17,2025-02-14,1.00756652,355708.26,503783.26,0.3,5,True
2025-02-18,2025-02-17,1.00085252,355708.26,500426.26,0.3,5,True
2025-02-19,2025-02-18,1.01687052,355708.26,508435.26,0.3,5,True
2025-02-20,2025-02-19,1.01241252,355708.26,506206.26,0.3,5,True
2025-02-21,2025-02-20,1.03470432,374022.16,517352.16,0.3,5,True
2025-02-24,2025-02-21,1.02944885,364916.43,514724.43,0.3,5,True
2025-02-25,2025-02-24,1.01499285,364916.43,507496.43,0.3,5,True
2025-02-26,2025-02-25,1.01913285,364916.43,509566.43,0.3,5,True
2025-02-27,2025-02-26,1.02560197,357696.98,512800.98,0.3,5,True
2025-02-28,2025-02-27,1.01073797,357696.98,505368.98,0.3,5,True
2025-03-03,2025-02-28,1.00005797,357696.98,500028.98,0.3,5,True
2025-03-04,2025-03-03,1.00456397,357696.98,502281.98,0.3,5,True
2025-03-05,2025-03-04,1.01021997,357696.98,505109.98,0.3,5,True
2025-03-06,2025-03-05,1.01515997,357696.98,507579.98,0.3,5,True
2025-03-07,2025-03-06,0.99380242,357010.21,496901.21,0.3,5,True
2025-03-10,2025-03-07,0.99494275,363011.37,497471.37,0.3,5,True
2025-03-11,2025-03-10,1.00322675,363011.37,501613.37,0.3,5,True
2025-03-12,2025-03-11,1.00312475,363011.37,501562.37,0.3,5,True
2025-03-13,2025-03-12,0.9943021,363268.05,497151.05,0.3,5,True
2025-03-14,2025-03-13,0.9990501,363268.05,499525.05,0.3,5,True
2025-03-17,2025-03-14,1.0064841,363268.05,503242.05,0.3,5,True
2025-03-18,2025-03-17,1.0132341,363268.05,506617.05,0.3,5,True
2025-03-19,2025-03-18,1.0129701,363268.05,506485.05,0.3,5,True
2025-03-20,2025-03-19,1.0096701,363268.05,504835.05,0.3,5,True
2025-03-21,2025-03-20,1.02032576,365725.88,510162.88,0.3,5,True
2025-03-24,2025-03-21,1.01831984,362149.92,509159.92,0.3,5,True
2025-03-25,2025-03-24,1.01360584,362149.92,506802.92,0.3,5,True
2025-03-26,2025-03-25,1.01526384,362149.92,507631.92,0.3,5,True
2025-03-27,2025-03-26,0.99403343,361729.72,497016.72,0.3,5,True
2025-03-28,2025-03-27,0.99066943,361729.72,495334.72,0.3,5,True
2025-03-31,2025-03-28,0.98416743,361729.72,492083.72,0.3,5,True
2025-04-01,2025-03-31,0.98176743,361729.72,490883.72,0.3,5,True
2025-04-02,2025-04-01,0.97967943,361729.72,489839.72,0.3,5,True
2025-04-03,2025-04-02,0.97223543,361729.72,486117.72,0.3,5,True
2025-04-07,2025-04-03,0.94761152,351873.76,473805.76,0.3,5,True
2025-04-08,2025-04-07,0.94092642,364651.21,470463.21,0.3,4,True
2025-04-09,2025-04-08,0.94202442,364651.21,471012.21,0.3,4,True
2025-04-10,2025-04-09,0.94518815,339733.07,472594.07,0.3,5,True
2025-04-11,2025-04-10,0.95654699,336239.5,478273.5,0.3,5,True
2025-04-14,2025-04-11,0.95789299,336239.5,478946.5,0.3,5,True
2025-04-15,2025-04-14,0.95595499,336239.5,477977.5,0.3,5,True
2025-04-16,2025-04-15,0.95501299,336239.5,477506.5,0.3,5,True
2025-04-17,2025-04-16,0.95564699,336239.5,477823.5,0.3,5,True
2025-04-18,2025-04-17,0.95523299,336239.5,477616.5,0.3,5,True
2025-04-21,2025-04-18,0.96822403,342570.01,484112.01,0.3,5,True
2025-04-22,2025-04-21,0.96733203,342570.01,483666.01,0.3,5,True
2025-04-23,2025-04-22,0.95968003,342570.01,479840.01,0.3,5,True
2025-04-24,2025-04-23,0.93825679,338805.39,469128.39,0.3,5,True
2025-04-25,2025-04-24,0.93577335,335382.68,467886.68,0.3,5,True
2025-04-28,2025-04-25,0.93419735,335382.68,467098.68,0.3,5,True
2025-04-29,2025-04-28,0.93211935,335382.68,466059.68,0.3,5,True
2025-04-30,2025-04-29,0.93293135,335382.68,466465.68,0.3,5,True
2025-05-06,2025-04-30,0.94446535,335382.68,472232.68,0.3,5,True
2025-05-07,2025-05-06,0.94114135,335382.68,470570.68,0.3,5,True
2025-05-08,2025-05-07,0.94062028,336217.14,470310.14,0.3,5,True
2025-05-09,2025-05-08,0.93900028,336217.14,469500.14,0.3,5,True
2025-05-12,2025-05-09,0.94149828,336217.14,470749.14,0.3,5,True
2025-05-13,2025-05-12,0.95222005,335569.02,476110.02,0.3,5,True
2025-05-14,2025-05-13,0.95419528,335353.64,477097.64,0.3,5,True
2025-05-15,2025-05-14,0.94304128,335353.64,471520.64,0.3,5,True
2025-05-16,2025-05-15,0.94284528,335353.64,471422.64,0.3,5,True
2025-05-19,2025-05-16,0.94134728,335353.64,470673.64,0.3,5,True
2025-05-20,2025-05-19,0.93969728,335353.64,469848.64,0.3,5,True
2025-05-21,2025-05-20,0.93906528,335353.64,469532.64,0.3,5,True
2025-05-22,2025-05-21,0.9302093,383700.65,465104.65,0.3,4,True
2025-05-23,2025-05-22,0.9324613,331661.65,466230.65,0.3,5,True
2025-05-26,2025-05-23,0.9319833,331661.65,465991.65,0.3,5,True
2025-05-27,2025-05-26,0.92994743,357514.72,464973.72,0.3,4,True
2025-05-28,2025-05-27,0.9258308,344451.4,462915.4,0.3,4,True
2025-05-29,2025-05-28,0.92612424,328546.12,463062.12,0.3,5,True
2025-05-30,2025-05-29,0.92192624,328546.12,460963.12,0.3,5,True
2025-06-03,2025-05-30,0.91830824,328546.12,459154.12,0.3,5,True
2025-06-04,2025-06-03,0.91693824,328546.12,458469.12,0.3,5,True
2025-06-05,2025-06-04,0.91562624,328546.12,457813.12,0.3,5,True
2025-06-06,2025-06-05,0.92037259,327243.3,460186.3,0.3,5,True
2025-06-09,2025-06-06,0.94022607,329268.04,470113.04,0.3,5,True
2025-06-10,2025-06-09,0.93636407,329268.04,468182.04,0.3,5,True
2025-06-11,2025-06-10,0.93544807,329268.04,467724.04,0.3,5,True
2025-06-12,2025-06-11,0.94386946,330829.73,471934.73,0.3,5,True
2025-06-13,2025-06-12,0.9368867,330488.35,468443.35,0.3,5,True
2025-06-16,2025-06-13,0.9532007,330488.35,476600.35,0.3,5,True
2025-06-17,2025-06-16,0.9588067,330488.35,479403.35,0.3,5,True
2025-06-18,2025-06-17,0.9755887,330488.35,487794.35,0.3,5,True
2025-06-19,2025-06-18,0.9354067,330488.35,467703.35,0.3,5,True
2025-06-20,2025-06-19,0.92710698,326614.49,463553.49,0.3,5,True
2025-06-23,2025-06-20,0.93015261,327418.3,465076.3,0.3,5,True
2025-06-24,2025-06-23,0.93243861,327418.3,466219.3,0.3,5,True
2025-06-25,2025-06-24,0.93407061,327418.3,467035.3,0.3,5,True
2025-06-26,2025-06-25,0.92835102,329672.51,464175.51,0.3,5,True
2025-06-27,2025-06-26,0.92145031,329559.16,460725.16,0.3,5,True
2025-06-30,2025-06-27,0.92024831,329559.16,460124.16,0.3,5,True
