strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,buffer_kept_count,band_reweight_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,corporate_action_status,ledger_eod_equity,ledger_reconciliation_error_bps,ledger_event_count,strict_ledger_frozen
vls_mom_contrarian_v1_frozen,2024-11-06,2024-04-10,55409.9943902501,605626.0,661035.9943902501,1.3220719887805001,10,0.9161770389805156,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,661035.9943902501,0.0,330,1.0
vls_mom_contrarian_v1_frozen,2024-11-07,2024-04-10,55409.9943902501,634371.0,689780.9943902501,1.3795619887805002,10,0.9196701636593638,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,689780.9943902501,0.0,332,1.0
vls_mom_contrarian_v1_frozen,2024-11-08,2024-04-10,55409.9943902501,612319.0,667728.9943902501,1.3354579887805,10,0.9170172407432318,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,667728.9943902501,0.0,334,1.0
vls_mom_contrarian_v1_frozen,2024-11-11,2024-04-10,55409.9943902501,596128.0,651537.9943902501,1.3030759887805001,10,0.9149550834067532,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,651537.9943902501,0.0,336,1.0
vls_mom_contrarian_v1_frozen,2024-11-12,2024-04-10,55409.9943902501,589819.0,645228.9943902501,1.2904579887805,10,0.9141235206849109,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,645228.9943902501,0.0,338,1.0
vls_mom_contrarian_v1_frozen,2024-11-13,2024-04-10,55409.9943902501,596266.0,651675.9943902501,1.3033519887805,10,0.9149730926607245,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,651675.9943902501,0.0,340,1.0
vls_mom_contrarian_v1_frozen,2024-11-14,2024-04-10,55409.9943902501,588424.0,643833.9943902501,1.2876679887805,10,0.9139374514656893,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,643833.9943902501,0.0,342,1.0
vls_mom_contrarian_v1_frozen,2024-11-15,2024-04-10,55409.9943902501,618160.0,673569.9943902501,1.3471399887805002,10,0.9177368427160862,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,673569.9943902501,0.0,344,1.0
vls_mom_contrarian_v1_frozen,2024-11-18,2024-04-10,55409.9943902501,599986.0,655395.9943902501,1.3107919887805002,10,0.9154557017978101,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,655395.9943902501,0.0,346,1.0
vls_mom_contrarian_v1_frozen,2024-11-19,2024-04-10,55409.9943902501,561456.0,616865.9943902501,1.2337319887805,10,0.9101749895534105,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,616865.9943902501,0.0,348,1.0
