strategy,window,requested_window,requested_window_days,actual_start,actual_end,actual_trading_days,coverage_ratio,coverage_status,window_start,window_end,trading_days,initial_cash,window_start_equity,window_end_equity,total_return,max_drawdown,annualized_volatility,daily_win_rate,avg_gross_exposure,avg_position_count
vls_mom_contrarian_v1_frozen,3m,3m,63,2024-09-30,2024-12-31,62,0.9841269841269841,PASS,2024-09-30,2024-12-31,62,500000.0,423977.9943902501,546228.9943902501,0.28834279518637973,-0.3178289511114123,0.9063838349496003,0.5161290322580645,0.9057705961662049,10.0
vls_mom_contrarian_v1_frozen,6m,6m,126,2024-07-01,2024-12-31,125,0.9920634920634921,PASS,2024-07-01,2024-12-31,125,500000.0,342432.9943902501,546228.9943902501,0.5951412490577528,-0.3178289511114122,0.7347062915375564,0.464,0.8695237684190572,10.0
vls_mom_contrarian_v1_frozen,1y,1y,252,2024-01-03,2024-12-31,241,0.9563492063492064,PASS,2024-01-03,2024-12-31,241,500000.0,510214.9943902501,546228.9943902501,0.07058593023719295,-0.40398033761617813,0.6440718405553681,0.4605809128630705,0.8639080983547894,10.0
vls_mom_contrarian_v1_frozen,3y,3y,756,2024-01-03,2024-12-31,241,0.3187830687830688,INSUFFICIENT_COVERAGE,2024-01-03,2024-12-31,241,500000.0,510214.9943902501,546228.9943902501,0.07058593023719295,-0.40398033761617813,0.6440718405553681,0.4605809128630705,0.8639080983547894,10.0
