strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-15,000630,铜陵有色,BUY,7.66,0,9100,9100,9100,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-15,002460,赣锋锂业,BUY,71.32,0,900,900,900,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-15,002466,天齐锂业,BUY,63.72,0,1000,1000,1000,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-15,600869,远东股份,BUY,32.68,0,2100,2100,2100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-15,688146,中船特气,BUY,318.3,0,200,200,200,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-15,002240,盛新锂能,BUY,51.63,0,900,900,900,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-15,002460,赣锋锂业,BUY,71.32,0,700,700,700,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-15,002466,天齐锂业,BUY,63.72,0,700,700,700,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-15,600869,远东股份,BUY,32.68,0,1500,1500,1500,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-15,688146,中船特气,BUY,318.3,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-06-15,000725,京东方Ａ,BUY,5.92,0,8400,8400,8400,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-06-15,300394,天孚通信,BUY,305.04,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-15,002240,盛新锂能,BUY,51.63,0,1300,1300,1300,0.0,0.19940115263610705,0.19940115263610705,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-15,002460,赣锋锂业,BUY,71.32,0,1300,1300,1300,0.0,0.27999652594936975,0.27999652594936975,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-15,002466,天齐锂业,BUY,63.72,0,1500,1500,1500,0.0,0.2882724542695317,0.2882724542695317,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-15,600869,远东股份,BUY,32.68,0,1500,1500,1500,0.0,0.1491466710271448,0.1491466710271448,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-15,002240,盛新锂能,BUY,51.63,0,2200,2200,2200,0.0,0.3343151996692924,0.3343151996692924,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-15,002460,赣锋锂业,BUY,71.32,0,500,500,500,0.0,0.11025258101914218,0.11025258101914218,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-15,002466,天齐锂业,BUY,63.72,0,700,700,700,0.0,0.12830475230551228,0.12830475230551228,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-15,600869,远东股份,BUY,32.68,0,3500,3500,3500,0.0,0.3343151996692924,0.3343151996692924,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-15,688146,中船特气,BUY,318.3,0,100,100,100,0.0,0.09281226733676075,0.09281226733676075,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_score,基础综合评分策略,2026-06-15,000630,铜陵有色,BUY,7.66,0,9100,9100,9100,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-06-15,002768,国恩股份,BUY,75.81,0,900,900,900,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-06-15,002937,兴瑞科技,BUY,40.42,0,1700,1700,1700,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-06-15,300825,阿尔特,BUY,16.35,0,4200,4200,4200,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-06-15,600500,中化国际,BUY,8.24,0,8400,8400,8400,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-15,002240,盛新锂能,BUY,51.63,0,1300,1300,1300,0.0,0.19940115263610705,0.19940115263610705,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-15,002460,赣锋锂业,BUY,71.32,0,1300,1300,1300,0.0,0.27999652594936975,0.27999652594936975,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-15,002466,天齐锂业,BUY,63.72,0,1500,1500,1500,0.0,0.28827245426953174,0.28827245426953174,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-15,600869,远东股份,BUY,32.68,0,1500,1500,1500,0.0,0.1491466710271448,0.1491466710271448,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-15,002240,盛新锂能,BUY,51.63,0,1300,1300,1300,0.0,0.19940115263610705,0.19940115263610705,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-15,002460,赣锋锂业,BUY,71.32,0,1300,1300,1300,0.0,0.27999652594936975,0.27999652594936975,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-15,002466,天齐锂业,BUY,63.72,0,1500,1500,1500,0.0,0.28827245426953174,0.28827245426953174,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-15,600869,远东股份,BUY,32.68,0,1500,1500,1500,0.0,0.1491466710271448,0.1491466710271448,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-15,002965,祥鑫科技,BUY,40.47,0,1700,1700,1700,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-15,300852,四会富仕,BUY,58.97,0,1100,1100,1100,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-15,301276,嘉曼服饰,BUY,31.2,0,2200,2200,2200,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-15,301373,凌玮科技,BUY,158.98,0,400,400,400,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-15,600176,中国巨石,BUY,45.77,0,1500,1500,1500,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-15,002272,川润股份,BUY,21.08,0,3300,3300,3300,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-15,002353,杰瑞股份,BUY,154.87,0,400,400,400,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-15,002965,祥鑫科技,BUY,40.47,0,1700,1700,1700,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-15,600176,中国巨石,BUY,45.77,0,1500,1500,1500,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-15,600206,有研新材,BUY,35.55,0,1900,1900,1900,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_hybrid_conservative_shadow,AShare保守混合策略（影子）,2026-06-15,002736,国信证券,BUY,10.44,0,16700,16700,16700,0.0,0.5,0.5,trusted_strategy:ashare_hybrid_conservative_shadow; hold_gate=10d; max_positions=5,ashare_hybrid_conservative_shadow,10,0.7
ashare_hybrid_conservative_shadow,AShare保守混合策略（影子）,2026-06-15,600909,华安证券,BUY,7.96,0,21900,21900,21900,0.0,0.5,0.5,trusted_strategy:ashare_hybrid_conservative_shadow; hold_gate=10d; max_positions=5,ashare_hybrid_conservative_shadow,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-06-15,002240,盛新锂能,BUY,51.63,0,1300,1300,1300,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-06-15,002460,赣锋锂业,BUY,71.32,0,900,900,900,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-06-15,002466,天齐锂业,BUY,63.72,0,1000,1000,1000,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-06-15,600869,远东股份,BUY,32.68,0,2100,2100,2100,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-06-15,688146,中船特气,BUY,318.3,0,200,200,200,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
