signal_date,execution_date,strategy,rank,symbol,name,industry,rank_score,raw_effective_weight,adjusted_target_weight,locked,skipped_by_position_cap,pattern_score,pattern_sentiment,pattern_risk_level,pattern_pass_count,bullish_pattern_count,bearish_pattern_count,top_pattern_ids,base_rank_score,pattern_adjustment_pct,pattern_adjusted_rank_score,pattern_strategy_mode,pattern_weight_multiplier,large_slippage_proxy,limit_up_buy_ratio,unfilled_ratio_proxy,limit_down_sell_ratio,open_gap_proxy,estimated_turnover_impact,adaptive_role,adaptive_underlying_strategy,adaptive_reason,adaptive_target_position_ratio,adaptive_position_reason,market_style_state,selected_strategy,target_position_ratio,style_reason,switch_reason,recent_champion_strategy,champion_score,weekly_switch_allowed,market_state,industry_state,strategy_source,ashare_resolved_strategy,route_reason,risk_veto_reason,dual_intersection_count,dual_union_count,adaptive_version,ashare_release_tier,ashare_weight_profile,ashare_supplement_limit,ashare_weight_cache_key,ashare_weighted_hit_count,ashare_supplement_count,ashare_weekly_penalty_count,ashare_risk_veto_filtered_count,risk_decision,fallback_strategy,allow_new_buys,risk_governor_reasons,risk_governor_version,recovery_status,governed_nav_ret_10d,governed_nav_drawdown_20d,recovery_streak,champion_score_floor,recovery_position,nav_ret_10d_kill,nav_dd_20d_kill,max_recovery_streak,champion_score_pctile_252,champion_score_z_252,champion_score_rank_252,champion_score_sample_count_252,champion_score_percentile_floor,champion_score_z_floor,pattern_top5_high_risk_count,pattern_top5_bullish_count,pattern_top5_bearish_count,top_industry_weight,fp_classified_label,fp_classified_gate_reason,pattern_guard_enabled,trade_date,candidate_rank,execution_hard_block,execution_slippage_warning,execution_hard_block_reasons,execution_warning_reasons,execution_v22_severity,position_diff,theory_gap,is_uplift_event,monitor_execution_hard_block,blocked_share_hard_block,hard_block_reasons,is_recovery_event,fallback_action,case_classification
2025-12-25,2025-12-26,production_governed_vol_position_v1_2b_gate_tuned,3,002759,天际股份,电气设备,91.96212423311847,0.0295943319241746,0.0,0,1,,,,,,,,,,,,,0.1,1.0,1.0,0.0,0.1,0.0,recent_champion,baseline_full_liquidity_detail_vol_position,,0.55,,recent_champion,baseline_full_liquidity_detail_vol_position,0.55,,,,,,,,,,production_risk_governor_backtest,,,,,,,,,,,,,recovery_reduce,,True,negative_recent_champion|v1_2b_dynamic_score_recovery,v1.2b_gate_tuned,recovered,0.0402098916694599,-0.0296515751396461,4.0,,0.55,-0.04,-0.075,5.0,0.492063492063492,-0.0706971249413875,124.0,252.0,0.6,-0.5,0.0,0.0,0.0,0.0393945925652896,,,,2025-12-26,3,True,False,open_gap_proxy|limit_up_buy_ratio,,hard_block,0.1,0.0019034801332327,True,False,0.0,open_gap_proxy|limit_up_buy_ratio,True,fallback_to_production_return_and_position,filterable_by_full_day_fallback
2025-12-29,2025-12-30,production_governed_vol_position_v1_2b_gate_tuned,2,002759,天际股份,电气设备,93.89741616659394,0.0281798831408471,0.0,0,1,,,,,,,,,,,,,0.0543259557344064,0.0,0.0,0.0,-0.0543259557344064,0.0,recent_champion,baseline_full_liquidity_detail_vol_position,,0.55,,recent_champion,baseline_full_liquidity_detail_vol_position,0.55,,,,,,,,,,production_risk_governor_backtest,,,,,,,,,,,,,recovery_reduce,,True,negative_recent_champion|v1_2b_dynamic_score_recovery,v1.2b_gate_tuned,recovered,0.0654324078010775,-0.0296515751396461,0.0,,0.55,-0.04,-0.075,5.0,0.5595238095238095,0.0747632199637438,141.0,252.0,0.6,-0.5,0.0,0.0,0.0,0.0496158212240966,,,,2025-12-30,2,True,False,open_gap_proxy,,hard_block,0.1,-0.0111216187330482,True,False,0.14174749046016513,open_gap_proxy,True,fallback_to_production_return_and_position,filterable_by_full_day_fallback
2026-01-05,2026-01-06,production_governed_vol_position_v1_2b_gate_tuned,1,002465,海格通信,通信设备,95.60087667053264,0.0478538535372706,0.0,1,0,,,,,,,,,,,,,0.0571263704558571,0.0,0.0,0.0,0.0571263704558571,0.0,recent_champion,baseline_full_liquidity_detail_vol_position,,0.55,,recent_champion,baseline_full_liquidity_detail_vol_position,0.55,,,,,,,,,,production_risk_governor_backtest,,,,,,,,,,,,,recovery_reduce,,True,negative_recent_champion|v1_2b_dynamic_score_recovery,v1.2b_gate_tuned,recovered,0.138212805270206,-0.0296515751396461,3.0,,0.55,-0.04,-0.075,5.0,0.6150793650793651,0.2157924701454153,155.0,252.0,0.6,-0.5,0.0,0.0,0.0,0.0478538535372706,,,,2026-01-06,1,True,False,open_gap_proxy,,hard_block,0.1,0.0026316856271857,True,False,0.0,open_gap_proxy,True,fallback_to_production_return_and_position,filterable_by_full_day_fallback
2026-01-08,2026-01-09,production_governed_vol_position_v1_2b_gate_tuned,1,002465,海格通信,通信设备,96.55258817589412,0.0417092649234456,0.0,1,0,,,,,,,,,,,,,0.0763170851797143,0.0,0.0,0.0,0.0763170851797143,0.0,recent_champion,baseline_full_liquidity_detail_vol_position,,0.6,,recent_champion,baseline_full_liquidity_detail_vol_position,0.6,,,,,,,,,,production_risk_governor_backtest,,,,,,,,,,,,,recovery_reduce,,True,negative_recent_champion|v1_2b_dynamic_score_recovery,v1.2b_gate_tuned,recovered,0.179331924203969,-0.0296515751396461,0.0,,0.6,-0.04,-0.075,5.0,0.8571428571428571,1.2799345783576417,216.0,252.0,0.6,-0.5,0.0,0.0,0.0,0.0906220315766333,,,,2026-01-09,1,True,False,open_gap_proxy,,hard_block,0.1499999999999999,-0.0097329843334654,True,False,0.17797208764695055,open_gap_proxy,True,fallback_to_production_return_and_position,filterable_by_full_day_fallback
2026-01-12,2026-01-13,production_governed_vol_position_v1_2b_gate_tuned,1,300058,蓝色光标,广告包装,93.79230209232814,0.0206180566570963,0.0,1,0,,,,,,,,,,,,,0.0911736178467506,0.0,0.0,0.0,0.0911736178467506,0.0,recent_champion,baseline_full_liquidity_detail_vol_position,,0.6,,recent_champion,baseline_full_liquidity_detail_vol_position,0.6,,,,,,,,,,production_risk_governor_backtest,,,,,,,,,,,,,recovery_reduce,,True,negative_recent_champion|v1_2b_dynamic_score_recovery,v1.2b_gate_tuned,recovered,0.2706485112773638,-0.0220477922932996,2.0,,0.6,-0.04,-0.075,5.0,0.984126984126984,2.1468165434667448,248.0,252.0,0.6,-0.5,0.0,0.0,0.0,0.1764824832966138,,,,2026-01-13,1,True,False,open_gap_proxy,,hard_block,0.1499999999999999,0.003466189839509,True,False,0.0,open_gap_proxy,True,fallback_to_production_return_and_position,filterable_by_full_day_fallback
2026-04-24,2026-04-27,production_governed_vol_position_v1_2b_gate_tuned,2,002156,通富微电,半导体,93.0513412771158,0.0569671312292976,0.0,0,1,,,,,,,,,,,,,0.050392399834779,0.0,0.0,0.0,0.050392399834779,0.0,recent_champion,baseline_full_liquidity_detail_vol_position,,0.58,,recent_champion,baseline_full_liquidity_detail_vol_position,0.58,,,,,,,,,,production_risk_governor_backtest,,,,,,,,,,,,,recovery_reduce,,True,negative_recent_champion|v1_2b_dynamic_score_recovery,v1.2b_gate_tuned,recovered,0.0061891011472146,-0.0508040229725292,1.0,,0.58,-0.04,-0.075,5.0,0.8412698412698413,1.216664277959846,212.0,252.0,0.6,-0.5,0.0,0.0,0.0,0.0685818244946585,,,,2026-04-27,2,True,False,open_gap_proxy,,hard_block,0.1299999999999999,-0.0063261438876106,True,False,0.26046470689389734,open_gap_proxy,True,fallback_to_production_return_and_position,filterable_by_full_day_fallback
2026-04-27,2026-04-28,production_governed_vol_position_v1_2b_gate_tuned,5,688106,金宏气体,化工原料,93.28512989791552,0.0289823071194444,0.0,0,1,,,,,,,,,,,,,0.0663198959687905,0.0,0.0,0.0,0.0663198959687905,0.0,recent_champion,baseline_full_liquidity_detail_vol_position,,0.58,,recent_champion,baseline_full_liquidity_detail_vol_position,0.58,,,,,,,,,,production_risk_governor_backtest,,,,,,,,,,,,,recovery_reduce,,True,negative_recent_champion|v1_2b_dynamic_score_recovery,v1.2b_gate_tuned,recovered,0.016848965165775,-0.0508040229725292,2.0,,0.58,-0.04,-0.075,5.0,0.8373015873015873,1.1474127362342763,211.0,252.0,0.6,-0.5,0.0,0.0,0.0,0.0531435682068487,,,,2026-04-28,5,True,False,open_gap_proxy,,hard_block,0.1299999999999999,-0.004390190814333,True,False,0.17016546558379425,open_gap_proxy,True,fallback_to_production_return_and_position,filterable_by_full_day_fallback
2026-04-28,2026-04-29,production_governed_vol_position_v1_2b_gate_tuned,2,688268,华特气体,化工原料,93.30093034643164,0.0178305713200134,0.0,0,1,,,,,,,,,,,,,0.0541124501848562,0.0,0.0,0.0,-0.0541124501848562,0.0,recent_champion,baseline_full_liquidity_detail_vol_position,,0.58,,recent_champion,baseline_full_liquidity_detail_vol_position,0.58,,,,,,,,,,production_risk_governor_backtest,,,,,,,,,,,,,recovery_reduce,,True,negative_recent_champion|v1_2b_dynamic_score_recovery,v1.2b_gate_tuned,recovered,-0.0004506313108967,-0.0508040229725292,3.0,,0.58,-0.04,-0.075,5.0,0.8452380952380952,1.2221583614359142,213.0,252.0,0.6,-0.5,0.0,0.0,0.0,0.0826770328110684,,,,2026-04-29,2,True,False,open_gap_proxy,,hard_block,0.1299999999999999,0.0055885260201775,True,False,0.0981204961020435,open_gap_proxy,True,fallback_to_production_return_and_position,filterable_by_full_day_fallback
2026-04-30,2026-05-06,production_governed_vol_position_v1_2b_gate_tuned,3,002156,通富微电,半导体,92.6065435745938,0.0516708537169702,0.0,0,1,,,,,,,,,,,,,0.1000579486188912,1.0,1.0,0.0,0.1000579486188912,0.0,recent_champion,baseline_full_liquidity_detail_vol_position,,0.45,,recent_champion,baseline_full_liquidity_detail_vol_position,0.45,,,,,,,,,,production_risk_governor_backtest,,,,,,,,,,,,,reduce_position,,True,negative_recent_champion,v1.2b_gate_tuned,blocked_recovery_streak_exceeded,0.030182360750635,-0.0508040229725292,5.0,,,,,5.0,,,,,,,,,,0.1162912830157608,,,,2026-05-06,3,True,False,open_gap_proxy|limit_up_buy_ratio,,hard_block,0.0,0.0082398183652847,True,False,0.18355334498735976,open_gap_proxy|limit_up_buy_ratio,True,fallback_to_production_return_and_position,filterable_by_full_day_fallback
