signal_date,trade_date,risk_state,opp_structure,total_position,budgets,health_scores
2025-09-02,2025-09-03,RISK_ON,NO_EDGE,0.7,"{""core"": 0.15, ""attack"": 0.0, ""balanced"": 0.103125, ""defensive"": 0.446875}","{""core"": 50.0, ""attack"": 50.0, ""balanced"": 50.0, ""defensive"": 50.0}"
2025-09-03,2025-09-04,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11785714285714285, ""attack"": 0.0, ""balanced"": 0.08102678571428572, ""defensive"": 0.3511160714285715}","{""core"": 50.0, ""attack"": 50.0, ""balanced"": 50.0, ""defensive"": 50.0}"
2025-09-04,2025-09-05,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11693299753942493, ""attack"": 0.0, ""balanced"": 0.08143548042924237, ""defensive"": 0.3516315220313327}","{""core"": 50.37379309305602, ""attack"": 49.866371920025344, ""balanced"": 50.37379309305602, ""defensive"": 50.01666666666666}"
2025-09-05,2025-09-08,NEUTRAL,NARROW_MOMENTUM,0.55,"{""core"": 0.30271916076356303, ""attack"": 0.0825532405131658, ""balanced"": 0.055039847411556916, ""defensive"": 0.10968775131171428}","{""core"": 50.30236901549362, ""attack"": 50.29443494469322, ""balanced"": 50.30236901549362, ""defensive"": 49.94523809523809}"
2025-09-08,2025-09-09,NEUTRAL,NARROW_MOMENTUM,0.55,"{""core"": 0.30271555909811804, ""attack"": 0.08255870243140832, ""balanced"": 0.05503919256329419, ""defensive"": 0.10968654590717948}","{""core"": 50.330951406263296, ""attack"": 50.330846390769516, ""balanced"": 50.330951406263296, ""defensive"": 49.97380952380952}"
2025-09-09,2025-09-10,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11693231861124745, ""attack"": 0.0, ""balanced"": 0.0814350076042616, ""defensive"": 0.351632673784491}","{""core"": 50.37288154293408, ""attack"": 50.36881614129228, ""balanced"": 50.37288154293408, ""defensive"": 50.01666666666666}"
2025-09-10,2025-09-11,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11592582469461768, ""attack"": 0.0, ""balanced"": 0.08115272920536137, ""defensive"": 0.352921446100021}","{""core"": 49.70239920547362, ""attack"": 49.70238309096968, ""balanced"": 49.70239920547362, ""defensive"": 50.0595238095238}"
2025-09-11,2025-09-12,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11759165533337484, ""attack"": 0.0, ""balanced"": 0.0808442630416952, ""defensive"": 0.3515640816249301}","{""core"": 49.706905522354624, ""attack"": 49.704549274048574, ""balanced"": 49.706905522354624, ""defensive"": 50.0595238095238}"
2025-09-12,2025-09-15,NEUTRAL,NARROW_MOMENTUM,0.55,"{""core"": 0.3022848046195553, ""attack"": 0.08244085246602678, ""balanced"": 0.05496087356719188, ""defensive"": 0.11031346934722604}","{""core"": 49.590333385401756, ""attack"": 49.58978025377624, ""balanced"": 49.590333385401756, ""defensive"": 49.94523809523809}"
2025-09-15,2025-09-16,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.10974433787188091, ""attack"": 0.0, ""balanced"": 0.08230825340391065, ""defensive"": 0.35794740872420855}","{""core"": 49.64524997576082, ""attack"": 49.645246222583815, ""balanced"": 49.64524997576082, ""defensive"": 50.002380952380946}"
2025-09-16,2025-09-17,NEUTRAL,NARROW_MOMENTUM,0.55,"{""core"": 0.3022832614637129, ""attack"": 0.0824408863840448, ""balanced"": 0.05496059299340234, ""defensive"": 0.11031525915883997}","{""core"": 49.616678547189395, ""attack"": 49.61667479401238, ""balanced"": 49.616678547189395, ""defensive"": 49.973809523809514}"
2025-09-17,2025-09-18,NEUTRAL,NARROW_MOMENTUM,0.55,"{""core"": 0.3022832614637129, ""attack"": 0.0824408863840448, ""balanced"": 0.05496059299340234, ""defensive"": 0.11031525915883997}","{""core"": 49.616678547189395, ""attack"": 49.61667479401238, ""balanced"": 49.616678547189395, ""defensive"": 49.973809523809514}"
2025-09-18,2025-09-19,NEUTRAL,NARROW_MOMENTUM,0.55,"{""core"": 0.3018740065308566, ""attack"": 0.08226830352281658, ""balanced"": 0.0548861830056103, ""defensive"": 0.11097150694071647}","{""core"": 49.15120516868834, ""attack"": 49.077776285237775, ""balanced"": 49.15120516868834, ""defensive"": 50.234321736609125}"
2025-09-19,2025-09-22,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.1153159329992118, ""attack"": 0.0, ""balanced"": 0.08108151539007077, ""defensive"": 0.35360255161071746}","{""core"": 49.877800221247355, ""attack"": 49.86595663935127, ""balanced"": 49.877800221247355, ""defensive"": 50.5172050647292}"
2025-09-22,2025-09-23,NEUTRAL,NARROW_MOMENTUM,0.55,"{""core"": 0.3020517990624431, ""attack"": 0.08234844258004406, ""balanced"": 0.0549185089204442, ""defensive"": 0.11068124943706865}","{""core"": 49.65260016403577, ""attack"": 49.61713071328856, ""balanced"": 49.65260016403577, ""defensive"": 50.41855207491037}"
2025-09-23,2025-09-24,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11741348969036486, ""attack"": 0.0, ""balanced"": 0.08072177416212584, ""defensive"": 0.35186473614750935}","{""core"": 49.91840467682324, ""attack"": 49.895061543048136, ""balanced"": 49.91840467682324, ""defensive"": 50.50980704873749}"
2025-09-24,2025-09-25,NEUTRAL,NARROW_MOMENTUM,0.55,"{""core"": 0.30207183083301936, ""attack"": 0.08236579008412245, ""balanced"": 0.05492215106054898, ""defensive"": 0.11064022802230929}","{""core"": 49.707550550810424, ""attack"": 49.68644733058875, ""balanced"": 49.707550550810424, ""defensive"": 50.43002609571613}"
2025-09-25,2025-09-26,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11489663668276391, ""attack"": 0.0, ""balanced"": 0.08088667582448816, ""defensive"": 0.35421668749274793}","{""core"": 49.22433893598354, ""attack"": 49.06998127828073, ""balanced"": 49.22433893598354, ""defensive"": 50.27395535878235}"
2025-09-26,2025-09-29,NEUTRAL,NARROW_MOMENTUM,0.55,"{""core"": 0.3020211608565942, ""attack"": 0.08232486264610042, ""balanced"": 0.05491293833756259, ""defensive"": 0.11074103815974284}","{""core"": 49.6203529152744, ""attack"": 49.56647885168262, ""balanced"": 49.6203529152744, ""defensive"": 50.45047340082961}"
2025-09-29,2025-09-30,NEUTRAL,NARROW_MOMENTUM,0.55,"{""core"": 0.30201630375451155, ""attack"": 0.08232255872096042, ""balanced"": 0.054912055228093004, ""defensive"": 0.1107490822964351}","{""core"": 49.55801517685437, ""attack"": 49.502990329961364, ""balanced"": 49.55801517685437, ""defensive"": 50.39652286088809}"
2025-09-30,2025-10-09,NEUTRAL,NARROW_MOMENTUM,0.55,"{""core"": 0.30201630375451155, ""attack"": 0.08232255872096042, ""balanced"": 0.054912055228093004, ""defensive"": 0.1107490822964351}","{""core"": 49.55801517685437, ""attack"": 49.502990329961364, ""balanced"": 49.55801517685437, ""defensive"": 50.39652286088809}"
2025-10-09,2025-10-10,NEUTRAL,NARROW_MOMENTUM,0.55,"{""core"": 0.30201630375451155, ""attack"": 0.08232255872096042, ""balanced"": 0.054912055228093004, ""defensive"": 0.1107490822964351}","{""core"": 49.55801517685437, ""attack"": 49.502990329961364, ""balanced"": 49.55801517685437, ""defensive"": 50.39652286088809}"
2025-10-10,2025-10-13,NEUTRAL,NARROW_MOMENTUM,0.55,"{""core"": 0.301082822849515, ""attack"": 0.08197532739907507, ""balanced"": 0.05474233142718455, ""defensive"": 0.11219951832422544}","{""core"": 49.08506256067482, ""attack"": 48.91833531147438, ""balanced"": 49.08506256067482, ""defensive"": 51.54204253449743}"
2025-10-13,2025-10-14,NEUTRAL,NARROW_MOMENTUM,0.55,"{""core"": 0.30096213819448325, ""attack"": 0.08195847197037959, ""balanced"": 0.054720388762633326, ""defensive"": 0.11235900107250386}","{""core"": 48.71338169230406, ""attack"": 48.5665259266182, ""balanced"": 48.71338169230406, ""defensive"": 51.34556067892895}"
2025-10-14,2025-10-15,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11331246016082942, ""attack"": 0.0, ""balanced"": 0.08026299261392084, ""defensive"": 0.3564245472252498}","{""core"": 49.258671995729614, ""attack"": 49.20826968158694, ""balanced"": 49.258671995729614, ""defensive"": 51.71818937517368}"
2025-10-15,2025-10-16,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11549329508787366, ""attack"": 0.0, ""balanced"": 0.08043283050762629, ""defensive"": 0.35407387440450006}","{""core"": 50.358268985657716, ""attack"": 50.203387364678896, ""balanced"": 50.358268985657716, ""defensive"": 51.95102471700552}"
2025-10-16,2025-10-17,NEUTRAL,NARROW_MOMENTUM,0.55,"{""core"": 0.30152353378149443, ""attack"": 0.08217653914148838, ""balanced"": 0.054822460687544435, ""defensive"": 0.11147746638947278}","{""core"": 48.04118018266803, ""attack"": 47.97304218888276, ""balanced"": 48.04118018266803, ""defensive"": 49.67978663789491}"
2025-10-17,2025-10-20,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.1155261933493036, ""attack"": 0.0, ""balanced"": 0.08045574179683641, ""defensive"": 0.35401806485386006}","{""core"": 48.35900534792048, ""attack"": 48.288776815180576, ""balanced"": 48.35900534792048, ""defensive"": 49.8758322274476}"
2025-10-20,2025-10-21,NEUTRAL,NARROW_MOMENTUM,0.55,"{""core"": 0.3014405140568121, ""attack"": 0.08216760320090043, ""balanced"": 0.054807366192147655, ""defensive"": 0.11158451655013979}","{""core"": 48.099709776392984, ""attack"": 48.047867005937945, ""balanced"": 48.099709776392984, ""defensive"": 49.86256820598818}"
2025-10-21,2025-10-22,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11445224559912881, ""attack"": 0.0, ""balanced"": 0.08047423518688744, ""defensive"": 0.3550735192139838}","{""core"": 48.27718045685444, ""attack"": 48.32252768335137, ""balanced"": 48.27718045685444, ""defensive"": 50.06726206947534}"
2025-10-22,2025-10-23,RISK_OFF,NO_EDGE,0.35,"{""core"": 0.07344318157468022, ""attack"": 0.0, ""balanced"": 0.05114793002522372, ""defensive"": 0.22540888840009604}","{""core"": 48.394571761202265, ""attack"": 48.32252768335137, ""balanced"": 48.394571761202265, ""defensive"": 50.06726206947534}"
2025-10-23,2025-10-24,RISK_OFF,NO_EDGE,0.35,"{""core"": 0.07288844963236163, ""attack"": 0.0, ""balanced"": 0.05124969114775427, ""defensive"": 0.22586185921988405}","{""core"": 48.27718045685444, ""attack"": 48.087745074655714, ""balanced"": 48.27718045685444, ""defensive"": 49.949870765127514}"
2025-10-24,2025-10-27,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11446944284937474, ""attack"": 0.0, ""balanced"": 0.07971979055581453, ""defensive"": 0.35581076659481076}","{""core"": 47.15641032277604, ""attack"": 47.11207311319204, ""balanced"": 47.15641032277604, ""defensive"": 50.06963118672266}"
2025-10-27,2025-10-28,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.1123085778914234, ""attack"": 0.0, ""balanced"": 0.07955190933975824, ""defensive"": 0.35813951276881845}","{""core"": 47.15029139982221, ""attack"": 47.02092694043704, ""balanced"": 47.15029139982221, ""defensive"": 50.930782610660216}"
2025-10-28,2025-10-29,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11300205782590575, ""attack"": 0.0, ""balanced"": 0.07955290148397602, ""defensive"": 0.3574450406901183}","{""core"": 47.20705393738527, ""attack"": 47.17145351627413, ""balanced"": 47.20705393738527, ""defensive"": 50.79266665575782}"
2025-10-29,2025-10-30,NEUTRAL,NARROW_MOMENTUM,0.55,"{""core"": 0.3004124907879666, ""attack"": 0.08187127348201374, ""balanced"": 0.054620452870539384, ""defensive"": 0.1130957828594803}","{""core"": 46.94413540883245, ""attack"": 46.87384371498976, ""balanced"": 46.94413540883245, ""defensive"": 50.36508589267854}"
2025-10-30,2025-10-31,NEUTRAL,NARROW_MOMENTUM,0.55,"{""core"": 0.3005836080750271, ""attack"": 0.08192844725066185, ""balanced"": 0.05465156510455038, ""defensive"": 0.1128363795697607}","{""core"": 46.82898379535967, ""attack"": 46.771224221875606, ""balanced"": 46.82898379535967, ""defensive"": 49.95900344286487}"
2025-10-31,2025-11-03,NEUTRAL,NARROW_MOMENTUM,0.55,"{""core"": 0.3077013504004, ""attack"": 0.0816444116035794, ""balanced"": 0.05244909381825, ""defensive"": 0.10820514417777069}","{""core"": 47.0798173273633, ""attack"": 46.87078664706731, ""balanced"": 47.0798173273633, ""defensive"": 50.1402966756679}"
2025-11-03,2025-11-04,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11384870252630352, ""attack"": 0.0, ""balanced"": 0.08014893525308173, ""defensive"": 0.3560023622206148}","{""core"": 47.17861124086282, ""attack"": 47.02202708225718, ""balanced"": 47.17861124086282, ""defensive"": 49.61017731405449}"
2025-11-04,2025-11-05,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.1140077180453313, ""attack"": 0.0, ""balanced"": 0.08016167675062356, ""defensive"": 0.35583060520404525}","{""core"": 47.19119754478656, ""attack"": 47.03076409714461, ""balanced"": 47.19119754478656, ""defensive"": 49.55918716559461}"
2025-11-05,2025-11-06,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11334217844905228, ""attack"": 0.0, ""balanced"": 0.0802840430680787, ""defensive"": 0.35637377848286905}","{""core"": 47.19119754478656, ""attack"": 47.03076409714461, ""balanced"": 47.19119754478656, ""defensive"": 49.55918716559461}"
2025-11-06,2025-11-07,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.1140077180453313, ""attack"": 0.0, ""balanced"": 0.08016167675062356, ""defensive"": 0.35583060520404525}","{""core"": 47.19119754478656, ""attack"": 47.03076409714461, ""balanced"": 47.19119754478656, ""defensive"": 49.55918716559461}"
2025-11-07,2025-11-10,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11458620855585999, ""attack"": 0.0, ""balanced"": 0.07980110952997392, ""defensive"": 0.3556126819141661}","{""core"": 46.34449810688073, ""attack"": 46.62687030143718, ""balanced"": 46.34449810688073, ""defensive"": 49.077064779001496}"
2025-11-10,2025-11-11,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.1148786941984353, ""attack"": 0.0, ""balanced"": 0.08000480488819602, ""defensive"": 0.35511650091336877}","{""core"": 46.6619369389058, ""attack"": 46.94349573005829, ""balanced"": 46.6619369389058, ""defensive"": 49.01207865978329}"
2025-11-11,2025-11-12,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11493920307418996, ""attack"": 0.0, ""balanced"": 0.08004694499809659, ""defensive"": 0.3550138519277135}","{""core"": 46.336591328602566, ""attack"": 46.64644096036928, ""balanced"": 46.336591328602566, ""defensive"": 48.598365390842964}"
2025-11-12,2025-11-13,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11411291945960292, ""attack"": 0.0, ""balanced"": 0.0802356464950333, ""defensive"": 0.3556514340453638}","{""core"": 46.58031409165598, ""attack"": 46.337795535788516, ""balanced"": 46.58031409165598, ""defensive"": 48.79244270632071}"
2025-11-13,2025-11-14,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11401820822145699, ""attack"": 0.0, ""balanced"": 0.08076289749019869, ""defensive"": 0.35521889428834436}","{""core"": 47.42624726681673, ""attack"": 46.41529359801244, ""balanced"": 47.42624726681673, ""defensive"": 48.88673627729411}"
2025-11-14,2025-11-17,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.1157146043153671, ""attack"": 0.0, ""balanced"": 0.08196451139005169, ""defensive"": 0.3523208842945813}","{""core"": 49.23957418818989, ""attack"": 46.66316245266836, ""balanced"": 49.23957418818989, ""defensive"": 48.440843788188225}"
2025-11-17,2025-11-18,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11518432196409495, ""attack"": 0.0, ""balanced"": 0.08021765279642327, ""defensive"": 0.3545980252394818}","{""core"": 46.47492444948034, ""attack"": 46.23220951517914, ""balanced"": 46.47492444948034, ""defensive"": 48.414414271703905}"
2025-11-18,2025-11-19,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11348594587659887, ""attack"": 0.0, ""balanced"": 0.08038587832925752, ""defensive"": 0.3561281757941437}","{""core"": 46.47289496811129, ""attack"": 46.30665884784777, ""balanced"": 46.47289496811129, ""defensive"": 48.63017125159628}"
2025-11-19,2025-11-20,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.1136202106098929, ""attack"": 0.0, ""balanced"": 0.08048098251534079, ""defensive"": 0.3558988068747664}","{""core"": 46.47289496811129, ""attack"": 46.12665884784777, ""balanced"": 46.47289496811129, ""defensive"": 48.45017125159629}"
