strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
baseline_full_score,基础综合评分策略,2026-06-04,003033,征和工业,BUY,67.3,0,1000,1000,1000,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-06-04,600222,太龙药业,BUY,8.7,0,8000,8000,8000,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-06-04,600985,淮北矿业,BUY,16.58,0,4200,4200,4200,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-06-04,603011,合锻智能,BUY,32.26,0,2100,2100,2100,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-06-04,603319,美湖股份,BUY,43.94,0,1500,1500,1500,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-04,300394,天孚通信,BUY,480.45,0,100,100,100,0.0,0.2,0.2,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-04,603986,兆易创新,BUY,529.31,0,100,100,100,0.0,0.2,0.2,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-04,688008,澜起科技,BUY,259.67,0,200,200,200,0.0,0.2,0.2,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-04,300394,天孚通信,BUY,480.45,0,100,100,100,0.0,0.2,0.2,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-04,603986,兆易创新,BUY,529.31,0,100,100,100,0.0,0.2,0.2,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-04,688008,澜起科技,BUY,259.67,0,200,200,200,0.0,0.2,0.2,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-04,000519,中兵红箭,BUY,19.7,0,3500,3500,3500,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-04,000791,甘肃能源,BUY,9.78,0,7100,7100,7100,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-04,300720,海川智能,BUY,76.63,0,900,900,900,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-04,600522,中天科技,BUY,46.06,0,1500,1500,1500,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-04,603725,天安新材,BUY,11.67,0,5900,5900,5900,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-04,000519,中兵红箭,BUY,19.7,0,3500,3500,3500,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-04,000791,甘肃能源,BUY,9.78,0,7100,7100,7100,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-04,002475,立讯精密,BUY,74.59,0,900,900,900,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-04,600027,华电国际,BUY,5.44,0,12800,12800,12800,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-04,600522,中天科技,BUY,46.06,0,1500,1500,1500,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_hybrid_conservative_shadow,AShare保守混合策略（影子）,2026-06-04,002608,江苏国信,BUY,10.5,0,16600,16600,16600,0.0,0.5,0.5,trusted_strategy:ashare_hybrid_conservative_shadow; hold_gate=10d; max_positions=5,ashare_hybrid_conservative_shadow,10,0.7
ashare_hybrid_conservative_shadow,AShare保守混合策略（影子）,2026-06-04,601101,昊华能源,BUY,13.74,0,12700,12700,12700,0.0,0.5,0.5,trusted_strategy:ashare_hybrid_conservative_shadow; hold_gate=10d; max_positions=5,ashare_hybrid_conservative_shadow,10,0.7
