strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,adaptive_role,adaptive_underlying_strategy,adaptive_reason,adaptive_market_amount_ratio_20,adaptive_index_bucket,market_style_state,selected_strategy,style_reason,switch_reason,recent_champion_strategy,champion_score,weekly_switch_allowed,market_state,industry_state,adaptive_position_scale,adaptive_target_position_ratio,adaptive_position_reason,target_position_ratio,strategy_source,route_reason,risk_veto_reason,adaptive_version,ashare_release_tier,ashare_weight_profile,ashare_supplement_limit,ashare_weight_cache_key,dual_intersection_count,dual_union_count,ashare_weighted_hit_count,ashare_supplement_count,ashare_weekly_penalty_count,ashare_risk_veto_filtered_count,ashare_industry_concentration_triggered,ashare_available,ashare_candidate_count,ashare_risk_veto_ratio,ashare_market_regime,ashare_governance_hint,ashare_route_cache_hit,ashare_weekly_unconfirmed_count
adaptive_market_style,2023-01-05,2023-01-04,153047.83088749996,345132.25,498180.08088749996,0.996360161775,5,0.6927861294356698,0,0.0,5,5,500000.0,5,0.7,0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.0567738881358764,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,Chenyiyun2087,adaptive_v22_ashare_weighted_enhancement,,v2.2,production_stage1,prod_stage1,2,v2.2|prod_stage1|production_stage1|limit2|top5|baseline_full_liquidity_detail_vol_position|20230104,0,5,0,0,0,0,0,0,0,,,,1,
adaptive_market_style,2023-01-06,2023-01-05,153047.83088749996,346785.05,499832.88088749995,0.9996657617749999,5,0.6938019951473595,5,343783.77999999997,5,0,496831.61088749993,5,0.7,4,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.1450144836931995,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,Chenyiyun2087,adaptive_v22_ashare_weighted_enhancement,,v2.2,production_stage1,prod_stage1,2,v2.2|prod_stage1|production_stage1|limit2|top5|baseline_full_liquidity_detail_vol_position|20230105,0,5,0,0,0,0,0,0,0,,,,1,
adaptive_market_style,2023-01-09,2023-01-06,153047.83088749996,355174.84,508222.6708875,1.016445341775,5,0.6988567420256256,5,349859.76,5,0,502907.5908875,5,0.7,4,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.1393120933167395,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,Chenyiyun2087,adaptive_v22_ashare_weighted_enhancement,,v2.2,production_stage1,prod_stage1,2,v2.2|prod_stage1|production_stage1|limit2|top5|baseline_full_liquidity_detail_vol_position|20230106,0,5,0,0,0,0,0,0,0,,,,1,
adaptive_market_style,2023-01-10,2023-01-09,153047.83088749996,357692.17,510740.00088749995,1.0214800017749999,5,0.7003410137808814,5,357039.33999999997,5,0,510087.17088749993,5,0.7,4,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.1135813776737984,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,Chenyiyun2087,adaptive_v22_ashare_weighted_enhancement,,v2.2,production_stage1,prod_stage1,2,v2.2|prod_stage1|production_stage1|limit2|top5|baseline_full_liquidity_detail_vol_position|20230109,0,5,0,0,0,0,0,0,0,,,,1,
adaptive_market_style,2023-01-11,2023-01-10,153047.83088749996,367615.06,520662.89088749996,1.041325781775,5,0.7060519703514474,5,360394.93,5,0,513442.76088749996,5,0.7,4,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.0434940477903671,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,Chenyiyun2087,adaptive_v22_ashare_weighted_enhancement,,v2.2,production_stage1,prod_stage1,2,v2.2|prod_stage1|production_stage1|limit2|top5|baseline_full_liquidity_detail_vol_position|20230110,0,5,0,0,0,0,0,0,0,,,,1,
adaptive_market_style,2023-01-12,2023-01-11,153047.83088749996,366597.34,519645.1708875,1.039290341775,5,0.7054762760017376,5,370532.32000000007,5,0,523580.1508875,5,0.7,4,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.0417647374981975,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,Chenyiyun2087,adaptive_v22_ashare_weighted_enhancement,,v2.2,production_stage1,prod_stage1,2,v2.2|prod_stage1|production_stage1|limit2|top5|baseline_full_liquidity_detail_vol_position|20230111,0,5,0,0,0,0,0,0,0,,,,1,
adaptive_market_style,2023-01-13,2023-01-12,153047.83088749996,361461.33999999997,514509.17088749993,1.0290183417749998,5,0.7025362431859069,5,358816.41,5,0,511864.24088749994,5,0.7,3,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.9647761002906378,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,Chenyiyun2087,adaptive_v22_ashare_weighted_enhancement,,v2.2,production_stage1,prod_stage1,2,v2.2|prod_stage1|production_stage1|limit2|top5|baseline_full_liquidity_detail_vol_position|20230112,0,5,0,0,0,0,0,0,0,,,,1,
adaptive_market_style,2023-01-16,2023-01-13,153047.83088749996,359348.68,512396.51088749996,1.0247930217749999,5,0.7013097715626275,5,358046.05999999994,5,0,511093.8908874999,5,0.7,4,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.999244444389779,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,Chenyiyun2087,adaptive_v22_ashare_weighted_enhancement,,v2.2,production_stage1,prod_stage1,2,v2.2|prod_stage1|production_stage1|limit2|top5|baseline_full_liquidity_detail_vol_position|20230113,0,5,0,0,0,0,0,0,0,,,,1,
adaptive_market_style,2023-01-17,2023-01-16,153047.83088749996,352581.6,505629.43088749994,1.0112588617749998,5,0.6973122576768037,5,358838.71,5,0,511886.5408875,5,0.8,4,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.2902436740862637,index_strong,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_strong,normal,0.8,0.8,recent_champion_strong_market_raise_to_80pct,0.8,Chenyiyun2087,adaptive_v22_ashare_weighted_enhancement,,v2.2,production_stage1,prod_stage1,2,v2.2|prod_stage1|production_stage1|limit2|top5|baseline_full_liquidity_detail_vol_position|20230116,0,5,0,0,0,0,0,0,0,,,,1,
adaptive_market_style,2023-01-18,2023-01-17,153047.83088749996,349275.14,502322.9708875,1.004645941775,5,0.6953198643950199,5,351718.78,5,0,504766.6108875,5,0.7,4,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.9960424747697851,index_strong,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_strong,normal,0.7,0.7,recent_champion_default_70pct,0.7,Chenyiyun2087,adaptive_v22_ashare_weighted_enhancement,,v2.2,production_stage1,prod_stage1,2,v2.2|prod_stage1|production_stage1|limit2|top5|baseline_full_liquidity_detail_vol_position|20230117,0,5,0,0,0,0,0,0,0,,,,1,
