trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,order_status,submitted_at,filled_shares,filled_price,status_reason,note
2026-07-16,000938,紫光股份,BUY,38.59,0,100,100,100,0.0,0.05708544801229668,0.05708544801229668,planned,,,,,trusted_strategy:production_governed_vol_position; hold_gate=10d; max_positions=5
2026-07-16,300759,康龙化成,BUY,38.6,0,200,200,200,0.0,0.07842686517154354,0.07842686517154354,planned,,,,,trusted_strategy:production_governed_vol_position; hold_gate=10d; max_positions=5
2026-07-16,600900,长江电力,BUY,28.24,0,900,900,900,0.0,0.2571188393535979,0.2571188393535979,planned,,,,,trusted_strategy:production_governed_vol_position; hold_gate=10d; max_positions=5
