strategy,strategy_display_name,rank,signal_date,symbol,name,industry,rank_score,effective_weight,sort_col,adaptive_role,adaptive_underlying_strategy,adaptive_position_scale,adaptive_position_reason,market_style_state,selected_strategy,recent_champion_strategy,champion_score,weekly_switch_allowed,market_state,industry_state,adaptive_version,strategy_source,ashare_resolved_strategy,ashare_release_tier,ashare_weight_profile,ashare_supplement_limit,ashare_weight_cache_key,dual_intersection_count,dual_union_count,ashare_weighted_hit_count,ashare_supplement_count,ashare_weekly_penalty_count,ashare_risk_veto_filtered_count,ashare_weight_penalty,ashare_weight_reason,ashare_supplement,target_position_ratio,style_reason,switch_reason,route_reason,risk_veto_reason,base_strategy,hold_days,position_ratio
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,3,2026-07-16,000938,紫光股份,IT设备,92.09073945025165,0.10596786075955662,baseline_full_liquidity_detail_market_gate:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,4,2026-07-16,300759,康龙化成,化学制药,91.59118854045683,0.10471477340617771,baseline_full_liquidity_detail_market_gate:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,5,2026-07-16,600900,长江电力,水力发电,90.77982191250484,0.09039591996821042,baseline_full_liquidity_detail_market_gate:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,1,2026-07-16,300308,中际旭创,通信设备,30.0,0.09622363012083662,baseline_full_liquidity:s_liquidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2,2026-07-16,000725,京东方Ａ,元器件,29.99,0.10462622581720016,baseline_full_liquidity:s_liquidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,3,2026-07-16,603986,兆易创新,半导体,29.99,0.09726564630134227,baseline_full_liquidity:s_liquidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,4,2026-07-16,600584,长电科技,半导体,29.98,0.10757160258964162,baseline_full_liquidity:s_liquidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,5,2026-07-16,300502,新易盛,通信设备,29.98,0.09431289517097934,baseline_full_liquidity:s_liquidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,baseline_full_liquidity,10,0.5
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,1,2026-07-16,002156,通富微电,半导体,94.86710027100271,0.08476873169348718,baseline_full_liquidity_detail_vol_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2,2026-07-16,002384,东山精密,元器件,93.75016647309333,0.06554765475409953,baseline_full_liquidity_detail_vol_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,3,2026-07-16,000938,紫光股份,IT设备,92.09073945025165,0.07991962721721535,baseline_full_liquidity_detail_vol_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,4,2026-07-16,300759,康龙化成,化学制药,91.59118854045683,0.10979761124016095,baseline_full_liquidity_detail_vol_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,5,2026-07-16,600900,长江电力,水力发电,90.77982191250484,0.35996637509503704,baseline_full_liquidity_detail_vol_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,1,2026-07-16,002156,通富微电,半导体,94.86710027100271,0.12343426620977344,baseline_full_liquidity_detail_hist_mdd_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2,2026-07-16,002384,东山精密,元器件,93.75016647309333,0.15164407990373277,baseline_full_liquidity_detail_hist_mdd_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,3,2026-07-16,000938,紫光股份,IT设备,92.09073945025165,0.1742418200089405,baseline_full_liquidity_detail_hist_mdd_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,4,2026-07-16,300759,康龙化成,化学制药,91.59118854045683,0.10204278955349833,baseline_full_liquidity_detail_hist_mdd_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,5,2026-07-16,600900,长江电力,水力发电,90.77982191250484,0.148637044324055,baseline_full_liquidity_detail_hist_mdd_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_score,基础综合评分策略,1,2026-07-16,001270,*ST铖昌,半导体,100.0,0.14504413700607596,score,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2,2026-07-16,301176,逸豪新材,元器件,100.0,0.13322342914866123,score,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,3,2026-07-16,000711,ST京蓝,环境保护,100.0,0.14677992585681598,score,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,4,2026-07-16,002647,*ST仁东,多元金融,100.0,0.13360456345732907,score,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,5,2026-07-16,600228,*ST返利,互联网,100.0,0.14134794453111765,score,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,baseline_full_score,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,1,2026-07-16,000725,京东方Ａ,元器件,29.99,0.11833118293055742,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,attack_completed_history_drawdown_cap_70pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,21.212318122558887,1.0,index_weak,normal,,,,,,,,,,,,,,,,,0.35,defensive_low_liquidity_weak_index,defensive_low_liquidity_weak_index,,,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2,2026-07-16,603986,兆易创新,半导体,29.99,0.11000644336967855,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,attack_completed_history_drawdown_cap_70pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,21.212318122558887,1.0,index_weak,normal,,,,,,,,,,,,,,,,,0.35,defensive_low_liquidity_weak_index,defensive_low_liquidity_weak_index,,,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,3,2026-07-16,600584,长电科技,半导体,29.98,0.12166237369976404,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,attack_completed_history_drawdown_cap_70pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,21.212318122558887,1.0,index_weak,normal,,,,,,,,,,,,,,,,,0.35,defensive_low_liquidity_weak_index,defensive_low_liquidity_weak_index,,,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,1,2026-07-16,000725,京东方Ａ,元器件,29.99,0.11833118293055742,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,attack_completed_history_drawdown_cap_70pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,21.212318122558887,1.0,index_weak,normal,,,,,,,,,,,,,,,,,0.35,defensive_low_liquidity_weak_index,defensive_low_liquidity_weak_index,,,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2,2026-07-16,603986,兆易创新,半导体,29.99,0.11000644336967855,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,attack_completed_history_drawdown_cap_70pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,21.212318122558887,1.0,index_weak,normal,,,,,,,,,,,,,,,,,0.35,defensive_low_liquidity_weak_index,defensive_low_liquidity_weak_index,,,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,3,2026-07-16,600584,长电科技,半导体,29.98,0.12166237369976404,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,attack_completed_history_drawdown_cap_70pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,21.212318122558887,1.0,index_weak,normal,,,,,,,,,,,,,,,,,0.35,defensive_low_liquidity_weak_index,defensive_low_liquidity_weak_index,,,adaptive_market_style,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,1,2026-07-16,300308,中际旭创,通信设备,30.0,0.1,dual_system_route_score,,,,,dual_defensive,dual_system_adaptive_route,,,,,,v2.2,Chenyiyun2087,,production_stage1,prod_stage1,2.0,v2.2|prod_stage1|production_stage1|limit2|top5|dual_system_adaptive_route|20260716,0.0,5.0,0.0,0.0,0.0,,,,0.0,0.5,,,dual_defensive_weak_market_or_ashare_risk_off,,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2,2026-07-16,000725,京东方Ａ,元器件,29.99,0.1,dual_system_route_score,,,,,dual_defensive,dual_system_adaptive_route,,,,,,v2.2,Chenyiyun2087,,production_stage1,prod_stage1,2.0,v2.2|prod_stage1|production_stage1|limit2|top5|dual_system_adaptive_route|20260716,0.0,5.0,0.0,0.0,0.0,,,,0.0,0.5,,,dual_defensive_weak_market_or_ashare_risk_off,,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,3,2026-07-16,603986,兆易创新,半导体,29.99,0.1,dual_system_route_score,,,,,dual_defensive,dual_system_adaptive_route,,,,,,v2.2,Chenyiyun2087,,production_stage1,prod_stage1,2.0,v2.2|prod_stage1|production_stage1|limit2|top5|dual_system_adaptive_route|20260716,0.0,5.0,0.0,0.0,0.0,,,,0.0,0.5,,,dual_defensive_weak_market_or_ashare_risk_off,,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,4,2026-07-16,300502,新易盛,通信设备,29.98,0.1,dual_system_route_score,,,,,dual_defensive,dual_system_adaptive_route,,,,,,v2.2,Chenyiyun2087,,production_stage1,prod_stage1,2.0,v2.2|prod_stage1|production_stage1|limit2|top5|dual_system_adaptive_route|20260716,0.0,5.0,0.0,0.0,0.0,,,,0.0,0.5,,,dual_defensive_weak_market_or_ashare_risk_off,,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,5,2026-07-16,600584,长电科技,半导体,29.98,0.1,dual_system_route_score,,,,,dual_defensive,dual_system_adaptive_route,,,,,,v2.2,Chenyiyun2087,,production_stage1,prod_stage1,2.0,v2.2|prod_stage1|production_stage1|limit2|top5|dual_system_adaptive_route|20260716,0.0,5.0,0.0,0.0,0.0,,,,0.0,0.5,,,dual_defensive_weak_market_or_ashare_risk_off,,dual_system_adaptive_route,10,0.7
