factor,horizon,n_days,mean_ic,ic_std,raw_t,hac_std,hac_inflation,hac_t,p_one_sided,significant_1pct,significant_5pct
liquidity,5,377,0.014742688323352385,0.15311187320427078,1.869556047830926,0.27278739438260224,1.7816214293105084,1.0493565114753074,0.14734403526013135,False,False
liquidity,10,372,0.023682940114679925,0.14588121044773913,3.131177795392679,0.3733545937792503,2.559305565352447,1.2234482032087788,0.11096847117960747,False,False
liquidity,20,362,0.035027476946882664,0.14770384428526484,4.512023390173653,0.556119856014409,3.7651007575697095,1.1983805164051082,0.11577752078402442,False,False
liquidity,40,342,0.04186441263859984,0.15840342306698332,4.88757565648681,0.8693279878349573,5.488063142848552,0.8905829851567519,0.18689041754223143,False,False
market_beta,5,377,0.003910552005599998,0.1855596815112029,0.40919010445553283,0.33033178091702636,1.780191570856318,0.2298573429705106,0.40916380882668807,False,False
market_beta,10,372,0.0063908269224819455,0.18443123947819642,0.6683347472883336,0.47843733785049447,2.5941230954371783,0.25763416873465733,0.39841604880614134,False,False
market_beta,20,362,0.008508743952121312,0.19772250259379912,0.8187732424493274,0.6880646384602389,3.4799510902094846,0.2352829741638809,0.40706125895690115,False,False
market_beta,40,342,0.008642773082092383,0.1708225414509331,0.9356662936730228,0.6026029158089912,3.5276545512705786,0.26523750556471515,0.39549338507895765,False,False
momentum,5,377,-0.05142891145216561,0.13434833917694403,-7.432684615967729,0.22988042167240316,1.7110775100065674,-4.343862024075813,0.9999909837973356,False,False
momentum,10,372,-0.060781651084075274,0.1366640647572818,-8.578070859700796,0.31613316260210655,2.313213522249361,-3.7082918533865,0.9998797334775738,False,False
momentum,20,362,-0.07046926410947962,0.14319263803845186,-9.36339471283617,0.40250363068151696,2.810924054443579,-3.3310735300849847,0.9995227599163607,False,False
momentum,40,342,-0.07326720363111904,0.11781361790839014,-11.500776838206713,0.37930234580482597,3.219511908205425,-3.5722113059731817,0.9997975481165399,False,False
score,5,377,0.01899665639774619,0.15926271007766296,2.3159743278739864,0.2878626420142433,1.8074704485053015,1.2813345467358512,0.10043291715225207,False,False
score,10,372,0.022976813055005305,0.15585764459884938,2.843368527394396,0.4038109992275592,2.5908963289346434,1.0974458899185546,0.13657914581283176,False,False
score,20,362,0.026217293591225627,0.16219773096823423,3.0753699629762234,0.6034731751598597,3.7206018330678585,0.826578629199996,0.20451095852857099,False,False
score,40,342,0.02814452291709277,0.17061101070098528,3.050702714863045,0.9067854879387934,5.314929465648824,0.5739874319274015,0.2831773526272998,False,False
size,5,377,0.004067097266712768,0.1697843440638883,0.4651120517285755,0.2980291946542007,1.7553396710244087,0.26496982857861245,0.3955889510131547,False,False
size,10,372,0.008120410262930523,0.15877928817677392,0.9864057398279746,0.40285780813279937,2.537218882630871,0.3887743964782256,0.3488330321058563,False,False
size,20,362,0.014009704651681153,0.16333291686044932,1.6319601399441397,0.610638965191318,3.7386154421833067,0.43651457743701366,0.33136218965415937,False,False
size,40,342,0.011771466828445544,0.16828663421378576,1.293582142606252,0.8863396473599662,5.266845174608399,0.24560853788576242,0.4030665170569084,False,False
value,5,377,-0.013270696517569017,0.1507296173652737,-1.7094869744365664,0.2727877797382376,1.8097822080790646,-0.9445816003744708,0.8272604515305177,False,False
value,10,372,-0.022895546302231687,0.15066282095699757,-2.931003828527626,0.39105112371078693,2.595538310160815,-1.1292469916755055,0.8702383623141379,False,False
value,20,362,-0.03814365201186515,0.15052008425150062,-4.821499256878827,0.5227468925685689,3.472937815362386,-1.3883056689213207,0.9170499642988607,False,False
value,40,342,-0.04013727441801997,0.13181822856727024,-5.630999122488994,0.5277147149023058,4.003351589822036,-1.4065712181775454,0.9197673809078276,False,False
volatility,5,377,0.0627009082995656,0.19280809662298107,6.3142131726452435,0.35252497532978927,1.8283722597973684,3.453461481276807,0.0003082319431490354,True,True
volatility,10,372,0.07159175687688343,0.19765910695767572,6.985824344885,0.5262692522940892,2.6625095114225017,2.623774418425524,0.004527546827991573,True,True
volatility,20,362,0.07057159222139613,0.20588795497095774,6.521586535865571,0.7143468601165103,3.4695903420735563,1.8796416558987847,0.030481072236764054,False,True
volatility,40,342,0.08078782354572722,0.1677112331252105,8.908340511029367,0.5721350459427471,3.4114294867511967,2.6113218947148864,0.004708868775359149,True,True
