strategy,trade_date,order_id,symbol,side,signal_date,execution_date,planned_shares,planned_price,planned_notional,planned_fee,filled_shares,filled_price,gross_amount,cost,order_status,reject_reason,remaining_shares,reason,cost_rate,lot_size,cash_after,open_weight_drift_bps,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,risk_event_triggered,risk_event_types,missing_cap_risk_label,missed_risk_event
vls_mom_contrarian_v1_frozen,2020-08-31,2020-08-28:000530:BUY,000530,BUY,2020-08-28,2020-08-31,11500,4.33,49795.0,37.34625,11500,3.9639599999999997,45585.53999999999,34.18915499999999,FILLED,,0,strict_t1_execution,0.00075,100,454380.270845,-88.28920000000018,0.09316455196303124,0.0,0.0,0.09316455196303124,44318.90100000007,0,0.08908848281687413,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-08-31,2020-08-28:000782:BUY,000782,BUY,2020-08-28,2020-08-31,12600,3.9380000000000006,49618.80000000001,37.21410000000001,12600,3.5835799999999995,45153.10799999999,33.864830999999995,FILLED,,0,strict_t1_execution,0.00075,100,409193.298014,-96.93784000000025,0.09316455196303124,0.0,0.0,0.09316455196303124,44318.90100000007,0,0.08908848281687413,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-08-31,2020-08-28:000980:BUY,000980,BUY,2020-08-28,2020-08-31,35700,1.3970000000000002,49872.90000000001,37.404675000000005,35700,1.2512499999999998,44669.62499999999,33.50221875,FILLED,,0,strict_t1_execution,0.00075,100,364490.17079525,-106.60750000000024,0.09316455196303124,0.0,0.0,0.09316455196303124,44318.90100000007,0,0.08908848281687413,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-08-31,2020-08-28:002086:BUY,002086,BUY,2020-08-28,2020-08-31,24100,2.068,49838.8,37.3791,24100,1.8618599999999998,44870.825999999994,33.653119499999995,FILLED,,0,strict_t1_execution,0.00075,100,319585.69167575,-102.58348000000014,0.09316455196303124,0.0,0.0,0.09316455196303124,44318.90100000007,0,0.08908848281687413,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-08-31,2020-08-28:002765:BUY,002765,BUY,2020-08-28,2020-08-31,9000,5.5200000000000005,49680.00000000001,37.260000000000005,9000,5.08508,45765.719999999994,34.32429,FILLED,,0,strict_t1_execution,0.00075,100,273785.64738575,-84.68560000000014,0.09316455196303124,0.0,0.0,0.09316455196303124,44318.90100000007,0,0.08908848281687413,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-08-31,2020-08-28:600215:BUY,600215,BUY,2020-08-28,2020-08-31,8700,5.7090000000000005,49668.3,37.251225000000005,8700,5.19519,45198.153,33.89861475,FILLED,,0,strict_t1_execution,0.00075,100,228553.59577100002,-96.0369400000001,0.09316455196303124,0.0,0.0,0.09316455196303124,44318.90100000007,0,0.08908848281687413,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-08-31,2020-08-28:600302:BUY,600302,BUY,2020-08-28,2020-08-31,10000,5.0,50000.0,37.5,10000,4.58458,45845.799999999996,34.38435,FILLED,,0,strict_t1_execution,0.00075,100,182673.41142100003,-83.08400000000007,0.09316455196303124,0.0,0.0,0.09316455196303124,44318.90100000007,0,0.08908848281687413,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-08-31,2020-08-28:600858:BUY,600858,BUY,2020-08-28,2020-08-31,7100,6.96,49416.0,37.062,7100,6.416409999999999,45556.51099999999,34.16738324999999,FILLED,,0,strict_t1_execution,0.00075,100,137082.73303775003,-88.86978000000018,0.09316455196303124,0.0,0.0,0.09316455196303124,44318.90100000007,0,0.08908848281687413,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-08-31,2020-08-28:601113:BUY,601113,BUY,2020-08-28,2020-08-31,14800,3.3660000000000005,49816.80000000001,37.36260000000001,14800,3.0730699999999995,45481.435999999994,34.111076999999995,FILLED,,0,strict_t1_execution,0.00075,100,91567.18596075004,-90.3712800000002,0.09316455196303124,0.0,0.0,0.09316455196303124,44318.90100000007,0,0.08908848281687413,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-08-31,2020-08-28:603518:BUY,603518,BUY,2020-08-28,2020-08-31,6500,7.656000000000001,49764.00000000001,37.32300000000001,6500,6.926919999999999,45024.979999999996,33.768735,FILLED,,0,strict_t1_execution,0.00075,100,46508.43722575004,-99.50040000000007,0.09316455196303124,0.0,0.0,0.09316455196303124,44318.90100000007,0,0.08908848281687413,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-10-09,2020-09-30:000980:SELL,000980,SELL,2020-09-30,2020-10-09,35700,1.42,50694.0,38.0205,35700,1.41858,50643.306,37.9824795,FILLED,,0,strict_t1_execution,0.00075,100,97113.76074625005,,0.48384461212740776,0.5,0.5,0.0,0.0,0,0.0,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-10-09,2020-09-30:002765:SELL,002765,SELL,2020-09-30,2020-10-09,9000,4.86,43740.0,32.805,9000,4.8551400000000005,43696.26,32.772195,FILLED,,0,strict_t1_execution,0.00075,100,140777.24855125006,,0.48384461212740776,0.5,0.5,0.0,0.0,0,0.0,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-10-09,2020-09-30:600858:SELL,600858,SELL,2020-09-30,2020-10-09,7100,6.97,49487.0,37.11525,7100,6.96303,49437.513,37.07813475,FILLED,,0,strict_t1_execution,0.00075,100,190177.68341650005,,0.48384461212740776,0.5,0.5,0.0,0.0,0,0.0,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-10-09,2020-09-30:601113:SELL,601113,SELL,2020-09-30,2020-10-09,14800,3.35,49580.0,37.185,14800,3.34665,49530.42,37.147815,FILLED,,0,strict_t1_execution,0.00075,100,239670.95560150006,,0.48384461212740776,0.5,0.5,0.0,0.0,0,0.0,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-10-13,2020-10-12:600302:SELL,600302,SELL,2020-10-12,2020-10-13,10000,4.67,46700.0,35.025,10000,4.66533,46653.3,34.989975,FILLED,,0,strict_t1_execution,0.00075,100,286289.26562650007,,0.05142012718527227,0.0,0.0,0.05142012718527227,25122.10300000006,0,0.08809243250464904,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-10-13,2020-10-12:002193:BUY,002193,BUY,2020-10-12,2020-10-13,7400,7.72,57128.0,42.846000000000004,7400,7.017009999999999,51925.873999999996,38.944405499999995,FILLED,,0,strict_t1_execution,0.00075,100,234324.44722100007,-105.20749178422481,0.05142012718527227,0.0,0.0,0.05142012718527227,25122.10300000006,0,0.08809243250464904,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-10-13,2020-10-12:002638:BUY,002638,BUY,2020-10-12,2020-10-13,34900,1.639,57201.1,42.900825,34900,1.4914899999999998,52053.00099999999,39.039750749999996,FILLED,,0,strict_t1_execution,0.00075,100,182232.40647025008,-102.69737226504373,0.05142012718527227,0.0,0.0,0.05142012718527227,25122.10300000006,0,0.08809243250464904,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-10-13,2020-10-12:002700:BUY,002700,BUY,2020-10-12,2020-10-13,14400,3.96,57024.0,42.768,14400,3.5835799999999995,51603.551999999996,38.702664,FILLED,,0,strict_t1_execution,0.00075,100,130590.15180625008,-111.57173182498384,0.05142012718527227,0.0,0.0,0.05142012718527227,25122.10300000006,0,0.08809243250464904,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-10-13,2020-10-12:002712:BUY,002712,BUY,2020-10-12,2020-10-13,7700,7.37,56749.0,42.56175,7700,6.786779999999999,52258.206,39.1936545,FILLED,,0,strict_t1_execution,0.00075,100,78292.75215175009,-98.6456045372311,0.05142012718527227,0.0,0.0,0.05142012718527227,25122.10300000006,0,0.08809243250464904,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-10-13,2020-10-12:600241:BUY,600241,BUY,2020-10-12,2020-10-13,13800,4.136,57076.8,42.8076,13800,3.7837799999999993,52216.16399999999,39.162122999999994,FILLED,,0,strict_t1_execution,0.00075,100,26037.426028750095,-99.47572280341724,0.05142012718527227,0.0,0.0,0.05142012718527227,25122.10300000006,0,0.08809243250464904,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-11-03,2020-11-02:600215:SELL,600215,SELL,2020-11-02,2020-11-03,8700,5.02,43673.99999999999,32.7555,8700,5.0149799999999995,43630.325999999994,32.7227445,FILLED,,0,strict_t1_execution,0.00075,100,69635.02928425008,,0.0139372440170072,0.0,0.0,0.0139372440170072,6229.080000000002,0,0.09000000000000002,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-11-03,2020-11-02:002494:BUY,002494,BUY,2020-11-02,2020-11-03,14300,4.84,69212.0,51.909,14300,4.4044,62982.92,47.23719,FILLED,,0,strict_t1_execution,0.00075,100,6604.87209425008,-138.11829020568294,0.0139372440170072,0.0,0.0,0.0139372440170072,6229.080000000002,0,0.09000000000000002,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-11-10,2020-11-09:002700:SELL,002700,SELL,2020-11-09,2020-11-10,14400,3.82,55008.0,41.256,14400,3.8161799999999997,54952.992,41.214744,FILLED,,0,strict_t1_execution,0.00075,100,61516.64935025008,,0.018827961936447302,0.0,0.0,0.018827961936447302,9250.241000000009,0,0.08660731021555772,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-11-10,2020-11-09:002712:SELL,002712,SELL,2020-11-09,2020-11-10,7700,5.9,45430.0,34.0725,7700,5.894100000000001,45384.57000000001,34.038427500000004,FILLED,,0,strict_t1_execution,0.00075,100,106867.18092275009,,0.018827961936447302,0.0,0.0,0.018827961936447302,9250.241000000009,0,0.08660731021555772,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-11-10,2020-11-09:000892:BUY,000892,BUY,2020-11-09,2020-11-10,14900,3.575,53267.5,39.950625,14900,3.29329,49070.021,36.80251575,FILLED,,0,strict_t1_execution,0.00075,100,57760.35740700009,-92.63748132265367,0.018827961936447302,0.0,0.0,0.018827961936447302,9250.241000000009,0,0.08660731021555772,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-11-10,2020-11-09:600721:BUY,600721,BUY,2020-11-09,2020-11-10,11700,4.5760000000000005,53539.200000000004,40.1544,11700,4.144139999999999,48486.437999999995,36.364828499999994,FILLED,,0,strict_t1_execution,0.00075,100,9237.554578500094,-104.52722606220003,0.018827961936447302,0.0,0.0,0.018827961936447302,9250.241000000009,0,0.08660731021555772,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-11-17,2020-11-16:000530:SELL,000530,SELL,2020-11-16,2020-11-17,11500,3.82,43930.0,32.9475,11500,3.8161799999999997,43886.07,32.9145525,FILLED,,0,strict_t1_execution,0.00075,100,53090.710026000095,,0.008594739114857135,0.0,0.0,0.008594739114857135,4924.128000000019,0,0.0917913385826775,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-11-17,2020-11-16:600561:BUY,600561,BUY,2020-11-16,2020-11-17,9600,5.588000000000001,53644.80000000001,40.23360000000001,9600,5.075069999999999,48720.67199999999,36.54050399999999,FILLED,,0,strict_t1_execution,0.00075,100,4333.497522000107,-105.86871163969059,0.008594739114857135,0.0,0.0,0.008594739114857135,4924.128000000019,0,0.0917913385826775,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-11-20,2020-11-19:000782:SELL,000782,SELL,2020-11-19,2020-11-20,12600,3.69,46494.0,34.8705,12600,3.6863099999999998,46447.505999999994,34.835629499999996,FILLED,,0,strict_t1_execution,0.00075,100,50746.1678925001,,0.010591216735808633,0.0,0.0,0.010591216735808633,4395.182000000015,0,0.08833027522935809,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-11-20,2020-11-19:600613:BUY,600613,BUY,2020-11-19,2020-11-20,8300,5.995000000000001,49758.50000000001,37.318875000000006,8300,5.465459999999999,45363.31799999999,34.022488499999994,FILLED,,0,strict_t1_execution,0.00075,100,5348.827404000112,-92.9293955976282,0.010591216735808633,0.0,0.0,0.010591216735808633,4395.182000000015,0,0.08833027522935809,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2020-12-10,2020-12-09:002638:SELL,002638,SELL,2020-12-09,2020-12-10,34900,1.74,60726.0,45.5445,34900,1.73826,60665.274,45.4989555,FILLED,,0,strict_t1_execution,0.00075,100,65968.60244850011,,0.01782110619019268,0.0,0.0,0.01782110619019268,9289.378000000012,0,0.08931578947368432,0,0,0,,0,0
