trade_date,governed_return,full_position_return,opportunity_cost,governor_position,risk_decision,target_position_ratio,risk_governor_reasons,prevented_loss,avoided_drawdown
2024-03-28,0.017911100810529934,0.016711112376021964,-0.0011999884345079703,0.8046972477133839,normal,0.7,normal_production_risk_budget,0.0011999884345079703,0.0011999884345079703
2024-03-29,0.017422754922686634,0.007544205420529915,-0.00987854950215672,0.8080416902986832,normal,0.7,normal_production_risk_budget,0.00987854950215672,0.00987854950215672
2024-04-02,-0.00667585191450093,-0.011051018572540872,-0.004375166658039942,0.6850392294667355,normal,0.7,normal_production_risk_budget,0.004375166658039942,0.004375166658039942
2024-04-03,-0.007109963897164007,-0.011523011136288175,-0.004413047239124168,0.6827838339787273,normal,0.7,normal_production_risk_budget,0.004413047239124168,0.004413047239124168
2024-04-09,-0.00440173224490048,-0.004909371574169041,-0.000507639329268561,0.6843159193147603,normal,0.7,normal_production_risk_budget,0.000507639329268561,0.000507639329268561
2024-04-17,0.010092015864082926,0.007644333000733861,-0.0024476828633490655,0.6618709732255027,normal,0.7,normal_production_risk_budget,0.0024476828633490655,0.0024476828633490655
2024-04-18,0.0020813662932452903,-0.0033171811261788475,-0.005398547419424138,0.7003446471718093,normal,0.7,normal_production_risk_budget,0.005398547419424138,0.005398547419424138
2024-04-22,-0.002701426176397681,-0.00584153689186806,-0.003140110715470379,0.6995846646981666,normal,0.7,normal_production_risk_budget,0.003140110715470379,0.003140110715470379
2024-04-23,-0.010883553722086603,-0.012386750890097331,-0.0015031971680107281,0.696279101988134,normal,0.7,normal_production_risk_budget,0.0015031971680107281,0.0015031971680107281
2024-04-24,0.004057696970176439,0.001963638424472558,-0.0020940585457038807,0.6975065288296004,normal,0.7,normal_production_risk_budget,0.0020940585457038807,0.0020940585457038807
2024-05-08,-0.0035707585272024556,-0.007222154797193792,-0.003651396269991336,0.6964834864317654,normal,0.7,normal_production_risk_budget,0.003651396269991336,0.003651396269991336
2024-05-09,0.01572381579485871,0.012128257016541744,-0.003595558778316965,0.7011820449137383,normal,0.7,normal_production_risk_budget,0.003595558778316965,0.003595558778316965
2024-05-10,-0.0021976487156052382,-0.022742342390279724,-0.020544693674674486,0.7005239016508467,normal,0.7,normal_production_risk_budget,0.020544693674674486,0.020544693674674486
2024-05-14,-0.001073423299529086,-0.010280556336491276,-0.00920713303696219,0.7038695139691404,normal,0.7,normal_production_risk_budget,0.00920713303696219,0.00920713303696219
2024-05-15,0.002411565461488463,-0.0018098482385449088,-0.004221413700033372,0.7045819339738689,normal,0.7,normal_production_risk_budget,0.004221413700033372,0.004221413700033372
2024-05-20,0.0029617193173325784,0.00013603543045048738,-0.002825683886882091,0.6943351817158915,normal,0.7,normal_production_risk_budget,0.002825683886882091,0.002825683886882091
2024-05-21,-0.01687439383513778,-0.02427403405560946,-0.007399640220471682,0.6956906991584548,normal,0.7,normal_production_risk_budget,0.007399640220471682,0.007399640220471682
2024-05-22,-0.006001876728844557,-0.006315790672986377,-0.0003139139441418193,0.6938532440684178,normal,0.7,normal_production_risk_budget,0.0003139139441418193,0.0003139139441418193
2024-05-23,-0.004869367900605326,-0.0137609938567953,-0.008891625956189975,0.6923552083953901,normal,0.7,normal_production_risk_budget,0.008891625956189975,0.008891625956189975
2024-05-28,-0.008506105456695723,-0.040658916925424116,-0.03215281146872839,0.6904106635533998,normal,0.7,normal_production_risk_budget,0.03215281146872839,0.03215281146872839
2024-05-29,0.008247259031078258,-0.0020590160038775895,-0.010306275034955847,0.692943041824766,normal,0.7,normal_production_risk_budget,0.010306275034955847,0.010306275034955847
2024-05-30,-0.020341106368436335,-0.028002782886978106,-0.007661676518541771,0.6865674775462062,normal,0.7,normal_production_risk_budget,0.007661676518541771,0.007661676518541771
2024-06-03,-0.007213402347600262,-0.018280511016092293,-0.011067108668492032,0.6948771266923762,normal,0.7,normal_production_risk_budget,0.011067108668492032,0.011067108668492032
2024-06-07,0.005730800012878179,-0.010826162276763807,-0.016556962289641985,0.7001597134795245,normal,0.7,normal_production_risk_budget,0.016556962289641985,0.016556962289641985
2024-06-12,0.01106490997350118,0.0010391632060609002,-0.01002574676744028,0.7017157759599786,normal,0.7,normal_production_risk_budget,0.01002574676744028,0.01002574676744028
2024-06-17,0.0032753500256483825,0.00208985438055187,-0.0011854956450965126,0.6958269875120975,normal,0.7,normal_production_risk_budget,0.0011854956450965126,0.0011854956450965126
