strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,adaptive_role,adaptive_underlying_strategy,adaptive_reason,adaptive_market_amount_ratio_20,adaptive_index_bucket,market_style_state,selected_strategy,style_reason,switch_reason,recent_champion_strategy,champion_score,weekly_switch_allowed,market_state,industry_state,adaptive_position_scale,adaptive_target_position_ratio,adaptive_position_reason,target_position_ratio,strategy_source,ashare_resolved_strategy,route_reason,ashare_available,ashare_candidate_count,ashare_risk_veto_ratio,ashare_market_regime,ashare_governance_hint,risk_veto_reason,dual_intersection_count,dual_union_count
adaptive_market_style,2026-03-04,2026-03-03,158605.10571999996,346676.1,505281.20571999997,1.01056241144,5,0.6861052738068977,0,0.0,5,5,500000.0,5.0,0.7,0.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.248317196065012,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,,,,,,,,,,,
adaptive_market_style,2026-03-05,2026-03-04,158605.10571999996,347483.82,506088.92571999994,1.01217785144,5,0.6866062510766138,5,351863.0,5,0,510468.10572,5.0,0.7,2.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.954117274880906,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,0.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,,,,,,,,,,,
adaptive_market_style,2026-03-06,2026-03-05,158605.10571999996,342822.68,501427.7857199999,1.0028555714399998,5,0.6836930257220211,5,345099.74,5,0,503704.84572,5.0,0.7,3.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.9752605813573314,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,0.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,,,,,,,,,,,
adaptive_market_style,2026-03-09,2026-03-06,158605.10571999996,332208.54000000004,490813.64572000003,0.98162729144,5,0.6768526973463952,5,335569.95999999996,5,0,494175.06571999996,5.0,0.7,3.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.9163660778147229,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,0.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,,,,,,,,,,,
adaptive_market_style,2026-03-10,2026-03-09,158605.10571999996,341183.62,499788.72572,0.99957745144,5,0.6826556951809746,5,336161.88,5,0,494766.98572,5.0,0.7,4.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.107119274217464,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,0.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,,,,,,,,,,,
adaptive_market_style,2026-03-11,2026-03-10,158605.10571999996,341254.64,499859.74572,0.99971949144,5,0.6827007834136662,5,341882.88,5,0,500487.98572,5.0,0.7,4.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.0058809391378283,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,,,,,,,,,,,
adaptive_market_style,2026-03-12,2026-03-11,158605.10571999996,334265.94,492871.04571999994,0.9857420914399999,5,0.6782016166352294,5,339553.98,5,0,498159.08572,5.0,0.7,5.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.0530900964961984,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,,,,,,,,,,,
adaptive_market_style,2026-03-13,2026-03-12,158605.10571999996,322879.36,481484.46572,0.96296893144,5,0.6705914374977273,5,330630.68,5,0,489235.7857199999,5.0,0.7,5.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.0257878254274666,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,,,,,,,,,,,
adaptive_market_style,2026-03-16,2026-03-13,158605.10571999996,322374.2,480979.30571999995,0.9619586114399999,5,0.6702454682897911,5,320167.58,5,0,478772.68571999995,5.0,0.7,5.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.003082221707231,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,,,,,,,,,,,
adaptive_market_style,2026-03-17,2026-03-16,158605.10571999996,312545.42,471150.5257199999,0.9423010514399999,5,0.6633663827974642,5,326291.14,5,0,484896.24572,5.0,0.7,5.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.9674341082448032,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,,,,,,,,,,,
