strategy,trade_date,industry,weight,market_value
production_governed_vol_position_v2,2024-12-20,通信设备,0.3694615781461203,167023.57
production_governed_vol_position_v2,2026-05-25,元器件,0.3681502761615743,171688.0
production_governed_vol_position_v2,2024-12-17,通信设备,0.3675064254882699,165254.46
production_governed_vol_position_v2,2026-05-22,元器件,0.366658647930997,162212.0
production_governed_vol_position_v2,2024-01-25,软件服务,0.3658849806653386,172040.4
production_governed_vol_position_v2,2024-01-19,软件服务,0.3654139835865683,170520.32
production_governed_vol_position_v2,2024-12-23,通信设备,0.3637192412466072,162510.32
production_governed_vol_position_v2,2026-05-21,元器件,0.36301112338619934,152599.0
production_governed_vol_position_v2,2024-04-16,银行,0.3629681195201074,184305.86
production_governed_vol_position_v2,2025-06-18,生物制药,0.3621732135546679,160428.0
production_governed_vol_position_v2,2024-12-19,通信设备,0.36193764325197003,162462.58
production_governed_vol_position_v2,2025-12-31,玻璃,0.3615723053613839,148994.0
production_governed_vol_position_v2,2024-12-25,通信设备,0.3615665978160277,160036.52000000002
production_governed_vol_position_v2,2024-01-05,电信运营,0.361365944241178,171475.52000000002
production_governed_vol_position_v2,2024-01-08,电信运营,0.3611212746879312,171719.84
production_governed_vol_position_v2,2024-01-09,电信运营,0.3607471550324091,170794.72
production_governed_vol_position_v2,2024-01-04,电信运营,0.3603811694239801,173116.0
production_governed_vol_position_v2,2024-12-24,通信设备,0.3595559778444713,159684.49
production_governed_vol_position_v2,2024-01-02,电信运营,0.359453610948409,172313.28
production_governed_vol_position_v2,2026-01-20,元器件,0.3589793070798815,155628.81
production_governed_vol_position_v2,2026-01-19,元器件,0.3589006418840236,156712.05
production_governed_vol_position_v2,2024-12-18,通信设备,0.3585522849118027,159885.66999999998
production_governed_vol_position_v2,2026-01-21,元器件,0.3583371891623223,154545.3
production_governed_vol_position_v2,2024-01-03,电信运营,0.3582797921407454,170864.64
production_governed_vol_position_v2,2024-04-15,银行,0.3579354535371809,182161.47999999998
production_governed_vol_position_v2,2024-01-10,电信运营,0.3579344722995745,168473.6
production_governed_vol_position_v2,2026-01-07,玻璃,0.3576299184331078,150675.0
production_governed_vol_position_v2,2026-01-06,玻璃,0.3568927089228643,151495.0
production_governed_vol_position_v2,2023-12-29,电信运营,0.3564479657557896,173622.24000000002
