fold_id,trade_date,phase,strategy_return,benchmark_return,model_config_sha,parameter_selected_at,market_beta,size,volatility,liquidity,industry,momentum,value
WF000,2023-06-01,TEST,-0.0003194079676946959,0.002191507771749368,ff9f015044cbc354df618965bae154f3967f3ef11c913d3084d42e20e07d9e32,2023-05-17,0.008062404061023,0.0002759771680511,-0.0134827456444574,-0.0079427751178592,0.0325699426169073,-0.0060907128834128,-0.0027151165198989
WF000,2023-06-02,TEST,0.005705430171931702,0.014438581921987215,ff9f015044cbc354df618965bae154f3967f3ef11c913d3084d42e20e07d9e32,2023-05-17,-0.0060318349144149,-0.000115543819787,0.0053523910837277,-0.001732345337535,0.0353824092640453,-0.0255604291347355,0.0076596316319935
WF000,2023-06-05,TEST,0.004745183011689802,-0.0045534097238163485,ff9f015044cbc354df618965bae154f3967f3ef11c913d3084d42e20e07d9e32,2023-05-17,0.001959690153831,0.0036413370340724,-0.0064230632401675,0.0079684698644298,0.0353644526122615,0.005940119632159,-0.0004700366948344
WF000,2023-06-06,TEST,-0.01213371926941953,-0.009387078547606897,ff9f015044cbc354df618965bae154f3967f3ef11c913d3084d42e20e07d9e32,2023-05-17,0.0016638089182956,-0.0058072432044947,0.0011257091297616,-0.0053221990982863,0.0313671331680202,-0.0102021559189772,0.0036553923804445
WF000,2023-06-07,TEST,-0.0034924635512750823,-0.004942310071613276,ff9f015044cbc354df618965bae154f3967f3ef11c913d3084d42e20e07d9e32,2023-05-17,-0.0006769093807393,0.0090183045740958,-0.0051164725859576,0.0040470131398614,0.031423539255016,0.0016926536146635,0.0017592083641304
WF000,2023-06-08,TEST,-0.0010401565273202573,0.008139918030935167,ff9f015044cbc354df618965bae154f3967f3ef11c913d3084d42e20e07d9e32,2023-05-17,-0.0015458189611728,-0.0024881869467655,0.0088020196075752,0.0018018759980696,0.0366748072024998,-0.0112590199814897,0.0116963783745255
WF000,2023-06-09,TEST,-0.008622746922966273,0.004323319088574751,ff9f015044cbc354df618965bae154f3967f3ef11c913d3084d42e20e07d9e32,2023-05-17,0.0119251061619699,-0.0076158455877279,-0.0163491826815251,-0.0211842653392123,0.0347683236416545,0.011259196738819,-0.0108136299734644
WF000,2023-06-12,TEST,0.009865654048130779,0.002014691297041127,ff9f015044cbc354df618965bae154f3967f3ef11c913d3084d42e20e07d9e32,2023-05-17,0.0052554404798134,0.0034333729003359,-0.0025819614350136,0.0080927672267418,0.0500105951344849,0.0024564050073727,-0.0089159820580896
WF000,2023-06-13,TEST,0.006590466541095408,0.005325889646818238,ff9f015044cbc354df618965bae154f3967f3ef11c913d3084d42e20e07d9e32,2023-05-17,0.0201366557553393,0.0011311145148808,-0.0055173076277637,-0.0048059694538202,0.034964167800331,0.0049694024992302,-0.0039520917642484
WF000,2023-06-14,TEST,0.00033289998147978395,-0.0002283837473342487,ff9f015044cbc354df618965bae154f3967f3ef11c913d3084d42e20e07d9e32,2023-05-17,0.006839618562661,-0.0013444586106257,-0.0005306781113828,-0.0033486077083795,0.0342823018100178,0.0026534057627347,-0.0066837994584138
