symbol,exit_date,net_pnl,industry
000002,2024-03-08,-5116.270705,全国地产
000055,2024-11-21,-13125.526212,其他建材
000059,2024-04-12,3126.396801,石油加工
000069,2024-03-01,1255.271567,全国地产
000099,2023-03-02,535.362044,空运
000402,2023-04-25,-1655.967917,全国地产
000404,2022-12-15,-2531.108572,家用电器
000417,2024-10-24,-7019.110938,百货
000419,2024-12-16,16211.596162,百货
000501,2024-06-19,-6369.280881,百货
000530,2022-06-10,-36.38317,机械基件
000570,2023-09-08,9342.811947,农用机械
000573,2024-10-21,-4496.476729,区域地产
000605,2024-11-13,24635.141339,水务
000619,2024-10-23,-9254.927943,其他建材
000623,2024-11-29,-4247.282509,中成药
000672,2024-07-31,-499.738667,水泥
000685,2024-07-16,-5854.301491,水务
000690,2024-03-13,651.528195,火力发电
000705,2023-03-03,1245.057081,医药商业
000709,2024-05-08,-2430.257547,普钢
000717,2022-07-04,-5187.170448,普钢
000719,2023-01-17,769.832014,出版业
000726,2024-12-24,-8606.915403,纺织
000731,2024-10-10,4441.781572,农药化肥
000778,2024-11-18,346.361216,钢加工
000789,2023-08-31,-1028.553658,水泥
000823,2023-06-27,-4640.117412,元器件
000850,2024-08-14,-4596.03547,纺织
000882,2024-09-27,1418.577535,其他商业
000910,2024-04-09,-9764.347587,家居用品
000949,2023-01-03,-3874.839642,化纤
000965,2024-08-26,-4860.994148,区域地产
000990,2024-10-30,3012.107287,化工原料
002029,2024-08-14,-3925.155551,服饰
002040,2023-05-18,1270.941215,港口
002042,2023-03-17,-3373.562704,纺织
002061,2023-03-30,-1334.295401,建筑工程
002067,2024-11-07,-13507.710201,造纸
002083,2024-04-16,2106.172757,纺织
002094,2022-12-05,1654.640174,日用化工
002133,2024-12-17,10274.432717,全国地产
002144,2024-12-03,5813.329668,纺织
002233,2024-07-17,-1499.839289,水泥
002272,2022-06-22,-971.546284,机械基件
002283,2024-09-25,-1436.415456,汽车配件
002298,2023-11-06,17540.378175,电气设备
002303,2024-08-20,3071.243312,造纸
002322,2023-10-11,2163.307561,软件服务
002381,2022-08-18,1656.382029,橡胶
002391,2024-12-26,-3273.659708,农药化肥
002392,2024-09-06,336.323237,其他建材
002393,2024-05-24,605.099764,化学制药
002394,2024-12-31,-23020.074034,纺织
002406,2023-07-11,7326.653633,汽车配件
002432,2023-10-25,-2426.608868,医疗保健
002440,2022-05-26,255.0034,染料涂料
002441,2022-03-10,3762.738196,电气设备
002443,2024-07-02,-5260.317835,钢加工
002448,2023-06-16,1026.351477,汽车配件
002479,2024-10-16,8325.766745,新型电力
002521,2023-09-20,-397.176811,造纸
002546,2022-11-17,-345.335033,电气设备
002551,2024-08-28,-2210.308678,医疗保健
002566,2023-07-28,1018.71275,中成药
002574,2024-12-30,-6650.573087,服饰
002582,2024-03-27,19207.009914,食品
002589,2024-09-03,-3480.198495,医药商业
002593,2023-07-18,3549.333253,钢加工
002614,2024-03-29,-4888.600394,家用电器
002666,2024-11-15,-80.229065,化工原料
