strategy,trade_date,order_id,symbol,side,signal_date,execution_date,planned_shares,planned_price,planned_notional,planned_fee,filled_shares,filled_price,gross_amount,cost,order_status,reject_reason,remaining_shares,reason,cost_rate,lot_size,cash_after,open_weight_drift_bps,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,risk_event_triggered,risk_event_types,missing_cap_risk_label,missed_risk_event
vls_mom_contrarian_v1,2022-02-09,2022-02-08:000635:BUY,000635,BUY,2022-02-08,2022-02-09,4600,10.648,48980.799999999996,36.7356,4600,9.74974,44848.804,33.636603,FILLED,,0,strict_t1_execution,0.00075,100,455117.559397,-103.02392000000007,0.09761098264300723,0.0,0.0,0.09761098264300723,43660.16519000003,0,0.08827485378910942,0,0,0,,0,0
vls_mom_contrarian_v1,2022-02-09,2022-02-08:000705:BUY,000705,BUY,2022-02-08,2022-02-09,5600,8.78911,49219.016,36.914262,5600,8.0084004,44847.042239999995,33.63528168,FILLED,,0,strict_t1_execution,0.00075,100,410236.88187532,-103.05915520000013,0.09761098264300723,0.0,0.0,0.09761098264300723,43660.16519000003,0,0.08827485378910942,0,0,0,,0,0
vls_mom_contrarian_v1,2022-02-09,2022-02-08:002094:BUY,002094,BUY,2022-02-08,2022-02-09,11500,4.33,49795.0,37.34625,11500,3.95395,45470.424999999996,34.10281875,FILLED,,0,strict_t1_execution,0.00075,100,364732.35405657,-90.59150000000015,0.09761098264300723,0.0,0.0,0.09761098264300723,43660.16519000003,0,0.08827485378910942,0,0,0,,0,0
vls_mom_contrarian_v1,2022-02-09,2022-02-08:002144:BUY,002144,BUY,2022-02-08,2022-02-09,4300,11.39,48977.0,36.73275,4300,10.358147799999998,44540.03553999999,33.40502665499999,FILLED,,0,strict_t1_execution,0.00075,100,320158.91348991496,-109.1992892000003,0.09761098264300723,0.0,0.0,0.09761098264300723,43660.16519000003,0,0.08827485378910942,0,0,0,,0,0
vls_mom_contrarian_v1,2022-02-09,2022-02-08:002363:BUY,002363,BUY,2022-02-08,2022-02-09,7500,6.658520000000001,49938.90000000001,37.454175000000006,7500,6.0703643,45527.732249999994,34.145799187499996,FILLED,,0,strict_t1_execution,0.00075,100,274597.0354407275,-89.44535500000018,0.09761098264300723,0.0,0.0,0.09761098264300723,43660.16519000003,0,0.08827485378910942,0,0,0,,0,0
vls_mom_contrarian_v1,2022-02-09,2022-02-08:002365:BUY,002365,BUY,2022-02-08,2022-02-09,4700,10.5,49350.0,37.0125,4700,9.568558999999999,44972.22729999999,33.729170475,FILLED,,0,strict_t1_execution,0.00075,100,229591.07897025248,-100.55545400000018,0.09761098264300723,0.0,0.0,0.09761098264300723,43660.16519000003,0,0.08827485378910942,0,0,0,,0,0
vls_mom_contrarian_v1,2022-02-09,2022-02-08:002394:BUY,002394,BUY,2022-02-08,2022-02-09,4900,10.15905,49779.345,37.334508750000005,4900,9.244735499999999,45299.203949999996,33.974402962499994,FILLED,,0,strict_t1_execution,0.00075,100,184257.90061729,-94.01592100000009,0.09761098264300723,0.0,0.0,0.09761098264300723,43660.16519000003,0,0.08827485378910942,0,0,0,,0,0
vls_mom_contrarian_v1,2022-02-09,2022-02-08:002403:BUY,002403,BUY,2022-02-08,2022-02-09,6600,7.53,49698.0,37.2735,6600,6.886279399999999,45449.444039999995,34.087083029999995,FILLED,,0,strict_t1_execution,0.00075,100,138774.36949426,-91.01111920000015,0.09761098264300723,0.0,0.0,0.09761098264300723,43660.16519000003,0,0.08827485378910942,0,0,0,,0,0
vls_mom_contrarian_v1,2022-02-09,2022-02-08:002521:BUY,002521,BUY,2022-02-08,2022-02-09,6700,7.38991,49512.397000000004,37.13429775,6700,6.724818099999999,45056.28126999999,33.79221095249999,FILLED,,0,strict_t1_execution,0.00075,100,93684.2960133075,-98.87437460000024,0.09761098264300723,0.0,0.0,0.09761098264300723,43660.16519000003,0,0.08827485378910942,0,0,0,,0,0
vls_mom_contrarian_v1,2022-02-09,2022-02-08:002566:BUY,002566,BUY,2022-02-08,2022-02-09,5300,9.31,49343.0,37.00725,5300,8.475867399999998,44922.09721999999,33.691572914999995,FILLED,,0,strict_t1_execution,0.00075,100,48728.50722039251,-101.55805560000023,0.09761098264300723,0.0,0.0,0.09761098264300723,43660.16519000003,0,0.08827485378910942,0,0,0,,0,0
