calmar_10d
5.3091
4.1479
2.6965
5.4737
4.7039
2.0908
3.7822
3.1049
4.4173
2.1594
2.6899
2.4487
4.0554
6.3511
2.7862
3.2697
7.5684
3.7827
2.5598
3.9683
2.7685
2.7877
3.0909
5.1588
2.5158
3.0405
4.6536
4.6591
5.6347
5.242
3.3113
3.0264
3.3497
1.2898
5.1873
5.2028
4.732
3.1412
1.0655
3.2412
3.9341
3.9226
1.2177
2.6127
6.176
4.1401
2.6469
4.0185
1.4058
3.9435
3.924
4.8345
3.3166
3.6732
3.138
4.0983
3.6354
4.5162
4.9654
4.1965
3.7248
3.0606
2.9008
1.4456
1.8529
6.2708
4.1865
4.8361
4.6027
5.3901
5.1276
4.7304
2.9123
2.3657
4.34
3.5487
3.5064
3.9737
4.9764
2.4442
3.0312
4.7431
3.4216
1.8086
3.6989
1.7376
4.4354
2.88
4.0006
3.7954
6.1002
2.719
4.2875
4.4559
3.8004
4.4916
4.0632
5.1425
3.201
5.7083
