calmar_5d
3.9458
3.5625
2.7431
4.6442
2.2341
2.6589
1.9745
2.5298
2.8025
4.4982
1.202
1.8008
3.1445
4.7927
4.3233
3.1683
3.7262
2.6352
3.8092
3.9247
2.0048
3.1935
0.5197
1.8397
2.1374
5.6214
2.7592
1.7338
4.2082
5.9814
1.5035
5.5323
5.0153
3.9204
2.5892
4.0612
5.9466
1.8377
4.0561
5.3395
5.783
1.7295
1.5727
3.4284
4.7383
4.1307
3.3995
4.6423
3.2191
0.7148
1.704
2.3885
2.6949
1.1941
5.9112
2.8581
5.4101
1.0916
2.1316
0.7672
5.344
3.5337
2.2161
2.5473
3.6827
4.2911
4.4318
2.2878
2.1805
4.3484
2.6141
1.607
3.7145
4.5223
1.1994
2.0457
2.4638
3.5446
4.6405
2.1295
3.7091
1.0426
3.9207
2.636
1.6869
4.6834
2.9582
2.5919
3.886
1.3244
7.4752
2.3645
4.387
2.3844
3.0174
2.0098
3.358
4.0225
3.3134
2.6719
