trade_date,nav,drawdown,daily_return
2023-11-30,1.007815854925,0.0,
2023-12-01,0.999938614925,-0.007816150104709596,-0.007816150104709596
2023-12-04,0.993209714925,-0.014492865862967608,-0.006729313079388066
2023-12-05,0.981617994925,-0.02599468927976889,-0.011670969208024018
2023-12-06,0.994052574925,-0.0136565424454691,0.01266743281427929
2023-12-07,0.984455114925,-0.023179571829358148,-0.009654881685432048
2023-12-08,0.993491154925,-0.014213608498018782,0.009178722181445886
2023-12-11,0.993943374925,-0.013764895573142644,0.0004551827137646569
2023-12-12,0.986914594925,-0.020739165689703798,-0.007071610090997771
2023-12-13,0.970386234925,-0.037139344273151464,-0.01674750792519797
2023-12-14,0.96886063044,-0.03865311732756871,-0.00157216212482425
2023-12-15,0.96609427044,-0.04139802353883881,-0.0028552713497541626
2023-12-18,0.9685488304400002,-0.03896249924339801,0.002540704437551833
2023-12-19,0.97086227044,-0.036667000528335714,0.0023885631031621557
2023-12-20,0.96904279044,-0.038472370022284985,-0.0018740866293788239
2023-12-21,0.96994147044,-0.037580659502343905,0.0009273893876162731
2023-12-22,0.96444659044,-0.043032925383206466,-0.005665166577017544
2023-12-25,0.9613105104400002,-0.046144684326742125,-0.003251688617167625
2023-12-26,0.96089491044,-0.04655706124854708,-0.0004323264912706737
2023-12-27,0.96476219044,-0.04271977293729323,0.0040246648806050445
2023-12-28,0.96775677221,-0.03974841487087055,0.0031039584673548948
2023-12-29,0.970901158935,-0.03662841362298985,0.0032491498021960386
2024-01-02,0.956617638935,-0.050801161481836554,-0.014711610825212995
2024-01-03,0.952939678935,-0.054450598015332696,-0.0038447545291916407
2024-01-04,0.957902438935,-0.04952632541558344,0.0052078427519635095
2024-01-05,0.947640378935,-0.05970880066624695,-0.010713053420564944
2024-01-08,0.949422718935,-0.05794028314264377,0.001880818968481579
2024-01-09,0.946089578935,-0.061247573838371094,-0.0035107017490995096
2024-01-10,0.942591818935,-0.064718207866311,-0.003697070634619437
2024-01-11,0.945271018935,-0.0620597857082279,0.00284237561389733
2024-01-12,0.943639533645,-0.06367861843647615,-0.001725944472346308
2024-01-15,0.94617615384,-0.061161670342631425,0.002688124124263558
2024-01-16,0.94600871384,-0.06132781180506397,-0.00017696493334828922
2024-01-17,0.94395967384,-0.06336096100586952,-0.0021659842769128357
2024-01-18,0.95369887384,-0.053697290849852086,0.01031738989482589
2024-01-19,0.94008169384,-0.06720886633604384,-0.01427828046516555
2024-01-22,0.92288145384,-0.08427571432811076,-0.018296537537861535
2024-01-23,0.9230308538400002,-0.08412747296112877,0.0001618842803465803
2024-01-24,0.92612467384,-0.08105764628110501,0.003351805616387482
2024-01-25,0.95195937384,-0.055423300607983395,0.02789548829628008
2024-01-26,0.9531937443950002,-0.05419850289422645,0.0012966630603372664
2024-01-29,0.941504705895,-0.06579689008259826,-0.01226302477196728
2024-01-30,0.933429205895,-0.07380976263321015,-0.008577227441814439
2024-01-31,0.929416025895,-0.07779181945478952,-0.0042993940779386675
2024-02-01,0.926706445895,-0.08048038600864849,-0.002915357519675754
2024-02-02,0.924255385895,-0.08291243744743271,-0.0026449152381072816
2024-02-05,0.917160845895,-0.08995195757934016,-0.007675952023942001
2024-02-06,0.933802585895,-0.07343927828512675,0.018144843485724982
2024-02-07,0.935907925895,-0.07135026570439429,0.0022545878880622094
2024-02-08,0.948298585895,-0.059055698259905975,0.013239186951163884
2024-02-19,0.947884570335,-0.05946650302942502,-0.0004365877648223604
2024-02-20,0.946606639595,-0.06073452310844529,-0.0013481923643384741
2024-02-21,0.936439159595,-0.0708231518498107,-0.010740976847944061
2024-02-22,0.941455119595,-0.06584609182888723,0.005356418458802192
2024-02-23,0.943495319595,-0.06382171407175041,0.0021670709070844563
2024-02-26,0.945931399595,-0.0614045264594546,0.0025819735926679854
2024-02-27,0.959121199595,-0.04831701653832765,0.013943717277645318
2024-02-28,0.942964199595,-0.06434871510810491,-0.016845629110087912
2024-02-29,0.953449239595,-0.053944989121098796,0.01111923443594498
2024-03-01,0.960350039595,-0.04709770648878353,0.007237721436466948
2024-03-04,0.979478488565,-0.02811760325214263,0.019918205009984646
2024-03-05,0.967714511005,-0.03979034833003714,-0.01201045015009461
2024-03-06,0.970798651005,-0.03673012657927954,0.0031870349828659883
2024-03-07,0.956418991005,-0.050998268849248074,-0.014812196107929942
2024-03-08,0.979420551005,-0.02817509149239683,0.024049668833771243
2024-03-11,0.994995791005,-0.012720641233565533,0.015902504786139193
2024-03-12,0.985709991005,-0.02193442761589126,-0.009332501789400371
2024-03-13,0.980774551005,-0.026831592088827017,-0.0050069899311541155
2024-03-14,0.975850671005,-0.031717286212349594,-0.005020399433238287
2024-03-15,0.981049631005,-0.026558645400544867,0.005327618409736612
2024-03-18,0.98485877553,-0.022779041709666714,0.003882723569344604
2024-03-19,0.982428286115,-0.025190682093297,-0.0024678557732219497
2024-03-20,0.980266106115,-0.027336093866126232,-0.0022008527549123302
2024-03-21,0.988830326115,-0.018838291456937717,0.008736627683621379
2024-03-22,0.977670526115,-0.029911544517468802,-0.01128585936865989
2024-03-25,0.996014786115,-0.01170954867630869,0.01876323312404149
2024-03-26,0.983473406115,-0.024153667250860544,-0.012591560059984963
2024-03-27,0.985335306115,-0.02230620673423822,0.0018931879483705671
2024-03-28,1.0029837461150002,-0.004794634641225648,0.017911100810529934
2024-03-29,1.020458486115,0.0,0.017422754922686634
2024-04-01,1.023923709295,0.0,0.003395751250197865
2024-04-02,1.01708814624,-0.00667585191450093,-0.00667585191450093
2024-04-03,1.0098566862400002,-0.01373835074556995,-0.007109963897164007
2024-04-08,1.01924418624,-0.004570187224419375,0.009295873491665496
2024-04-09,1.01475774624,-0.008951802728848879,-0.00440173224490048
2024-04-10,1.01927032624,-0.0045446579786729835,0.004446952996141729
2024-04-11,1.01331682624,-0.01035905601043563,-0.005840943120518305
2024-04-12,1.00912384624,-0.014454068130905995,-0.004137876616100877
2024-04-15,1.02061048624,-0.0032358104660757947,0.011382785217888935
2024-04-16,1.01861204624,-0.0051875574388812185,-0.0019580829581347103
2024-04-17,1.02889189517,0.0,0.010092015864082926
2024-04-18,1.03103339608,0.0,0.0020813662932452903
2024-04-19,1.03121085608,0.0,0.00017211857605636816
2024-04-22,1.02842511608,-0.002701426176397681,-0.002701426176397681
2024-04-23,1.0172321960800002,-0.013555578781567212,-0.010883553722086603
2024-04-24,1.02135981608,-0.00955288624234174,0.004057696970176439
2024-04-25,1.0236020760800002,-0.007378490979937369,0.002195367357026079
2024-04-26,1.02360619608,-0.007374495676769732,4.025001605789669e-06
2024-04-29,1.0230219560800002,-0.007941052939578919,-0.0005707663769887183
2024-04-30,1.0165370560800002,-0.01422967952042331,-0.006338964634589828
2024-05-06,1.0230234981950002,-0.007939557498573002,0.006380920475258511
2024-05-07,1.0149384150150005,-0.015779935761010888,-0.007903125582418014
2024-05-08,1.0113143150150004,-0.019294347948035973,-0.0035707585272024556
2024-05-09,1.027216035015,-0.0038739129261941008,0.01572381579485871
2024-05-10,1.024958575015,-0.006063048142032734,-0.0021976487156052382
2024-05-13,1.0376521550150002,0.0,0.012384481001892489
2024-05-14,1.0365383150150005,-0.001073423299529086,-0.001073423299529086
2024-05-15,1.0390379950150002,0.0,0.002411565461488463
2024-05-16,1.0353141950150002,-0.0035838920403927776,-0.0035838920403927776
2024-05-17,1.038905455015,-0.0001275603015827853,0.0034687634123937716
2024-05-20,1.0419824013700003,0.0,0.0029617193173325784
2024-05-21,1.0243995799600003,-0.01687439383513778,-0.01687439383513778
2024-05-22,1.0182512599600002,-0.022774992532309857,-0.006001876728844557
2024-05-23,1.01329301996,-0.027533460615341787,-0.004869367900605326
2024-05-24,1.00053171996,-0.039780596443376615,-0.012593889179759676
2024-05-27,1.01556699996,-0.025351101300049916,0.015027289690127343
2024-05-28,1.0069284799600002,-0.033641567615644075,-0.008506105456695723
2024-05-29,1.0152328799600003,-0.025671759306903463,0.008247259031078258
2024-05-30,0.99458191996,-0.04549067368861326,-0.020341106368436335
2024-05-31,0.99327995996,-0.04674017655765228,-0.0013090525515006002
2024-06-03,0.9861150319650002,-0.0536164232059444,-0.007213402347600262
2024-06-04,0.997153752545,-0.043022462534932915,0.011194151008937947
2024-06-05,0.9988200725450002,-0.04142328005564222,0.0016710762966565262
2024-06-06,1.002244012545,-0.038137293655585824,0.0034279847733493796
2024-06-07,1.007987672545,-0.03262505084568024,0.005730800012878179
2024-06-11,1.002157272545,-0.038220538823532935,-0.005784197722655926
2024-06-12,1.013246052545,-0.0275785356712529,0.01106490997350118
2024-06-13,1.007359712545,-0.03322770977655509,-0.005809388534221416
2024-06-14,0.990385752545,-0.04951777377157318,-0.01684994921736227
2024-06-17,0.9936296125450002,-0.046404611787517536,0.0032753500256483825
2024-06-18,0.99290336113,-0.04710160188451462,-0.0007309075794752484
2024-06-19,0.990692701485,-0.04922319207845016,-0.002226460027775601
2024-06-20,0.982772841485,-0.05682395384715855,-0.007994265010864088
2024-06-21,0.986630081485,-0.05312212549100925,0.003924854083443785
2024-06-24,0.979968081485,-0.05951570756230018,-0.006752277398610063
2024-06-25,0.977401061485,-0.0619793000343275,-0.0026194934799408376
2024-06-26,0.998842661485,-0.04140160124420533,0.02193736107409494
2024-06-27,0.991509881485,-0.04843893699033586,-0.00734127634185977
2024-06-28,0.993039401485,-0.04697104271689223,0.0015426170011632045
2024-07-01,0.995112241485,-0.04498171929139627,0.0020873693399277027
2024-07-02,0.991525647,-0.04842380668201274,-0.0036042109979952386
2024-07-03,0.9885150620950002,-0.05131309243294435,-0.0030363157161983345
2024-07-04,0.987123102095,-0.05264896912161976,-0.0014081323121674094
2024-07-05,0.9859194220950002,-0.05380415177961595,-0.0012193818556623937
2024-07-08,0.992846102095,-0.04715655390186613,0.007025604572512778
2024-07-09,0.998143222095,-0.042072859596630985,0.005335288106406821
2024-07-10,0.994093782095,-0.04595914404315882,-0.004056972897637512
2024-07-11,0.9935469420950002,-0.04648395137126804,-0.0005500889451771629
2024-07-12,0.9976485620950002,-0.042547589303533306,0.00412825990018284
2024-07-15,1.0018896220950002,-0.03847740539790889,0.004251056094436656
2024-07-16,1.00403945015,-0.036414195834893914,0.0021457733542586954
2024-07-17,0.9924476259150002,-0.04753897512076177,-0.011545188023506459
2024-07-18,0.9941697756350002,-0.045886212350742195,0.001735255015006043
2024-07-19,0.9789364756350002,-0.060505749091450345,-0.015322634396393808
