phase,scope,status,detail,evidence,evidence_sha256
PR-A,pr_a_equivalence,BLOCKED,replay_directory_missing; web_benchmark_evidence_missing,exports/economic_equivalence/20260727_pr_a/economic_equivalence_attestation.json,f3ab1f59b3e4a4c3a6b3cfbf83ba08a3b1123e97c5b2f66b0e35fbe789a1d6ea
PR-B,pr_b_formal_readiness,BLOCKED,BLOCKED,exports/formal_readiness/20260727_pr_b/formal_readiness_preflight.json,73297989666b2229dfb102ba36ad9c477763896abc0b15107c6cb3561bd618db
PR-C,pr_c_formal_run,BLOCKED,preflight_not_ready,exports/formal_runs/20260727_pr_c/formal_run_precheck.json,522055380698e8600f4f664bf59b9dd9368ae1709bd4ea666d28d462e5b86bb9
PR-D,pr_d_oos_robustness,BLOCKED,formal_run_not_verified,exports/formal_oos/20260727_pr_d/formal_oos_robustness.json,e06c5a847a2ca384c7a3ee59d91b78c267ac4d297f1c6d3580b30c983e35e98b
PR-E,pr_e_execution_capacity,BLOCKED,formal_run_not_verified,exports/execution_capacity/20260727_pr_e/formal_execution_capacity.json,aafb14b8b08cea213bd515d960e08215954facfaab12493299fcb5e9c063dd36
