signal_date,execution_date,strategy,rank,symbol,name,industry,rank_score,raw_effective_weight,adjusted_target_weight,locked,skipped_by_position_cap,adaptive_role,adaptive_underlying_strategy,adaptive_reason
2026-03-02,2026-03-03,baseline_full_dynamic_factor_industry_cap2,1,002378,章源钨业,小金属,99.1312446561622,0.2,0.2,0,0,,,
2026-03-02,2026-03-03,baseline_full_dynamic_factor_industry_cap2,2,002155,湖南黄金,黄金,99.08849395382921,0.2,0.2,0,0,,,
2026-03-02,2026-03-03,baseline_full_dynamic_factor_industry_cap2,3,601872,招商轮船,水运,99.06406498106753,0.2,0.2,0,0,,,
2026-03-02,2026-03-03,baseline_full_dynamic_factor_industry_cap2,4,000657,中钨高新,小金属,98.98467081959203,0.2,0.2,0,0,,,
2026-03-02,2026-03-03,baseline_full_dynamic_factor_industry_cap2,5,002353,杰瑞股份,化工机械,98.67930866007083,0.2,0.2,0,0,,,
2026-03-03,2026-03-04,baseline_full_dynamic_factor_industry_cap2,1,601872,招商轮船,水运,99.16971916971917,0.2,0.0,1,0,,,
2026-03-03,2026-03-04,baseline_full_dynamic_factor_industry_cap2,2,002384,东山精密,元器件,98.8537851037851,0.2,0.0,0,1,,,
2026-03-03,2026-03-04,baseline_full_dynamic_factor_industry_cap2,3,002491,通鼎互联,通信设备,98.47527472527473,0.2,0.0,0,1,,,
2026-03-03,2026-03-04,baseline_full_dynamic_factor_industry_cap2,4,601857,中国石油,石油开采,98.47527472527472,0.2,0.0,0,1,,,
2026-03-03,2026-03-04,baseline_full_dynamic_factor_industry_cap2,5,600938,中国海油,石油开采,98.43864468864467,0.2,0.0,0,1,,,
2026-03-04,2026-03-05,baseline_full_dynamic_factor_industry_cap2,1,000988,华工科技,专用机械,99.15003357138497,0.2,0.0,0,1,,,
2026-03-04,2026-03-05,baseline_full_dynamic_factor_industry_cap2,2,300164,通源石油,石油开采,99.14087773911979,0.2,0.0,0,1,,,
2026-03-04,2026-03-05,baseline_full_dynamic_factor_industry_cap2,3,002491,通鼎互联,通信设备,99.07068302508698,0.2,0.0,0,1,,,
2026-03-04,2026-03-05,baseline_full_dynamic_factor_industry_cap2,4,601857,中国石油,石油开采,98.78074833669046,0.2,0.0,0,1,,,
2026-03-04,2026-03-05,baseline_full_dynamic_factor_industry_cap2,5,300189,神农种业,种植业,98.5396447537081,0.2,0.0,0,1,,,
2026-03-05,2026-03-06,baseline_full_dynamic_factor_industry_cap2,1,000988,华工科技,专用机械,99.43396802148173,0.2,0.0,0,1,,,
2026-03-05,2026-03-06,baseline_full_dynamic_factor_industry_cap2,2,600759,洲际油气,石油开采,99.22342243378495,0.2,0.0,0,1,,,
2026-03-05,2026-03-06,baseline_full_dynamic_factor_industry_cap2,3,600550,保变电气,电气设备,98.61314536799705,0.2,0.0,0,1,,,
2026-03-05,2026-03-06,baseline_full_dynamic_factor_industry_cap2,4,600875,东方电气,电气设备,98.46973025753692,0.2,0.0,0,1,,,
2026-03-05,2026-03-06,baseline_full_dynamic_factor_industry_cap2,5,300296,利亚德,元器件,97.9174295129989,0.2,0.0,0,1,,,
2026-03-06,2026-03-09,baseline_full_dynamic_factor_industry_cap2,1,000988,华工科技,专用机械,99.52550958134992,0.2,0.0,0,1,,,
2026-03-06,2026-03-09,baseline_full_dynamic_factor_industry_cap2,2,600875,东方电气,电气设备,99.50414988404735,0.2,0.0,0,1,,,
2026-03-06,2026-03-09,baseline_full_dynamic_factor_industry_cap2,3,601179,中国西电,电气设备,99.10746979128523,0.2,0.0,0,1,,,
2026-03-06,2026-03-09,baseline_full_dynamic_factor_industry_cap2,4,001267,汇绿生态,建筑工程,98.41480532161602,0.2,0.0,0,1,,,
2026-03-06,2026-03-09,baseline_full_dynamic_factor_industry_cap2,5,002126,银轮股份,汽车配件,98.09135847674843,0.2,0.0,0,1,,,
2026-03-09,2026-03-10,baseline_full_dynamic_factor_industry_cap2,1,000988,华工科技,专用机械,99.28331808478192,0.2,0.0,0,1,,,
2026-03-09,2026-03-10,baseline_full_dynamic_factor_industry_cap2,2,601179,中国西电,电气设备,99.06831351021653,0.2,0.0,0,1,,,
2026-03-09,2026-03-10,baseline_full_dynamic_factor_industry_cap2,3,002261,拓维信息,软件服务,98.99512046355595,0.2,0.0,0,1,,,
2026-03-09,2026-03-10,baseline_full_dynamic_factor_industry_cap2,4,600673,东阳光,综合类,98.78164074412929,0.2,0.0,0,1,,,
2026-03-09,2026-03-10,baseline_full_dynamic_factor_industry_cap2,5,002506,协鑫集成,电气设备,98.66880146386092,0.2,0.0,0,1,,,
2026-03-10,2026-03-11,baseline_full_dynamic_factor_industry_cap2,1,000988,华工科技,专用机械,99.17475135761792,0.2,0.0,0,1,,,
2026-03-10,2026-03-11,baseline_full_dynamic_factor_industry_cap2,2,002384,东山精密,元器件,99.02526084568916,0.2,0.0,0,1,,,
2026-03-10,2026-03-11,baseline_full_dynamic_factor_industry_cap2,3,688158,优刻得-W,软件服务,98.8239062786015,0.2,0.0,0,1,,,
2026-03-10,2026-03-11,baseline_full_dynamic_factor_industry_cap2,4,002015,协鑫能科,新型电力,98.73848312892792,0.2,0.0,0,1,,,
2026-03-10,2026-03-11,baseline_full_dynamic_factor_industry_cap2,5,002506,协鑫集成,电气设备,98.50967112087375,0.2,0.0,0,1,,,
2026-03-11,2026-03-12,baseline_full_dynamic_factor_industry_cap2,1,000988,华工科技,专用机械,99.17215514087084,0.2,0.0,0,1,,,
2026-03-11,2026-03-12,baseline_full_dynamic_factor_industry_cap2,2,001267,汇绿生态,建筑工程,98.96786193438223,0.2,0.0,0,1,,,
2026-03-11,2026-03-12,baseline_full_dynamic_factor_industry_cap2,3,002015,协鑫能科,新型电力,98.90992804000487,0.2,0.0,0,1,,,
2026-03-11,2026-03-12,baseline_full_dynamic_factor_industry_cap2,4,002281,光迅科技,通信设备,98.55165264056592,0.2,0.0,0,1,,,
2026-03-11,2026-03-12,baseline_full_dynamic_factor_industry_cap2,5,601778,晶科科技,新型电力,98.05311623368702,0.2,0.0,0,1,,,
2026-03-12,2026-03-13,baseline_full_dynamic_factor_industry_cap2,1,601868,中国能建,建筑工程,99.4770703744359,0.2,0.0,0,1,,,
