strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-10,002384,东山精密,BUY,242.3,0,200,200,200,0.0,0.13438428145038286,0.13438428145038286,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-10,603986,兆易创新,BUY,612.0,0,100,100,100,0.0,0.13276676168402762,0.13276676168402762,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-10,688120,华海清科,BUY,324.6,0,200,200,200,0.0,0.14380473299767094,0.14380473299767094,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-10,688347,华虹公司,BUY,369.87,0,100,100,100,0.0,0.14508586307049148,0.14508586307049148,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-10,002384,东山精密,BUY,242.3,0,200,200,200,0.0,0.13438428145038286,0.13438428145038286,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-10,603986,兆易创新,BUY,612.0,0,100,100,100,0.0,0.13276676168402762,0.13276676168402762,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-10,688120,华海清科,BUY,324.6,0,200,200,200,0.0,0.14380473299767094,0.14380473299767094,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-10,688347,华虹公司,BUY,369.87,0,100,100,100,0.0,0.14508586307049148,0.14508586307049148,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-07-10,002384,东山精密,BUY,242.3,0,100,100,100,0.0,0.0959887724645592,0.0959887724645592,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-07-10,688120,华海清科,BUY,324.6,0,100,100,100,0.0,0.10271766642690781,0.10271766642690781,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-07-10,688347,华虹公司,BUY,369.87,0,100,100,100,0.0,0.10363275933606535,0.10363275933606535,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-07-10,000725,京东方Ａ,BUY,7.59,0,7000,7000,7000,0.0,0.10771935731610816,0.10771935731610816,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-07-10,002384,东山精密,BUY,242.3,0,200,200,200,0.0,0.10004200173625012,0.10004200173625012,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-10,002371,北方华创,BUY,801.0,0,100,100,100,0.0,0.18836110202295153,0.18836110202295153,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-10,002384,东山精密,BUY,242.3,0,200,200,200,0.0,0.13765140126427378,0.13765140126427378,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-10,688120,华海清科,BUY,324.6,0,100,100,100,0.0,0.11636244166268343,0.11636244166268343,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-10,688347,华虹公司,BUY,369.87,0,100,100,100,0.0,0.14274256480432523,0.14274256480432523,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-07-10,002384,东山精密,BUY,242.3,0,200,200,200,0.0,0.10993464434070704,0.10993464434070704,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-07-10,688120,华海清科,BUY,324.6,0,300,300,300,0.0,0.2533766209994704,0.2533766209994704,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
