strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,buffer_kept_count,band_reweight_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,risk_overlay_multiplier,risk_overlay_drawdown_from_peak,risk_overlay_triggered_rules,risk_overlay_halt_new_entries,corporate_action_status,ledger_eod_equity,ledger_reconciliation_error_bps,ledger_event_count,strict_ledger_frozen
vls_mom_contrarian_v1_frozen,2023-01-04,2023-01-03,50533.47173924998,449958.0,500491.47173925,1.0009829434785,10,0.8990323020617276,0.0,0.0,0.0,0.0,10.0,10.0,500000.0,10.0,1.0,0.0,0.10122597520699411,0.0,0.0,0.10122597520699411,46171.71900000004,0.0,0.09321943971892678,0.0,0.0,1.0,0.0,,0.0,NO_ACTION_CONFIRMED,500491.47173925,0.0,20,
vls_mom_contrarian_v1_frozen,2023-01-05,2023-01-04,50533.47173924998,450687.0,501220.47173925,1.0024409434785,10,0.8991791545068035,10.0,0.0,0.0,449958.0,10.0,0.0,500491.47173925,10.0,1.0,2.0,0.10032245620140504,0.0,0.0,0.10032245620140504,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,NO_ACTION_CONFIRMED,501220.47173925,0.0,20,
vls_mom_contrarian_v1_frozen,2023-01-06,2023-01-05,50533.47173924998,449312.0,499845.47173925,0.9996909434785,10,0.8989018114670221,10.0,0.0,0.0,450687.0,10.0,0.0,501220.47173925,10.0,1.0,2.0,0.10071133743836097,0.0,0.0,0.10071133743836097,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,NO_ACTION_CONFIRMED,499845.47173925,0.0,20,
vls_mom_contrarian_v1_frozen,2023-01-09,2023-01-06,50533.47173924998,450053.0,500586.47173925,1.0011729434785,10,0.8990514634491115,10.0,0.0,0.0,449312.0,10.0,0.0,499845.47173925,10.0,1.0,3.0,0.10120245929160622,0.0,0.0,0.10120245929160622,0.0,0.0,0.0,0.0,0.0,1.0,0.002743303750600427,,0.0,NO_ACTION_CONFIRMED,500586.47173925,0.0,20,
vls_mom_contrarian_v1_frozen,2023-01-10,2023-01-09,50533.47173924998,447437.0,497970.47173925,0.9959409434785,10,0.8985211481260065,10.0,0.0,0.0,450053.0,10.0,0.0,500586.47173925,10.0,1.0,3.0,0.10117064911215677,0.0,0.0,0.10117064911215677,0.0,0.0,0.0,0.0,0.0,1.0,0.0012649124202768515,,0.0,NO_ACTION_CONFIRMED,497970.47173925,0.0,20,
vls_mom_contrarian_v1_frozen,2023-01-11,2023-01-09,50533.47173924998,445681.0,496214.47173925,0.9924289434785,10,0.8981620355365124,,,,,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,496214.47173925,0.0,22,1.0
vls_mom_contrarian_v1_frozen,2023-01-12,2023-01-11,50533.47173924998,444589.0,495122.47173925,0.9902449434785,10,0.8979374303861877,10.0,0.0,0.0,445681.0,10.0,0.0,496214.47173925,10.0,1.0,3.0,0.10154186049935371,0.0,0.0,0.10154186049935371,0.0,0.0,0.0,0.0,0.0,1.0,0.009987620782185992,,0.0,NO_ACTION_CONFIRMED,495122.47173925,0.0,22,
vls_mom_contrarian_v1_frozen,2023-01-13,2023-01-12,50533.47173924998,448505.0,499038.47173925,0.9980769434785,10,0.8987383245962368,10.0,0.0,0.0,444589.0,10.0,0.0,495122.47173925,10.0,1.0,3.0,0.10173381438192125,0.0,0.0,0.10173381438192125,0.0,0.0,0.0,0.0,0.0,1.0,0.01216630274266284,,0.0,NO_ACTION_CONFIRMED,499038.47173925,0.0,22,
vls_mom_contrarian_v1_frozen,2023-01-16,2023-01-12,50533.47173924998,449953.0,500486.47173925,1.0009729434785,10,0.899031293366152,,,,,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,500486.47173925,0.0,24,1.0
vls_mom_contrarian_v1_frozen,2023-01-17,2023-01-16,50533.47173924998,453171.0,503704.47173925,1.0074089434785,10,0.899676348782924,10.0,0.0,0.0,449953.0,10.0,0.0,500486.47173925,10.0,1.0,5.0,0.10072458630276158,0.0,0.0,0.10072458630276158,0.0,0.0,0.0,0.0,0.0,1.0,0.001464425420320519,,0.0,NO_ACTION_CONFIRMED,503704.47173925,0.0,24,
