strategy,window,window_start,window_end,periods,total_return,avg_cycle_return,max_drawdown,annualized_volatility,win_rate,avg_gross_exposure
tiered_liquidity_then_bs_v2,3m,2026-03-02,2026-05-19,53,2.572749934825985,0.027791792277813903,-0.6674250698240205,0.42406570345153344,0.6037735849056604,1.0
tiered_liquidity_then_bs_v2,6m,2026-03-02,2026-05-19,53,2.572749934825985,0.027791792277813903,-0.6674250698240205,0.42406570345153344,0.6037735849056604,1.0
tiered_liquidity_then_bs_v2,1y,2026-03-02,2026-05-19,53,2.572749934825985,0.027791792277813903,-0.6674250698240205,0.42406570345153344,0.6037735849056604,1.0
tiered_liquidity_then_bs_v2,3y,2026-03-02,2026-05-19,53,2.572749934825985,0.027791792277813903,-0.6674250698240205,0.42406570345153344,0.6037735849056604,1.0
baseline_full_liquidity_detail_market_gate,3m,2026-03-02,2026-05-19,53,8.463587214542933,0.04650025375304866,-0.32793451937333773,0.41112735859647814,0.6226415094339622,0.9773584905660376
baseline_full_liquidity_detail_market_gate,6m,2026-03-02,2026-05-19,53,8.463587214542933,0.04650025375304866,-0.32793451937333773,0.41112735859647814,0.6226415094339622,0.9773584905660376
baseline_full_liquidity_detail_market_gate,1y,2026-03-02,2026-05-19,53,8.463587214542933,0.04650025375304866,-0.32793451937333773,0.41112735859647814,0.6226415094339622,0.9773584905660376
baseline_full_liquidity_detail_market_gate,3y,2026-03-02,2026-05-19,53,8.463587214542933,0.04650025375304866,-0.32793451937333773,0.41112735859647814,0.6226415094339622,0.9773584905660376
baseline_full_liquidity,3m,2026-03-02,2026-05-19,53,12.437788504328793,0.05249042445246118,-0.10206130807705516,0.34747360475400246,0.7547169811320755,1.0
baseline_full_liquidity,6m,2026-03-02,2026-05-19,53,12.437788504328793,0.05249042445246118,-0.10206130807705516,0.34747360475400246,0.7547169811320755,1.0
baseline_full_liquidity,1y,2026-03-02,2026-05-19,53,12.437788504328793,0.05249042445246118,-0.10206130807705516,0.34747360475400246,0.7547169811320755,1.0
baseline_full_liquidity,3y,2026-03-02,2026-05-19,53,12.437788504328793,0.05249042445246118,-0.10206130807705516,0.34747360475400246,0.7547169811320755,1.0
baseline_full_liquidity_detail_vol_position,3m,2026-03-02,2026-05-19,53,8.769170060043068,0.047059557386104026,-0.31895960942524715,0.40736912194774366,0.6415094339622641,0.21227025488030377
baseline_full_liquidity_detail_vol_position,6m,2026-03-02,2026-05-19,53,8.769170060043068,0.047059557386104026,-0.31895960942524715,0.40736912194774366,0.6415094339622641,0.21227025488030377
baseline_full_liquidity_detail_vol_position,1y,2026-03-02,2026-05-19,53,8.769170060043068,0.047059557386104026,-0.31895960942524715,0.40736912194774366,0.6415094339622641,0.21227025488030377
baseline_full_liquidity_detail_vol_position,3y,2026-03-02,2026-05-19,53,8.769170060043068,0.047059557386104026,-0.31895960942524715,0.40736912194774366,0.6415094339622641,0.21227025488030377
baseline_full_liquidity_detail_hist_mdd_position,3m,2026-03-02,2026-05-19,53,7.864709095882342,0.04535149391665423,-0.3496752392236724,0.41837612064726903,0.660377358490566,0.8231880995566951
baseline_full_liquidity_detail_hist_mdd_position,6m,2026-03-02,2026-05-19,53,7.864709095882342,0.04535149391665423,-0.3496752392236724,0.41837612064726903,0.660377358490566,0.8231880995566951
baseline_full_liquidity_detail_hist_mdd_position,1y,2026-03-02,2026-05-19,53,7.864709095882342,0.04535149391665423,-0.3496752392236724,0.41837612064726903,0.660377358490566,0.8231880995566951
baseline_full_liquidity_detail_hist_mdd_position,3y,2026-03-02,2026-05-19,53,7.864709095882342,0.04535149391665423,-0.3496752392236724,0.41837612064726903,0.660377358490566,0.8231880995566951
adaptive_market_style_event,3m,2026-03-02,2026-06-02,53,3.370165308803961,0.028993546308276757,-0.05187967485721179,0.20205306925212183,0.7358490566037735,0.5547169811320755
adaptive_market_style_event,6m,2026-03-02,2026-06-02,53,3.370165308803961,0.028993546308276757,-0.05187967485721179,0.20205306925212183,0.7358490566037735,0.5547169811320755
adaptive_market_style_event,1y,2026-03-02,2026-06-02,53,3.370165308803961,0.028993546308276757,-0.05187967485721179,0.20205306925212183,0.7358490566037735,0.5547169811320755
adaptive_market_style_event,3y,2026-03-02,2026-06-02,53,3.370165308803961,0.028993546308276757,-0.05187967485721179,0.20205306925212183,0.7358490566037735,0.5547169811320755
