signal_date,desired_role,active_role,selected_strategy,reason,switch_blocked,current_role_days_before,market_amount_ratio_20,index_bucket,market_bs_ratio,market_avg_score,market_liquidity_bucket,avg_vol_20,data_cutoff_date,completed_history_rule,attack_short_count,attack_short_avg_ret,industry_concentration_high,attack_drawdown_expanded,avg_s_liquidity,avg_relative_amount,avg_amount_ratio_5_20,avg_low_impact_cost,avg_amount_stability,median_hist_mdd_20,top_industry,top_industry_weight,industry_count,attack_count,attack_avg_ret,attack_win_rate,attack_max_drawdown,balanced_count,balanced_avg_ret,balanced_win_rate,balanced_max_drawdown,robust_count,robust_avg_ret,robust_win_rate,robust_max_drawdown,defensive_count,defensive_avg_ret,defensive_win_rate,defensive_max_drawdown,fallback_count,fallback_avg_ret,fallback_win_rate,fallback_max_drawdown,adaptive_position_scale,adaptive_position_reason,target_position_ratio,current_role_days_after
2026-03-02,fallback,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0,0,1.201198035417065,index_neutral,0.058446,43.243156834005134,high_liquidity,0.027145546730241114,2026-03-02,exit_date < signal_date,0,,0,0,15.002748259435691,50.009160864785635,50.009160864785635,49.990839135214365,50.009160864785635,-0.054560720555682785,,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0.5,fallback_data_or_history_cap_50pct,0.5,1
2026-03-03,fallback,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0,1,1.248317196065012,index_neutral,0.048352,40.9810641025641,high_liquidity,0.028015228045482045,2026-03-03,exit_date < signal_date,0,,0,0,15.002747252747254,50.00915750915751,50.00915750915751,49.99084249084249,50.00915750915751,-0.08849724851374058,,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0.5,fallback_data_or_history_cap_50pct,0.5,2
2026-03-04,fallback,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0,2,0.954117274880906,index_neutral,0.045596,39.12448635780993,normal_liquidity,0.02799632092393109,2026-03-04,exit_date < signal_date,0,,0,0,15.002746749679545,50.00915583226515,50.00915583226515,49.99084416773485,50.00915583226515,-0.09063136456211818,,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0.5,fallback_data_or_history_cap_50pct,0.5,3
2026-03-05,fallback,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0,3,0.9752605813573314,index_neutral,0.044306,39.31648297326986,normal_liquidity,0.028081512969603938,2026-03-05,exit_date < signal_date,0,,0,0,15.002746246796045,50.00915415598682,50.00915415598682,49.99084584401318,50.00915415598682,-0.07810756916555112,,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0.5,fallback_data_or_history_cap_50pct,0.5,4
2026-03-06,fallback,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0,4,0.9163660778147229,index_neutral,0.046503,39.85320761625778,normal_liquidity,0.028118115565393426,2026-03-06,exit_date < signal_date,0,,0,0,15.002746246796045,50.00915415598682,50.00915415598682,49.99084584401318,50.00915415598682,-0.06314319317847694,,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0.5,fallback_data_or_history_cap_50pct,0.5,5
2026-03-09,fallback,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0,5,1.107119274217464,index_neutral,0.045197,39.83363220494053,normal_liquidity,0.02794785820143215,2026-03-09,exit_date < signal_date,0,,0,0,15.00274473924977,50.00914913083257,50.00914913083257,49.99085086916743,50.00914913083257,-0.07025411061285514,,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0.5,fallback_data_or_history_cap_50pct,0.5,6
2026-03-10,fallback,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0,6,1.0058809391378283,index_neutral,0.048325,40.86597656965038,normal_liquidity,0.027416200825658977,2026-03-10,exit_date < signal_date,0,,0,0,15.00274574409665,50.009152480322165,50.009152480322165,49.990847519677835,50.009152480322165,-0.05449936628643848,,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0.5,fallback_data_or_history_cap_50pct,0.5,7
2026-03-11,fallback,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0,7,1.0530900964961984,index_neutral,0.050494,41.082202707647276,normal_liquidity,0.02699126383516461,2026-03-11,exit_date < signal_date,0,,0,0,15.002744237102085,50.009147457006954,50.009147457006954,49.990852542993046,50.009147457006954,-0.056113165862922976,,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0.5,fallback_data_or_history_cap_50pct,0.5,8
2026-03-12,fallback,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0,8,1.0257878254274666,index_neutral,0.049945,40.70522868642517,normal_liquidity,0.026977409818126345,2026-03-12,exit_date < signal_date,0,,0,0,15.002744237102085,50.009147457006954,50.009147457006954,49.990852542993046,50.009147457006954,-0.06551588029546662,,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0.5,fallback_data_or_history_cap_50pct,0.5,9
2026-03-13,fallback,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0,9,1.003082221707231,index_neutral,0.047941,39.94530283623055,normal_liquidity,0.026910309693351432,2026-03-13,exit_date < signal_date,0,,0,0,15.00274473924977,50.00914913083257,50.00914913083257,49.99085086916743,50.00914913083257,-0.07484567901234573,,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0.5,fallback_data_or_history_cap_50pct,0.5,10
2026-03-16,fallback,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0,10,0.9674341082448032,index_neutral,0.016232,40.18300734441438,normal_liquidity,0.027151671738160004,2026-03-16,exit_date < signal_date,0,,0,0,15.002899110939312,50.00966370313104,50.00966370313104,49.99033629686897,50.00966370313104,-0.0729494190020506,,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0.5,fallback_data_or_history_cap_50pct,0.5,11
2026-03-17,fallback,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0,11,0.9206168461736984,index_neutral,0.043757,38.74204870010985,normal_liquidity,0.02717342929291227,2026-03-17,exit_date < signal_date,1,0.006791875439391703,0,0,15.002746246796045,50.00915415598682,50.00915415598682,49.99084584401318,50.00915415598682,-0.09243391679816032,,,0,1,0.006791875439391703,1.0,0.0,1,-0.1194970349020586,0.0,0.0,1,-0.11705895413634844,0.0,0.0,1,-0.06642728136997396,0.0,0.0,1,-0.06642728136997396,0.0,0.0,0.5,fallback_data_or_history_cap_50pct,0.5,12
2026-03-18,fallback,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0,12,0.8540632456297291,index_neutral,0.044855,39.17284145001831,normal_liquidity,0.027340556170366872,2026-03-18,exit_date < signal_date,2,0.013743437208306664,0,0,15.002746246796045,50.00915415598682,50.00915415598682,49.99084584401318,50.00915415598682,-0.08167832297738986,,,0,2,0.013743437208306664,1.0,0.0,2,-0.10289273171328683,0.0,-0.08628842852451502,2,-0.09982448089139054,0.0,-0.08259000764643265,2,-0.06000829231302841,0.0,-0.0535893032560828,2,-0.06000829231302841,0.0,-0.0535893032560828,0.5,fallback_data_or_history_cap_50pct,0.5,13
2026-03-19,fallback,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0,13,0.8792104215421718,index_neutral,0.010802,37.70171548883193,normal_liquidity,0.027908510661852678,2026-03-19,exit_date < signal_date,3,-0.024440670285331412,0,0,15.002746246796045,50.00915415598682,50.00915415598682,49.99084584401318,50.00915415598682,-0.10399091000820376,,,0,3,-0.024440670285331412,0.6666666666666666,-0.10080888527260756,3,-0.10258470514617017,0.0,-0.17945836579557872,3,-0.09653366196964462,0.0,-0.16511289341219448,3,-0.04801313002136762,0.0,-0.07632474328844752,3,-0.04801313002136762,0.0,-0.07632474328844752,0.5,fallback_data_or_history_cap_50pct,0.5,14
2026-03-20,fallback,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0,14,0.9489858193694849,index_neutral,0.006956,36.69650741350907,normal_liquidity,0.02835129823197117,2026-03-20,exit_date < signal_date,4,-0.036846342520320784,0,0,15.00274574409665,50.009152480322165,50.009152480322165,49.990847519677835,50.009152480322165,-0.12702702702702706,,,0,4,-0.036846342520320784,0.5,-0.16740599981485038,4,-0.06289259185797585,0.25,-0.17945836579557872,4,-0.05456644299532093,0.25,-0.16511289341219448,4,-0.04297565194826588,0.0,-0.10206130807705516,4,-0.04297565194826588,0.0,-0.10206130807705516,0.5,fallback_data_or_history_cap_50pct,0.5,15
2026-03-23,fallback,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0,15,0.9996041703596412,index_weak,0.005124,35.94950777676121,normal_liquidity,0.03088573079420159,2026-03-23,exit_date < signal_date,5,-0.04906216695478978,0,0,15.00274473924977,50.00914913083257,50.00914913083257,49.99085086916743,50.00914913083257,-0.17603254499069154,,,0,5,-0.04906216695478978,0.4,-0.24893815418330656,5,-0.05391071691868195,0.2,-0.17945836579557872,5,-0.04521587514452729,0.2,-0.16511289341219448,5,-0.013820122508183114,0.2,-0.10206130807705516,5,-0.013820122508183114,0.2,-0.10206130807705516,0.5,fallback_data_or_history_cap_50pct,0.5,16
2026-03-24,fallback,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0,16,0.8580006594166897,index_weak,0.006407,35.595608639941425,normal_liquidity,0.0318405693087934,2026-03-24,exit_date < signal_date,6,-0.05541670713594923,0,0,15.00274574409665,50.009152480322165,50.009152480322165,49.990847519677835,50.009152480322165,-0.14609756097560977,,,0,6,-0.05541670713594923,0.3333333333333333,-0.31442279192280553,6,-0.04645429607854682,0.16666666666666666,-0.17945836579557872,6,-0.040275112978630186,0.16666666666666666,-0.16511289341219448,6,-0.008750505885453492,0.3333333333333333,-0.10206130807705516,6,-0.008750505885453492,0.3333333333333333,-0.10206130807705516,0.5,fallback_data_or_history_cap_50pct,0.5,17
2026-03-25,fallback,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0,17,0.9029406973698946,index_weak,0.007873,35.59879531307213,normal_liquidity,0.03206011899767198,2026-03-25,exit_date < signal_date,7,-0.04756319584177234,0,0,15.002746246796045,50.00915415598682,50.00915415598682,49.99084584401318,50.00915415598682,-0.12761864682039076,,,0,7,-0.04756319584177234,0.2857142857142857,-0.31472590485524965,7,-0.037653379238894655,0.2857142857142857,-0.17945836579557872,7,-0.03244544745922553,0.2857142857142857,-0.16511289341219448,7,-0.006669215859820757,0.42857142857142855,-0.10206130807705516,7,-0.006669215859820757,0.42857142857142855,-0.10206130807705516,0.5,fallback_data_or_history_cap_50pct,0.5,18
2026-03-26,fallback,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0,18,0.8158846535100447,index_weak,0.010255,35.04101446621498,normal_liquidity,0.032021230133602106,2026-03-26,exit_date < signal_date,8,-0.05206474391100811,0,0,15.002746749679545,50.00915583226515,50.00915583226515,49.99084416773485,50.00915583226515,-0.14011416709911773,,,0,8,-0.05206474391100811,0.25,-0.3719980850870819,8,-0.035343934999107714,0.25,-0.17945836579557872,8,-0.031236856089670327,0.25,-0.16511289341219448,8,-0.0014053282944434219,0.5,-0.10206130807705516,8,-0.0014053282944434219,0.5,-0.10206130807705516,0.5,fallback_data_or_history_cap_50pct,0.5,19
2026-03-27,defensive,defensive,baseline_full_liquidity,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration,0,19,0.7875732925572346,index_weak,0.010812,35.48065237309878,low_liquidity,0.03225609271727675,2026-03-27,exit_date < signal_date,9,-0.05124689388290251,0,0,15.002748763056621,50.00916254352208,50.00916254352208,49.99083745647792,50.00916254352208,-0.11309212648344436,,,0,9,-0.05124689388290251,0.2222222222222222,-0.40007234150878856,9,-0.03213669191250313,0.2222222222222222,-0.17945836579557872,9,-0.02974773258271713,0.2222222222222222,-0.16511289341219448,9,0.005532203975409301,0.5555555555555556,-0.10206130807705516,9,0.005532203975409301,0.5555555555555556,-0.10206130807705516,0.5,attack_completed_history_drawdown_cap_70pct,0.5,1
