trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,order_status,submitted_at,filled_shares,filled_price,status_reason,note
2026-07-07,000938,紫光股份,BUY,31.48,0,2100,2100,2100,0.0,0.13363958679693064,0.13363958679693064,planned,,,,,trusted_strategy:production_governed_vol_position; hold_gate=10d; max_positions=5
2026-07-07,002371,北方华创,BUY,806.39,0,100,100,100,0.0,0.162668855840925,0.162668855840925,planned,,,,,trusted_strategy:production_governed_vol_position; hold_gate=10d; max_positions=5
