sample_split,event_date,event_date_key,event_uid,symbol,ts_code,name,event_seq_for_symbol,buy_signal_description,sell_signal_description,total_b_points,total_s_points,buy_points_count,sell_points_count,process_time,score,base_score,penalty,s_trend,s_breakout,s_volume,s_rs,s_contraction,s_liquidity,opt_score,claude_score,bs_score,bs_entry_score,close_price,buy_point_close,price_change_ratio,is_limit_up,pool_type,is_self_selected,ret_1,max_ret_1,mdd_1,hit_1_5pct,hit_1_10pct,days_to_10pct_within_1,ret_3,max_ret_3,mdd_3,hit_3_5pct,hit_3_10pct,days_to_10pct_within_3,ret_5,max_ret_5,mdd_5,hit_5_5pct,hit_5_10pct,days_to_10pct_within_5,ret_10,max_ret_10,mdd_10,hit_10_5pct,hit_10_10pct,days_to_10pct_within_10,ret_20,max_ret_20,mdd_20,hit_20_5pct,hit_20_10pct,days_to_10pct_within_20
train,2026-01-22,20260122,20260122_688316_01,688316,688316.SH,青云科技-U,1,当天出现买点,当天无卖点,3,3,1,0,2026-01-23 00:38:16,60.73,60.73,0.0,100.0,93.1,99.66,94.25,9.43,10.34,3.4,,36.0,59.0,76.87,79.41,-3.2,1,WATCH,1,-0.010277,0.0,-0.010277,0.0,0.0,,0.066346,0.066346,-0.010277,1.0,0.0,,0.009236,0.078314,-0.010277,1.0,0.0,,-0.051125,0.078314,-0.059711,1.0,0.0,,0.081306,0.18863,-0.059711,1.0,1.0,15.0
train,2026-01-23,20260123,20260123_000039_01,000039,000039.SZ,中集集团,1,当天出现买点,当天无卖点,4,4,1,0,2026-01-24 15:33:45,28.2,28.2,0.0,0.0,45.52,21.95,23.45,28.51,19.45,2.75,,23.6,53.3,9.92,10.37,-4.34,0,,1,-0.011089,0.0,-0.011089,0.0,0.0,,-0.039315,0.0,-0.039315,0.0,0.0,,-0.02621,0.0,-0.039315,0.0,0.0,,0.106855,0.150202,-0.049395,1.0,1.0,8.0,0.38004,0.38004,-0.049395,1.0,1.0,8.0
train,2026-01-23,20260123,20260123_000723_01,000723,000723.SZ,美锦能源,1,当天出现买点,当天无卖点,3,3,1,0,2026-01-24 15:31:26,54.24,54.24,0.0,100.0,45.52,86.21,44.37,60.46,16.28,2.5,,32.07,75.0,4.98,4.98,0.0,0,,1,-0.006024,0.0,-0.006024,0.0,0.0,,0.008032,0.008032,-0.028112,0.0,0.0,,0.016064,0.016064,-0.028112,0.0,0.0,,-0.01004,0.038153,-0.064257,0.0,0.0,,0.062249,0.062249,-0.064257,1.0,0.0,
train,2026-01-23,20260123,20260123_000868_01,000868,000868.SZ,安凯客车,1,当天出现买点,当天无卖点,2,1,1,0,2026-01-24 15:32:31,39.85,39.85,0.0,100.0,45.52,21.95,21.61,35.86,2.48,1.85,,24.55,75.0,5.07,5.07,0.0,0,,1,-0.011834,0.0,-0.011834,0.0,0.0,,-0.033531,0.0,-0.033531,0.0,0.0,,-0.04142,0.0,-0.04142,0.0,0.0,,-0.031558,0.0,-0.053254,0.0,0.0,,-0.061144,0.0,-0.061144,0.0,0.0,
train,2026-01-23,20260123,20260123_002006_01,002006,002006.SZ,精工科技,1,当天出现买点,当天无卖点,2,3,1,0,2026-01-24 15:34:24,47.79,47.79,0.0,0.0,45.52,77.24,66.21,91.03,20.69,2.9,,35.58,75.0,23.58,23.58,0.0,0,,1,-0.041561,0.0,-0.041561,0.0,0.0,,-0.080153,0.0,-0.080153,0.0,0.0,,-0.126802,0.0,-0.126802,0.0,0.0,,-0.139949,0.0,-0.152672,0.0,0.0,,-0.14419,0.0,-0.152672,0.0,0.0,
train,2026-01-23,20260123,20260123_002007_01,002007,002007.SZ,华兰生物,1,当天出现买点,当天无卖点,1,2,1,0,2026-01-24 15:34:48,52.87,52.87,0.0,100.0,45.52,89.43,23.22,44.83,9.17,2.25,,27.94,75.0,15.61,15.61,0.0,0,,1,0.069827,0.069827,0.0,1.0,0.0,,0.012172,0.069827,0.0,1.0,0.0,,0.001281,0.069827,0.0,1.0,0.0,,-0.008328,0.069827,-0.0205,1.0,0.0,,-0.019218,0.069827,-0.0205,1.0,0.0,
train,2026-01-23,20260123,20260123_002074_01,002074,002074.SZ,国轩高科,1,当天出现买点,当天无卖点,4,2,1,0,2026-01-24 15:30:55,58.73,58.73,0.0,100.0,45.52,90.8,37.47,8.28,27.38,2.85,,32.76,75.0,41.51,41.51,0.0,0,,1,-0.027704,0.0,-0.027704,0.0,0.0,,-0.073476,0.0,-0.073476,0.0,0.0,,-0.08504,0.0,-0.092267,0.0,0.0,,-0.115876,0.0,-0.115876,0.0,0.0,,-0.10383,0.0,-0.115876,0.0,0.0,
train,2026-01-23,20260123,20260123_002195_01,002195,002195.SZ,岩山科技,1,当天出现买点,当天无卖点,3,2,1,0,2026-01-24 15:32:40,48.78,48.78,0.0,100.0,45.52,21.95,97.01,53.33,29.86,2.45,,38.99,75.0,10.51,10.51,0.0,0,,1,-0.050428,0.0,-0.050428,0.0,0.0,,-0.069458,0.0,-0.069458,0.0,0.0,,-0.065652,0.0,-0.069458,0.0,0.0,,-0.077069,0.0,-0.077069,0.0,0.0,,0.023787,0.053283,-0.077069,1.0,0.0,
train,2026-01-23,20260123,20260123_002677_01,002677,002677.SZ,浙江美大,1,当天出现买点,当天无卖点,3,2,1,0,2026-01-24 15:35:04,52.5,52.5,0.0,100.0,45.52,80.69,71.03,49.66,13.17,3.3,,38.5,77.94,9.62,9.53,0.94,0,,1,-0.043659,0.0,-0.043659,0.0,0.0,,-0.08316,0.0,-0.08316,0.0,0.0,,-0.065489,0.0,-0.08316,0.0,0.0,,-0.007277,0.0,-0.08316,0.0,0.0,,-0.054054,0.004158,-0.08316,0.0,0.0,
train,2026-01-23,20260123,20260123_300149_01,300149,300149.SZ,睿智医药,1,当天出现买点,当天无卖点,4,3,1,0,2026-01-24 15:34:17,57.71,57.71,0.0,100.0,45.52,93.33,75.86,68.28,14.48,2.85,,39.24,83.81,11.3,10.99,2.82,0,,1,-0.006195,0.0,-0.006195,0.0,0.0,,-0.051327,0.0,-0.051327,0.0,0.0,,-0.076106,0.0,-0.076106,0.0,0.0,,-0.039823,0.0,-0.076106,0.0,0.0,,-0.084071,0.0,-0.084071,0.0,0.0,
train,2026-01-23,20260123,20260123_300529_01,300529,300529.SZ,健帆生物,1,当天出现买点,当天无卖点,2,1,1,0,2026-01-24 15:31:47,51.32,51.32,0.0,100.0,45.52,84.14,31.26,44.14,5.24,2.35,,29.21,75.0,20.69,20.69,0.0,0,,1,0.01015,0.01015,0.0,0.0,0.0,,-0.013533,0.01015,-0.013533,0.0,0.0,,-0.032866,0.01015,-0.032866,0.0,0.0,,-0.0087,0.01015,-0.036249,0.0,0.0,,-0.064766,0.01015,-0.064766,0.0,0.0,
train,2026-01-23,20260123,20260123_300601_01,300601,300601.SZ,康泰生物,1,当天出现买点,当天无卖点,2,1,1,0,2026-01-24 15:32:04,52.75,52.75,0.0,100.0,45.52,91.49,39.08,41.15,9.38,2.85,,32.1,75.0,15.97,15.97,0.0,0,,1,0.075141,0.075141,0.0,1.0,0.0,,0.010645,0.075141,0.0,1.0,0.0,,-0.02129,0.075141,-0.02129,1.0,0.0,,-0.025047,0.075141,-0.045085,1.0,0.0,,-0.095805,0.075141,-0.095805,1.0,0.0,
train,2026-01-23,20260123,20260123_300741_01,300741,300741.SZ,华宝股份,1,当天出现买点,当天无卖点,4,2,1,0,2026-01-24 15:32:56,38.66,38.66,0.0,0.0,45.52,70.8,16.32,72.87,1.66,2.4,,24.54,68.2,18.92,19.18,-1.36,0,,1,-0.006342,0.0,-0.006342,0.0,0.0,,0.014799,0.014799,-0.021141,0.0,0.0,,0.020086,0.020086,-0.021141,0.0,0.0,,0.013744,0.020086,-0.021141,0.0,0.0,,-0.051268,0.020086,-0.051268,0.0,0.0,
train,2026-01-23,20260123,20260123_300769_01,300769,300769.SZ,德方纳米,1,当天出现买点,当天无卖点,2,2,1,0,2026-01-24 15:31:44,38.19,38.19,0.0,0.0,45.52,92.87,29.2,10.57,23.59,2.6,,27.68,75.0,46.51,46.51,0.0,0,,1,-0.022576,0.0,-0.022576,0.0,0.0,,-0.059127,0.0,-0.059127,0.0,0.0,,-0.109869,0.0,-0.109869,0.0,0.0,,-0.114599,0.0,-0.15502,0.0,0.0,,-0.089228,0.0,-0.15502,0.0,0.0,
train,2026-01-23,20260123,20260123_600185_01,600185,600185.SH,珠免集团,1,当天出现买点,当天无卖点,3,3,1,0,2026-01-24 15:31:18,32.18,32.18,0.0,0.0,45.52,97.47,14.02,27.36,12.41,2.75,,24.96,75.0,7.04,7.04,0.0,0,,1,0.014205,0.014205,0.0,0.0,0.0,,0.002841,0.014205,0.0,0.0,0.0,,-0.045455,0.014205,-0.045455,0.0,0.0,,0.069602,0.069602,-0.053977,1.0,0.0,,-0.045455,0.176136,-0.053977,1.0,1.0,11.0
