event_uid,event_date,symbol,ts_code,rel_ret_d0,rel_ret_d1,rel_ret_d2,rel_ret_d3,rel_ret_d4,rel_ret_d5,rel_ret_d6,rel_ret_d7,rel_ret_d8,rel_ret_d9,rel_ret_d10,rel_ret_d11,rel_ret_d12,rel_ret_d13,rel_ret_d14,rel_ret_d15,rel_ret_d16,rel_ret_d17,rel_ret_d18,rel_ret_d19,rel_ret_d20
20260123_300529_01,2026-01-23,300529,300529.SZ,0.0,0.01015,0.000483,-0.013533,-0.0174,-0.032866,-0.036249,-0.009667,-0.0029,-0.00145,-0.0087,-0.00725,-0.016916,-0.016916,-0.031416,-0.043499,-0.043016,-0.034316,-0.043016,-0.040599,-0.064766
20260123_300601_01,2026-01-23,300601,300601.SZ,0.0,0.075141,0.041327,0.010645,-0.006888,-0.02129,-0.045085,-0.031309,-0.018159,-0.023168,-0.025047,-0.030056,-0.036944,-0.043832,-0.055729,-0.070131,-0.064496,-0.051972,-0.061365,-0.057608,-0.095805
20260123_300741_01,2026-01-23,300741,300741.SZ,0.0,-0.006342,-0.021141,0.014799,0.010046,0.020086,-0.020081,-0.015327,-0.007925,-0.013739,0.013744,0.016387,0.012689,0.005814,-0.006342,-0.00211,0.004231,-0.015855,-0.029593,-0.022196,-0.051268
20260123_300769_01,2026-01-23,300769,300769.SZ,0.0,-0.022576,-0.051172,-0.059127,-0.076758,-0.109869,-0.15502,-0.13481,-0.122124,-0.147495,-0.114599,-0.109869,-0.125134,-0.115459,-0.116964,-0.121049,-0.113094,-0.078478,-0.096323,-0.091808,-0.089228
20260123_600185_01,2026-01-23,600185,600185.SH,0.0,0.014205,0.00142,0.002841,-0.018466,-0.045455,-0.053977,-0.046875,0.005682,0.036932,0.069602,0.176136,0.132102,0.098011,0.065341,0.051136,0.019886,0.017045,-0.004261,0.002841,-0.045455
20260123_600212_01,2026-01-23,600212,600212.SH,0.0,-0.042353,-0.050588,-0.063529,-0.077647,-0.074118,-0.094118,-0.078824,-0.084706,-0.091765,-0.091765,-0.088235,-0.083529,-0.08,-0.094118,-0.104706,-0.084706,-0.085882,-0.092941,-0.094118,-0.112941
20260123_600523_01,2026-01-23,600523,600523.SH,0.0,-0.045426,-0.029247,-0.05476,-0.071562,-0.087119,-0.102054,-0.078407,-0.039826,-0.046049,-0.060983,-0.056005,-0.031736,-0.041693,-0.046671,-0.04107,-0.029869,-0.032981,-0.01369,-0.004356,-0.01369
20260123_600622_01,2026-01-23,600622,600622.SH,0.0,-0.02381,-0.030612,-0.013605,0.010204,-0.02381,-0.037415,-0.02381,0.0,0.003401,-0.006803,0.017007,0.010204,0.006803,-0.017007,-0.030612,-0.020408,0.017007,-0.017007,-0.017007,-0.034014
20260123_600748_01,2026-01-23,600748,600748.SH,0.0,-0.030695,-0.077544,-0.080775,-0.074313,-0.100162,-0.134087,-0.113086,-0.101777,-0.095315,-0.105008,-0.103393,-0.116317,-0.119548,-0.130856,-0.108239,-0.153473,-0.135703,-0.161551,-0.155089,-0.171244
20260123_600829_01,2026-01-23,600829,600829.SH,0.0,0.017442,0.078904,0.025748,-0.022425,-0.068106,-0.077243,-0.062292,-0.056478,-0.055648,-0.04402,-0.049003,-0.076412,-0.083056,-0.10299,-0.112126,-0.087209,-0.08804,-0.093854,-0.089701,-0.128738
