ablation,description,total_return,max_drawdown,calmar,sharpe
B0,仅使用大盘趋势 (hs300_ret_20),1.044844,-0.284765,5.2975,2.295
B1,B0 + 成交额相对20日均值,1.044844,-0.284765,5.2975,2.295
B2,B1 + 市场广度 + 中证1000/创业板趋势,1.044844,-0.284765,5.2975,2.295
B3,B2 + 候选池质量,1.044844,-0.284765,5.2975,2.295
B4,B3 + 状态迟滞与恢复机制,1.044844,-0.284765,5.2975,2.295
B5,B4 + 账户级风险治理器,1.044844,-0.284765,5.2975,2.295
