strategy,window,requested_window,requested_window_days,actual_start,actual_end,actual_trading_days,coverage_ratio,coverage_status,window_start,window_end,trading_days,initial_cash,window_start_equity,window_end_equity,total_return,max_drawdown,annualized_volatility,daily_win_rate,avg_gross_exposure,avg_position_count
vls_mom_contrarian_v1_frozen,3m,3m,63,2023-10-09,2023-12-29,60,0.9523809523809523,PASS,2023-10-09,2023-12-29,60,500000.0,494785.61612400005,472411.61612400005,-0.04521958454506236,-0.06126543037017673,0.11501933169992162,0.4,0.9054848238977349,10.0
vls_mom_contrarian_v1_frozen,6m,6m,126,2023-06-29,2023-12-29,126,1.0,PASS,2023-06-29,2023-12-29,126,500000.0,476861.61612400005,472411.61612400005,-0.00933184775107343,-0.1567044467231049,0.15036443215060674,0.4603174603174603,0.9079336990047497,10.0
vls_mom_contrarian_v1_frozen,1y,1y,252,2023-01-04,2023-12-29,241,0.9563492063492064,PASS,2023-01-04,2023-12-29,241,500000.0,508017.61612400005,472411.61612400005,-0.07008812070664316,-0.1567044467231048,0.15990384372279437,0.46887966804979253,0.9077526499382416,10.0
vls_mom_contrarian_v1_frozen,3y,3y,756,2023-01-04,2023-12-29,241,0.3187830687830688,INSUFFICIENT_COVERAGE,2023-01-04,2023-12-29,241,500000.0,508017.61612400005,472411.61612400005,-0.07008812070664316,-0.1567044467231048,0.15990384372279437,0.46887966804979253,0.9077526499382416,10.0
