rank,signal_date,strategy,symbol,name,industry,industry_key,sort_col,rank_score,position_weight,market_exposure_scale,effective_weight,latest_close,score,dynamic_factor_score,dynamic_ic_factor_score,liquidity_detail_score,s_liquidity,s_breakout,s_rs,s_relative_amount,s_amount_ratio_5_20,s_low_impact_cost,s_amount_stability,bs_score_v2,is_bs_candidate,pool_type,bs_gate_label,market_amount_ratio_20,market_liquidity_bucket,index_bucket,vol_20,hist_mdd_20
1,2026-06-02,baseline_full_dynamic_factor_industry_cap2,002436,兴森科技,元器件,元器件,dynamic_factor_score,99.25138443690207,0.2,1.0,0.2,42.22,76.32,99.25138443690207,99.21286719180236,91.28350319705483,29.67,99.5,98.49,93.79965123038171,89.92443324937027,97.96551055996899,47.800813795776016,70.94,0,,可买,0.8882436884510432,normal_liquidity,index_neutral,0.04536663568645503,0.0
2,2026-06-02,baseline_full_dynamic_factor_industry_cap2,300285,国瓷材料,陶瓷,陶瓷,dynamic_factor_score,99.17846617344317,0.2,1.0,0.2,58.3368,78.29,99.17846617344317,99.35635086509697,91.44074662533102,29.32,99.32,99.07,97.34547568300717,95.81476458050766,96.53167990699477,40.26351482270878,62.62,0,,过滤,0.8882436884510432,normal_liquidity,index_neutral,0.062197796365792216,0.0
3,2026-06-02,baseline_full_dynamic_factor_industry_cap2,300502,新易盛,通信设备,通信设备,dynamic_factor_score,99.12327009360398,0.2,1.0,0.2,747.0,76.04,99.12327009360398,98.92217402482395,90.04091971840083,29.99,98.72,97.62,84.53788025576439,69.4245301298198,99.84499128075954,77.56248788994381,71.65,0,,可买,0.8882436884510432,normal_liquidity,index_neutral,0.046225264633611346,0.0
4,2026-06-02,baseline_full_dynamic_factor_industry_cap2,000636,风华高科,元器件,元器件,dynamic_factor_score,99.09040107115453,0.2,1.0,0.2,59.91,74.34,99.09040107115453,99.30701437916387,88.56198411160628,29.55,98.99,99.92,97.50048440224762,99.06994768455726,98.2755279984499,0.6006587870567719,71.35,0,,可买,0.8882436884510432,normal_liquidity,index_neutral,0.04945694286820068,0.0
5,2026-06-02,baseline_full_dynamic_factor_industry_cap2,601991,大唐发电,火力发电,火力发电,dynamic_factor_score,98.91231854337529,0.2,1.0,0.2,9.18,73.38,98.91231854337529,99.11642173275207,85.42666925014534,29.73,99.42,99.86,89.4206549118388,87.09552412323193,97.46173222243752,2.189498159271459,71.56,0,,可买,0.8882436884510432,normal_liquidity,index_neutral,0.06604472604591778,0.0
