order_id,execution_date,execution_sequence,signal_date,symbol,side,order_reason,reference_open_price,fill_price,shares_filled,gross_notional,price_impact_cost,commission,stamp_tax,transfer_fee,total_fee,cash_delta,cash_before,cash_after,shares_before,shares_after,market_value_before,market_value_after,equity_before,equity_after,risk_state,target_exposure,scenario
515,2026-01-15,3,2026-01-14,600362,SELL,HOLD_EXPIRY,59.09,59.0605,1000,59060.455,29.545,44.295341,0.0,0.0,44.295341,59016.16,246825.37,305841.53,1000,0,203958.0,144868.0,450783.37,450709.53,True,0.6,c0.00075_s0.0005
516,2026-01-15,4,2026-01-14,002230,BUY,TARGET_REBALANCE,61.66,61.6908,900,55521.747,27.747,41.64131,0.0,0.0,41.64131,-55563.39,305841.53,250278.14,0,900,144868.0,200362.0,450709.53,450640.14,True,0.6,c0.00075_s0.0005
517,2026-01-15,5,2026-01-14,300442,BUY,TARGET_REBALANCE,85.1,85.1425,200,17028.51,8.51,12.771382,0.0,0.0,12.771382,-17041.28,250278.14,233236.86,0,200,200362.0,217382.0,450640.14,450618.86,True,0.6,c0.00075_s0.0005
518,2026-01-15,6,2026-01-14,600089,BUY,TARGET_REBALANCE,26.2,26.2131,1700,44562.27,22.27,33.421702,0.0,0.0,33.421702,-44595.69,233236.86,188641.17,0,1700,217382.0,261922.0,450618.86,450563.17,True,0.6,c0.00075_s0.0005
519,2026-01-16,1,2026-01-15,002465,SELL,HOLD_EXPIRY,21.56,21.6316,2300,49752.6312,164.6312,37.314473,0.0,0.0,37.314473,49715.32,188641.17,238356.48,2300,0,249996.0,200408.0,438637.17,438764.48,True,0.6,c0.00075_s0.0005
520,2026-01-16,2,2026-01-15,603881,BUY,TARGET_REBALANCE,36.41,36.4282,1700,61927.9485,30.9485,46.445961,0.0,0.0,46.445961,-61974.39,238356.48,176382.09,0,1700,200408.0,262305.0,438764.48,438687.09,True,0.6,c0.00075_s0.0005
521,2026-01-20,1,2026-01-19,300058,SELL,HOLD_EXPIRY,17.6,17.5912,4400,77401.28,38.72,58.05096,0.0,0.0,58.05096,77343.23,176382.09,253725.32,4400,0,259506.0,182066.0,435888.09,435791.32,True,0.6,c0.00075_s0.0005
522,2026-01-20,2,2026-01-19,688525,BUY,TARGET_REBALANCE,177.0,177.1948,400,70877.9012,77.9012,53.158426,0.0,0.0,53.158426,-70931.06,253725.32,182794.26,0,400,182066.0,252866.0,435791.32,435660.26,True,0.6,c0.00075_s0.0005
523,2026-01-29,1,2026-01-28,002230,SELL,HOLD_EXPIRY,58.51,58.4807,900,52632.6705,26.3295,39.474503,0.0,0.0,39.474503,52593.2,182794.26,235387.45,900,0,254863.0,202204.0,437657.26,437591.45,True,0.6,c0.00075_s0.0005
524,2026-01-29,2,2026-01-28,300442,SELL,HOLD_EXPIRY,78.0,77.961,200,15592.2,7.8,11.69415,0.0,0.0,11.69415,15580.51,235387.45,250967.96,200,0,202204.0,186604.0,437591.45,437571.96,True,0.6,c0.00075_s0.0005
525,2026-01-29,3,2026-01-28,600089,SELL,HOLD_EXPIRY,28.12,28.1059,1700,47780.098,23.902,35.835074,0.0,0.0,35.835074,47744.26,250967.96,298712.22,1700,0,186604.0,138800.0,437571.96,437512.22,True,0.6,c0.00075_s0.0005
526,2026-01-29,4,2026-01-28,600489,BUY,TARGET_REBALANCE,39.99,40.01,800,32007.996,15.996,24.005997,0.0,0.0,24.005997,-32032.0,298712.22,266680.22,0,800,138800.0,170792.0,437512.22,437472.22,True,0.6,c0.00075_s0.0005
527,2026-01-29,5,2026-01-28,600547,BUY,TARGET_REBALANCE,64.0,64.032,500,32016.0,16.0,24.012,0.0,0.0,24.012,-32040.01,266680.22,234640.21,0,500,170792.0,202792.0,437472.22,437432.21,True,0.6,c0.00075_s0.0005
528,2026-01-29,6,2026-01-28,601899,BUY,TARGET_REBALANCE,43.79,43.8119,1200,52574.274,26.274,39.430706,0.0,0.0,39.430706,-52613.7,234640.21,182026.5,0,1200,202792.0,255340.0,437432.21,437366.5,True,0.6,c0.00075_s0.0005
529,2026-01-30,1,2026-01-29,603881,SELL,HOLD_EXPIRY,38.3,38.2809,1700,65077.445,32.555,48.808084,0.0,0.0,48.808084,65028.64,182026.5,247055.14,1700,0,248391.0,183281.0,430417.5,430336.14,True,0.6,c0.00075_s0.0005
530,2026-01-30,2,2026-01-29,603993,BUY,TARGET_REBALANCE,25.7,26.0841,2800,73035.5795,1075.5795,54.776685,0.0,0.0,54.776685,-73090.36,247055.14,173964.78,0,2800,183281.0,255241.0,430336.14,429205.78,True,0.6,c0.00075_s0.0005
