trade_date,production_nav,production_return,shadow_nav,shadow_return,production_strategy,shadow_strategy,production_target_position,shadow_target_position,position_diff,production_risk_decision,shadow_risk_decision,risk_decision_diff,shadow_recovery_status,shadow_risk_governor_reasons,top5_overlap,production_top5,shadow_top5,buy_list_added_by_shadow,buy_list_removed_by_shadow,sell_list_added_by_shadow,sell_list_removed_by_shadow,production_estimated_order_value,shadow_estimated_order_value,estimated_order_value_diff,production_theory_return,shadow_theory_return,theory_gap,large_slippage_proxy,limit_up_buy_ratio,unfilled_ratio_proxy,limit_down_sell_ratio,open_gap_proxy,estimated_turnover_impact,execution_feasibility,fp_explanation_label,execution_hard_block,execution_slippage_warning,execution_hard_block_reasons,execution_warning_reasons,execution_v22_severity,is_uplift_event,incremental_gap,blocked_share_open_gap,blocked_share_large_slippage,blocked_share_hard_block,sim_original_return,sim_hard_block_fallback_return,sim_open_gap_downweight_return,sim_large_slippage_downweight_return,production_nav_index,shadow_nav_index,sim_original_nav_index,sim_hard_block_fallback_nav_index,sim_open_gap_downweight_nav_index,sim_large_slippage_downweight_nav_index
2025-12-17,0.8506241461950002,0.018725771551156845,0.917401023220001,0.024155158081634154,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.45,0.0,reduce_position,hard_reduce,True,blocked_kill_switch,negative_recent_champion|account_20d_drawdown_kill_switch,1.0,000657|300395|600118|600879|688270,000657|300395|600118|600879|688270,600118.0,,2600.0,,49906.0,119204.0,69298.0,0.0187257715511568,0.0241551580816341,0.0054293865304773,0.0188602044524598,0.0,0.0,0.0,-0.0087417320188109,3.2578260403562006e-06,pass,unknown_pending_forward_return,False,False,,,pass,True,0.005429386530477309,0.0,0.0,0.0,0.024155158081634154,0.024155158081634154,0.024155158081634154,0.024155158081634154,1.0187257715511568,1.0241551580816342,1.0241551580816342,1.0241551580816342,1.0241551580816342,1.0241551580816342
2025-12-18,0.847583426195,-0.0035746927871749268,0.9128771832200008,-0.00493114775926673,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.45,0.0,reduce_position,hard_reduce,True,blocked_kill_switch,negative_recent_champion|account_20d_drawdown_kill_switch,1.0,000657|300395|301205|600879|688270,000657|300395|301205|600879|688270,,,,,0.0,0.0,0.0,-0.0035746927871749,-0.0049311477592667,-0.0013564549720918,0.0132455679641599,0.0,0.0,0.0,-0.0028777518722059,0.0,pass,unknown_pending_forward_return,False,False,,,pass,True,-0.0013564549720918029,0.0,0.0,0.0,-0.00493114775926673,-0.00493114775926673,-0.00493114775926673,-0.00493114775926673,1.0150841398834838,1.0191048976687185,1.0191048976687185,1.0191048976687185,1.0191048976687185,1.0191048976687185
2025-12-19,0.846663792695,-0.001085006468482308,0.909511521720001,-0.003686872190329038,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.45,0.0,reduce_position,reduce_position,False,blocked_active_role,negative_recent_champion,1.0,000657|002837|301205|600118|600879,000657|002837|301205|600118|600879,,,,,112809.0,118281.0,5472.0,-0.0010850064684823,-0.003686872190329,-0.0026018657218467,0.0061498432927354,0.0,0.0,0.0,0.0061498432927354,6.080631087066954e-06,pass,unknown_pending_forward_return,False,False,,,pass,False,-0.00260186572184673,0.0,0.0,0.0,-0.003686872190329038,-0.003686872190329038,-0.003686872190329038,-0.003686872190329038,1.0139827670256565,1.0153475881624756,1.0153475881624756,1.0153475881624756,1.0153475881624756,1.0153475881624756
2025-12-22,0.8701198726950001,0.027704125536462954,0.936107081720001,0.02924158668128185,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.55,0.1,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,002639|300342|600118|600879|688270,002639|300342|600118|600879|688270,,,,,0.0,0.0,0.0,0.0277041255364629,0.0292415866812818,0.0015374611448188,0.0238753908164402,0.0,0.0,0.0,0.0211221951428905,0.0,pass,unknown_pending_forward_return,False,False,,,pass,True,0.0015374611448188968,0.0,0.0,0.0,0.02924158668128185,0.02924158668128185,0.02924158668128185,0.02924158668128185,1.0420742728951453,1.045037962673359,1.045037962673359,1.045037962673359,1.045037962673359,1.045037962673359
2025-12-23,0.8776453126950001,0.00864873937046351,0.945885561720001,0.010445898969200229,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.55,0.1,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,000657|002080|600118|600879|603799,000657|002080|600118|600879|603799,,,,,0.0,0.0,0.0,0.0086487393704635,0.0104458989692002,0.0017971595987367,0.0039753741289226,0.0,0.0,0.0,-0.0021443191306478,0.0,pass,unknown_pending_forward_return,False,False,,,pass,True,0.0017971595987367195,0.0,0.0,0.0,0.010445898969200229,0.010445898969200229,0.010445898969200229,0.010445898969200229,1.0510869016860807,1.0559543236504239,1.0559543236504239,1.0559543236504239,1.0559543236504239,1.0559543236504239
2025-12-24,0.8814545526950001,0.004340295498534319,0.9499608417200012,0.004308428170305856,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.55,0.1,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,000657|002080|600118|600547|603799,000657|002080|600118|600547|603799,,,,,0.0,0.0,0.0,0.0043402954985343,0.0043084281703058,-3.1867328228463165e-05,0.0135028682469744,0.0,0.0,0.0,0.0001309294733887,0.0,pass,unknown_pending_forward_return,False,False,,,pass,True,-3.1867328228463165e-05,0.0,0.0,0.0,0.004308428170305856,0.004308428170305856,0.004308428170305856,0.004308428170305856,1.0556489294340372,1.0605038270049956,1.0605038270049956,1.0605038270049956,1.0605038270049956,1.0605038270049956
2025-12-25,0.8821655326950001,0.0008065985907341755,0.9472856017200012,-0.0028161581851691153,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.55,0.1,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,000657|002080|002837|600118|603799,000657|002080|002837|600118|603799,,,,,0.0,0.0,0.0,0.0008065985907341,-0.0028161581851691,-0.0036227567759032,0.0132874099062424,0.0,0.0,0.0,-0.0042400401061914,0.0,pass,unknown_pending_forward_return,False,False,,,pass,True,-0.003622756775903291,0.0,0.0,0.0,-0.0028161581851691153,-0.0028161581851691153,-0.0028161581851691153,-0.0028161581851691153,1.0565004143728287,1.0575172804721722,1.0575172804721722,1.0575172804721722,1.0575172804721722,1.0575172804721722
2025-12-26,0.8908051126950002,0.009793604125074351,0.9583660812200012,0.011697084258307067,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.55,0.1,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,002759|002837|300136|301005|600118,002759|002837|300136|301005|600118,300136.0,,300394.0,,0.0,81387.0,81387.0,0.0097936041250743,0.011697084258307,0.0019034801332327,0.0299808006688635,0.2,0.2,0.0,0.0170039374034587,1.3270434372853964e-06,pass,unknown_pending_forward_return,False,False,,,pass,True,0.0019034801332327156,0.0,0.0,0.0,0.011697084258307067,0.011697084258307067,0.011697084258307067,0.011697084258307067,1.0668473611891731,1.069887149206471,1.069887149206471,1.069887149206471,1.069887149206471,1.069887149206471
2025-12-29,0.901846630075,0.012394986538183828,0.9653628080800012,0.007300682898849109,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.45,0.0,reduce_position,reduce_position,False,blocked_recovery_streak_exceeded,negative_recent_champion,1.0,000559|002245|002466|300136|600118,000559|002245|002466|300136|600118,,300136,,603019,130495.08,66528.76000000001,-63966.31999999999,0.0123949865381838,0.0073006828988491,-0.0050943036393347,0.0065880913378973,0.0,0.0,0.0,-0.0004142608528292,4.785082712524602e-07,pass,unknown_pending_forward_return,False,False,,,pass,True,-0.0050943036393347185,0.0,0.0,0.0,0.007300682898849109,0.007300682898849109,0.007300682898849109,0.007300682898849109,1.0800709198694098,1.077698056020381,1.077698056020381,1.077698056020381,1.077698056020381,1.077698056020381
2025-12-30,0.911708467575,0.010935160337828043,0.9651828080800012,-0.00018645839522024588,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.55,0.1,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,000559|002151|002759|600118|600362,000559|002151|002759|600118|600362,,600362,,600118,102775.0,0.0,-102775.0,0.010935160337828,-0.0001864583952202,-0.0111216187330482,0.0374079456362059,0.0,0.0,0.0,-0.0374079456362059,0.0,degraded_large_slippage_proxy,unknown_pending_forward_return,False,True,,large_slippage_proxy,warning,True,-0.011121618733048289,0.0,0.0,0.0,-0.00018645839522024588,-0.00018645839522024588,-0.00018645839522024588,-0.00018645839522024588,1.0918816685544073,1.0774971101703235,1.0774971101703235,1.0774971101703235,1.0774971101703235,1.0774971101703235
2025-12-31,0.939214805575,0.030170102591196235,1.0045200205800011,0.04075622998119055,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.55,0.1,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,002465|002759|300136|600118|600362,002465|002759|300136|600118|600362,,,600118.0,,57108.0,124525.0,67417.0,0.0301701025911962,0.0407562299811905,0.0105861273899943,0.0192232141168087,0.0,0.0,0.0,0.0066749795286002,4.476379885847332e-06,pass,unknown_pending_forward_return,False,False,,,pass,True,0.010586127389994315,0.0,0.0,0.0,0.04075622998119055,0.04075622998119055,0.04075622998119055,0.04075622998119055,1.1248238505121402,1.1214118301964933,1.1214118301964933,1.1214118301964933,1.1214118301964933,1.1214118301964933
2026-01-05,0.948262805575,0.009633578970745349,1.0390484995800011,0.034373111827142644,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.55,0.1,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,000559|002465|002759|300136|600362,000559|002465|002759|300136|600362,600362.0,,600118.0,,0.0,89014.0,89014.0,0.0096335789707453,0.0343731118271426,0.0247395328563972,0.0241442453369499,0.0,0.0,0.0,0.0078651755695081,1.5172622121461276e-06,pass,unknown_pending_forward_return,False,False,,,pass,True,0.024739532856397295,0.0,0.0,0.0,0.034373111827142644,0.034373111827142644,0.034373111827142644,0.034373111827142644,1.1356599299042267,1.159958244440118,1.159958244440118,1.159958244440118,1.159958244440118,1.159958244440118
2026-01-06,0.967090365575,0.01985479119217759,1.062413039580001,0.022486476819363332,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.55,0.1,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,002465|300058|300136|600118|600362,002465|300058|300136|600118|600362,,,,,106960.0,123640.0,16680.0,0.0198547911921775,0.0224864768193633,0.0026316856271857,0.0324508379126452,0.0,0.0,0.0,0.0029227305275244,7.549159219210626e-07,degraded_large_slippage_proxy,unknown_pending_forward_return,False,True,,large_slippage_proxy,warning,True,0.0026316856271857425,0.0,0.0,0.0,0.022486476819363332,0.022486476819363332,0.022486476819363332,0.022486476819363332,1.1582082206777982,1.1860416186151501,1.1860416186151501,1.1860416186151501,1.1860416186151501,1.1860416186151501
2026-01-07,0.970106365575,0.0031186330743835367,1.076659039580001,0.013409097468938924,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.55,0.1,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,002465|002759|300058|300136|300418,002465|002759|300058|300136|300418,,,,,0.0,0.0,0.0,0.0031186330743835,0.0134090974689389,0.0102904643945553,0.0210039488036775,0.0,0.0,0.0,-0.0014036728776122,0.0,pass,unknown_pending_forward_return,False,False,,,pass,True,0.010290464394555388,0.0,0.0,0.0,0.013409097468938924,0.013409097468938924,0.013409097468938924,0.013409097468938924,1.1618202471418269,1.2019453662813788,1.2019453662813788,1.2019453662813788,1.2019453662813788,1.2019453662813788
2026-01-08,0.989168365575,0.019649391733144173,1.115513039580001,0.03608756214516773,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.45,0.0,reduce_position,reduce_position,False,blocked_recovery_streak_exceeded,negative_recent_champion,1.0,002371|002465|300058|300418|600111,002371|002465|300058|300418|600111,,,,,0.0,0.0,0.0,0.0196493917331441,0.0360875621451677,0.0164381704120235,0.0055342181099681,0.0,0.0,0.0,-0.004451674131619,0.0,pass,unknown_pending_forward_return,False,False,,,pass,True,0.016438170412023556,0.0,0.0,0.0,0.03608756214516773,0.03608756214516773,0.03608756214516773,0.03608756214516773,1.184649308301415,1.2453206443821545,1.2453206443821545,1.2453206443821545,1.2453206443821545,1.2453206443821545
2026-01-09,1.013276365575,0.02437198846930988,1.131843039580001,0.014639004135844402,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.6,0.1499999999999999,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,002465|002475|300058|300136|600111,002465|002475|300058|300136|600111,,,,,0.0,0.0,0.0,0.0243719884693098,0.0146390041358444,-0.0097329843334654,0.0254544846333177,0.0,0.0,0.0,0.0143111945829249,0.0,pass,unknown_pending_forward_return,False,False,,,pass,True,-0.009732984333465478,0.0,0.0,0.0,0.014639004135844402,0.014639004135844402,0.014639004135844402,0.014639004135844402,1.213521567583513,1.2635508984457173,1.2635508984457173,1.2635508984457173,1.2635508984457173,1.2635508984457173
2026-01-12,1.053516365575,0.03971275889491932,1.203667039580001,0.06345756212509124,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.6,0.1499999999999999,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,002025|002230|002465|300058|300136,002025|002230|002465|300058|300136,,,,,0.0,0.0,0.0,0.0397127588949193,0.0634575621250912,0.0237448032301719,0.0376224185212566,0.0,0.0,0.0,0.0376224185212566,0.0,degraded_large_slippage_proxy,unknown_pending_forward_return,False,True,,large_slippage_proxy,warning,True,0.023744803230171918,0.0,0.0,0.0,0.06345756212509124,0.06345756212509124,0.06345756212509124,0.06345756212509124,1.2617138570107416,1.3437327580820513,1.3437327580820513,1.3437327580820513,1.3437327580820513,1.3437327580820513
2026-01-13,1.049662365575,-0.003658225088792544,1.203435893080001,-0.00019203524928346205,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.6,0.1499999999999999,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,002230|300058|300383|600111|600410,002230|300058|300383|600111|600410,600410.0,,300136.0,,0.0,175431.0,175431.0,-0.0036582250887925,-0.0001920352492834,0.003466189839509,0.0254845872410393,0.0,0.0,0.0,0.0254845872410393,2.8483456080251532e-06,pass,unknown_pending_forward_return,False,False,,,pass,True,0.0034661898395090818,0.0,0.0,0.0,-0.00019203524928346205,-0.00019203524928346205,-0.00019203524928346205,-0.00019203524928346205,1.2570982237241477,1.3434747140268826,1.3434747140268826,1.3434747140268826,1.3434747140268826,1.3434747140268826
