strategy,window,requested_window,requested_window_days,actual_start,actual_end,actual_trading_days,coverage_ratio,coverage_status,window_start,window_end,trading_days,initial_cash,window_start_equity,window_end_equity,total_return,max_drawdown,annualized_volatility,daily_win_rate,avg_gross_exposure,avg_position_count
production_governed_vol_position_v1_2b_dynamic_score,3m,3m,63,2026-04-20,2026-07-20,62,0.9841269841269841,PASS,2026-04-20,2026-07-20,62,500000.0,631155.5712199997,762740.7868999995,0.20848301382438983,-0.15175782844354402,0.5341077694930189,0.5,0.48714070950255645,4.854838709677419
production_governed_vol_position_v1_2b_dynamic_score,6m,6m,126,2026-01-20,2026-07-20,119,0.9444444444444444,PASS,2026-01-20,2026-07-20,119,500000.0,580382.9563949998,762740.7868999995,0.3142025941590363,-0.15175782844354402,0.4232724477698349,0.5042016806722689,0.48661161536411407,4.882352941176471
production_governed_vol_position_v1_2b_dynamic_score,1y,1y,252,2025-09-02,2026-07-20,211,0.8373015873015873,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-20,211,500000.0,496232.824605,762740.7868999995,0.5370623406606347,-0.15175782844354402,0.36512204228186024,0.5165876777251185,0.4747448992650802,4.8246445497630335
production_governed_vol_position_v1_2b_dynamic_score,3y,3y,756,2025-09-02,2026-07-20,211,0.2791005291005291,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-20,211,500000.0,496232.824605,762740.7868999995,0.5370623406606347,-0.15175782844354402,0.36512204228186024,0.5165876777251185,0.4747448992650802,4.8246445497630335
production_governed_vol_position_v1_2b_execution_safe_uplift,3m,3m,63,2026-04-20,2026-07-20,62,0.9841269841269841,PASS,2026-04-20,2026-07-20,62,500000.0,631155.5712199997,762740.7868999995,0.20848301382438983,-0.15175782844354402,0.5341077694930189,0.5,0.48714070950255645,4.854838709677419
production_governed_vol_position_v1_2b_execution_safe_uplift,6m,6m,126,2026-01-20,2026-07-20,119,0.9444444444444444,PASS,2026-01-20,2026-07-20,119,500000.0,580382.9563949998,762740.7868999995,0.3142025941590363,-0.15175782844354402,0.4232724477698349,0.5042016806722689,0.48661161536411407,4.882352941176471
production_governed_vol_position_v1_2b_execution_safe_uplift,1y,1y,252,2025-09-02,2026-07-20,211,0.8373015873015873,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-20,211,500000.0,496232.824605,762740.7868999995,0.5370623406606347,-0.15175782844354402,0.36512204228186024,0.5165876777251185,0.4747448992650802,4.8246445497630335
production_governed_vol_position_v1_2b_execution_safe_uplift,3y,3y,756,2025-09-02,2026-07-20,211,0.2791005291005291,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-20,211,500000.0,496232.824605,762740.7868999995,0.5370623406606347,-0.15175782844354402,0.36512204228186024,0.5165876777251185,0.4747448992650802,4.8246445497630335
adaptive_market_style,3m,3m,63,2026-04-20,2026-07-20,62,0.9841269841269841,PASS,2026-04-20,2026-07-20,62,500000.0,604245.1224200001,574264.512295,-0.04961663572049679,-0.1454275603697751,0.31432861887729463,0.5161290322580645,0.42288116727829445,4.370967741935484
adaptive_market_style,6m,6m,126,2026-01-20,2026-07-20,119,0.9444444444444444,PASS,2026-01-20,2026-07-20,119,500000.0,571781.8370400002,574264.512295,0.0043419974091027935,-0.1454275603697749,0.2584202238421964,0.5294117647058824,0.4022082818476379,4.529411764705882
adaptive_market_style,1y,1y,252,2025-09-02,2026-07-20,211,0.8373015873015873,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-20,211,500000.0,494109.972835,574264.512295,0.16222003980228572,-0.145427560369775,0.2870027839763585,0.5355450236966824,0.38549280321542584,4.530805687203792
adaptive_market_style,3y,3y,756,2025-09-02,2026-07-20,211,0.2791005291005291,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-20,211,500000.0,494109.972835,574264.512295,0.16222003980228572,-0.145427560369775,0.2870027839763585,0.5355450236966824,0.38549280321542584,4.530805687203792
